Run,Full,Minimal
190,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
191,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
192,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
193,"['MCU_SEL', 'MCU']",['MCU_SEL']
194,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
195,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
196,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
197,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
198,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
199,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
200,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
201,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
202,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
203,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
204,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
205,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
206,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
207,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
208,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
209,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
210,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
211,"['MCU_SEL', 'MCU']",['MCU_SEL']
212,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
213,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
214,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
215,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
216,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
217,"['MCU_SEL', 'MCU']",['MCU_SEL']
218,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
219,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
220,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
221,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
222,"['MCU_SEL', 'MCU']",['MCU_SEL']
223,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
224,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
225,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
226,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
227,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
228,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
229,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
230,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
231,"['MCU_SEL', 'MCU']",['MCU_SEL']
232,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
233,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
234,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
235,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
236,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
237,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
238,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
239,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
240,"['MCU_SEL', 'MCU']",['MCU_SEL']
241,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
242,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
243,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
244,"['MCU_SEL', 'MCU']",['MCU_SEL']
245,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
246,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
247,"['MCU_SEFI', 'MCU']",['MCU_SEFI']
248,"['SRAM_SEL', 'SRAM']",['SRAM_SEL']
249,"['MCU_SEL', 'MCU']",['MCU_SEL']
