Time (s),MCU_SEL,REG_DSEE,SRAM_SEL,REG_SET,MCU_SEFI,SRAM_TID,MCU_TID,REG_TID,WDT_TID
2400.0,0.9999999998876408,9.342778054400667e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2459.0,0.9999999999191276,9.471510772857941e-06,0.9999999999999999,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
2520.0,0.9999999999388882,9.58212912076864e-06,0.9999999999999999,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
2579.0,0.9999999999525961,9.683518456383687e-06,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
2640.0,0.9999999999617528,9.77032400453623e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2700.0,0.999999999968465,9.849561123048052e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2759.0,0.9999999999732446,9.918211765825633e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2820.0,0.9999999999767298,9.977598569812156e-06,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2879.0,0.9999999999794439,1.0031442793887054e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2940.0,0.9999999999814526,1.0077052641105142e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2999.0,0.9999999999830629,1.0118251894499552e-05,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
3060.0,0.9999999999842843,1.0153027276700095e-05,0.9999999999999999,1.0,0.9999999999999998,0.0,0.0,0.0,0.0
3119.0,0.999999999985284,1.0184362014548814e-05,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,0.0
3180.0,0.9999999999860555,1.0210776354588486e-05,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
3240.0,0.9999999999866952,1.02345432348441e-05,0.9999999999999999,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
3299.0,0.9999999999872029,1.0254919025859341e-05,0.9999999999999998,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
3360.0,0.9999999999876084,1.0272411417754803e-05,0.9999999999999998,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
3419.0,0.9999999999879495,1.0288221522107688e-05,0.9999999999999998,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
3480.0,0.999999999988219,1.0301619105867768e-05,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0
3539.0,0.999999999988447,1.0313792413612105e-05,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0
3600.0,0.9999999999886277,1.032416813035375e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3659.0,0.999999999988781,1.0333655081554132e-05,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3720.0,0.9999999999889031,1.0341805144557096e-05,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
3780.0,0.9999999999890069,1.0349319307298374e-05,0.9999999999999999,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
3839.0,0.9999999999890911,1.0355943752676568e-05,0.9999999999999999,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
3900.0,0.999999999989159,1.0361808059714676e-05,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0
3959.0,0.9999999999892171,1.0367301488680637e-05,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0
4020.0,0.9999999999892634,1.0372141718787679e-05,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0
4079.0,0.9999999999893028,1.0376726860346726e-05,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0
4140.0,0.9999999999893344,1.0380816236493489e-05,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0
4199.0,0.9999999999893614,1.0384741920486541e-05,0.9999999999999999,1.0,1.0,0.0,0.0,0.0,0.0
4260.0,0.9999999999893828,1.0388290281657203e-05,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0
4320.0,0.9999999999894011,1.0391744276170765e-05,0.9999999999999997,1.0,1.0,0.0,0.0,0.0,0.0
4379.0,0.9999999999894161,1.0394967194250966e-05,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0
4440.0,0.9999999999894282,1.0397995034174395e-05,0.9999999999999998,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
4499.0,0.9999999999894386,1.0401006511458794e-05,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0
4560.0,0.9999999999894469,1.0403827031027793e-05,0.9999999999999998,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
4619.0,0.999999999989454,1.0406667768983055e-05,0.9999999999999997,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
4680.0,0.9999999999894597,1.0409359712503177e-05,0.9999999999999997,1.0,1.0,0.0,0.0,0.0,0.0
4739.0,0.9999999999894645,1.041210121407964e-05,0.9999999999999996,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
4800.0,0.9999999999894683,1.041472625524307e-05,0.9999999999999996,1.0,1.0,0.0,0.0,0.0,0.0
4860.0,0.9999999999894716,1.0417425662804177e-05,0.9999999999999996,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
4919.0,0.9999999999894744,1.0420078115185573e-05,0.9999999999999997,1.0,0.9999999999999998,0.0,0.0,0.0,0.0
4980.0,0.9999999999894768,1.042269429539737e-05,0.9999999999999998,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
5039.0,0.9999999999894789,1.042541752008123e-05,0.9999999999999998,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
5100.0,0.9999999999894803,1.0428078576358123e-05,0.9999999999999998,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
5159.0,0.9999999999894816,1.0430867144520421e-05,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0
5220.0,0.9999999999894827,1.0433608652588169e-05,0.9999999999999998,1.0,0.9999999999999998,0.0,0.0,0.0,0.0
5279.0,0.9999999999894836,1.0436497282648948e-05,0.9999999999999998,1.0,0.9999999999999997,0.0,0.0,0.0,0.0
5340.0,0.9999999999894843,1.0439351590514784e-05,0.9999999999999998,1.0,0.9999999999999997,0.0,0.0,0.0,0.0
5400.0,0.9999999999894851,1.044237285785213e-05,0.9999999999999999,0.9999999999999999,0.9999999999999996,0.0,0.0,0.0,0.0
5459.0,0.9999999999894859,1.0445421026380476e-05,0.9999999999999999,0.9999999999999998,0.9999999999999994,0.0,0.0,0.0,0.0
5520.0,0.9999999999894864,1.0448500553931523e-05,1.0,0.9999999999999998,0.9999999999999993,0.0,0.0,0.0,0.0
5579.0,0.9999999999894869,1.0451776772746226e-05,1.0,0.9999999999999998,0.9999999999999993,0.0,0.0,0.0,0.0
5640.0,0.9999999999894872,1.045504140349645e-05,1.0,0.9999999999999998,0.9999999999999994,0.0,0.0,0.0,0.0
5699.0,0.9999999999894876,1.0458522270224764e-05,0.9999999999999999,0.9999999999999998,0.9999999999999994,0.0,0.0,0.0,0.0
5760.0,0.999999999989488,1.0461997538477866e-05,1.0,0.9999999999999998,0.9999999999999996,0.0,0.0,0.0,0.0
5819.0,0.9999999999894882,1.046570871842784e-05,0.9999999999999999,0.9999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
5880.0,0.9999999999894883,1.046941730679756e-05,0.9999999999999998,0.9999999999999999,0.9999999999999998,0.0,0.0,0.0,0.0
5940.0,0.9999999999894884,1.0473380311531295e-05,0.9999999999999997,0.9999999999999999,0.9999999999999998,0.0,0.0,0.0,0.0
5999.0,0.9999999999894886,1.0477408957831226e-05,0.9999999999999997,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0
6239.0,0.9999999999894889,1.0481507234242012e-05,0.9999999999999996,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0
6480.0,0.9999999999894893,1.0500476081085383e-05,0.9999999999999997,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0
6720.0,0.9999999999894897,1.0521889416380094e-05,0.9999999999999998,0.9999999999999999,0.9999999999999997,0.0,0.0,0.0,0.0
6960.0,0.9999999999894901,1.0545436981423387e-05,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0
7199.0,0.9999999999894902,1.0571004676765468e-05,0.9999999999999997,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0
7439.0,0.9999999999894905,1.0598239869729652e-05,0.9999999999999996,0.9999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
7680.0,0.9999999999894905,1.0627117135456494e-05,0.9999999999999996,0.9999999999999999,0.9999999999999997,0.0,0.0,0.0,0.0
7920.0,0.9999999999894906,1.0657390218631506e-05,0.9999999999999997,0.9999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
8159.0,0.9999999999894907,1.0688553282707942e-05,0.9999999999999997,0.9999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
8399.0,0.9999999999894909,1.0720354852896854e-05,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.0,0.0,0.0,0.0
8640.0,0.9999999999894909,1.075284819950986e-05,0.9999999999999997,0.9999999999999997,0.9999999999999996,0.0,0.0,0.0,0.0
8880.0,0.999999999989491,1.0785838591677465e-05,0.9999999999999997,0.9999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
9120.0,0.9999999999894911,1.0818880439373541e-05,0.9999999999999998,0.9999999999999997,0.9999999999999996,0.0,0.0,0.0,0.0
9359.0,0.9999999999894913,1.085196442203847e-05,0.9999999999999999,0.9999999999999996,0.9999999999999994,0.0,0.0,0.0,0.0
9599.0,0.9999999999894914,1.0884831115225911e-05,0.9999999999999998,0.9999999999999997,0.9999999999999996,0.0,0.0,0.0,0.0
9840.0,0.9999999999894915,1.0917657026953852e-05,0.9999999999999998,0.9999999999999998,0.9999999999999996,0.0,0.0,0.0,0.0
10080.0,0.9999999999894917,1.0950362871958712e-05,0.9999999999999998,0.9999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
10319.0,0.9999999999894921,1.0982618212751825e-05,0.9999999999999997,0.9999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
10559.0,0.9999999999894925,1.1014384615654341e-05,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.0,0.0,0.0,0.0
10800.0,0.999999999989493,1.1045900036189803e-05,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.0,0.0,0.0,0.0
11040.0,0.9999999999894935,1.107714478845785e-05,0.9999999999999998,0.9999999999999997,0.9999999999999998,0.0,0.0,0.0,0.0
11280.0,0.9999999999894941,1.1107854036266978e-05,0.9999999999999999,0.9999999999999997,0.9999999999999997,0.0,0.0,0.0,0.0
11519.0,0.9999999999894947,1.1138159549685723e-05,0.9999999999999998,0.9999999999999998,0.9999999999999997,0.0,0.0,0.0,0.0
11759.0,0.9999999999894953,1.1167946368324597e-05,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.0,0.0,0.0,0.0
12000.0,0.9999999999894961,1.1197478034139574e-05,0.9999999999999998,0.9999999999999997,0.9999999999999999,0.0,0.0,0.0,0.0
12240.0,0.9999999999894968,1.1226769132433966e-05,0.9999999999999999,0.9999999999999997,0.9999999999999999,0.0,0.0,0.0,0.0
12479.0,0.9999999999894977,1.1255597406735231e-05,0.9999999999999999,0.9999999999999998,1.0,0.0,0.0,0.0,0.0
12719.0,0.9999999999894986,1.128398938911686e-05,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.0,0.0,0.0,0.0
12960.0,0.9999999999894997,1.1312207882205808e-05,1.0,0.9999999999999997,0.9999999999999999,0.0,0.0,0.0,0.0
13200.0,0.999999999989501,1.1340274666569787e-05,1.0,0.9999999999999996,0.9999999999999998,0.0,0.0,0.0,0.0
13440.0,0.9999999999895022,1.1367983837265423e-05,1.0,0.9999999999999996,0.9999999999999998,0.0,0.0,0.0,0.0
