Run,REG_TID,REG_DSEE,MCU_TID,MCU_SEL,MCU_SEFI,SRAM_SEL,SRAM_TID,REG,MCU,SRAM,Payload
5923,inf,104547073.72853757,inf,799.7009754538635,455.14883108340536,248.3608387152273,inf,104547073.72853757,455.14883108340536,248.3608387152273,248.3608387152273
5924,inf,98216754.01115085,inf,540.0223713587259,598.4337275490979,541.0636954531043,inf,98216754.01115085,540.0223713587259,541.0636954531043,540.0223713587259
5925,inf,67910078.44800079,inf,702.0277548792427,521.846308442591,695.0166432780923,inf,67910078.44800079,521.846308442591,695.0166432780923,521.846308442591
5926,inf,79618028.06749974,inf,717.4864619688109,636.2706104671149,648.3358960929603,inf,79618028.06749974,636.2706104671149,648.3358960929603,636.2706104671149
5927,inf,20064727.87574251,inf,570.8239714494796,466.68972004083037,390.59132657137184,inf,20064727.87574251,466.68972004083037,390.59132657137184,390.59132657137184
5928,inf,81513030.55248201,inf,620.1962108374018,639.6034868466998,533.4270755642684,inf,81513030.55248201,620.1962108374018,533.4270755642684,533.4270755642684
5929,inf,61685769.659935206,inf,897.2263512955875,779.00314802467,564.2612678035415,inf,61685769.659935206,779.00314802467,564.2612678035415,564.2612678035415
5930,inf,23158784.406101767,inf,522.8563053506056,722.2779293306033,351.491171006425,inf,23158784.406101767,522.8563053506056,351.491171006425,351.491171006425
5931,inf,1398797.6458303328,inf,692.0548006073254,546.7146972756974,529.0339686012677,inf,1398797.6458303328,546.7146972756974,529.0339686012677,529.0339686012677
5932,inf,24222939.08680151,inf,830.8729499282618,555.5862118009615,624.2773553743004,inf,24222939.08680151,555.5862118009615,624.2773553743004,555.5862118009615
5933,inf,12783651.958608765,inf,673.0371047906818,301.4745113115837,569.1464489871726,inf,12783651.958608765,301.4745113115837,569.1464489871726,301.4745113115837
5934,inf,29412838.887520436,inf,874.1189682667502,462.93452462831374,537.0621215755538,inf,29412838.887520436,462.93452462831374,537.0621215755538,462.93452462831374
5935,inf,94523032.01580457,inf,360.7057982447149,533.875165404927,544.2363835784996,inf,94523032.01580457,360.7057982447149,544.2363835784996,360.7057982447149
5936,inf,20944766.047591083,inf,830.7180184931578,415.2853746861479,574.0459249852997,inf,20944766.047591083,415.2853746861479,574.0459249852997,415.2853746861479
5937,inf,35090787.67710607,inf,958.9258490396221,360.13463480098966,704.7961644822722,inf,35090787.67710607,360.13463480098966,704.7961644822722,360.13463480098966
5938,inf,117503145.91115959,inf,952.8322450266963,663.0365271706672,705.5458503324663,inf,117503145.91115959,663.0365271706672,705.5458503324663,663.0365271706672
5939,inf,79653731.62815505,inf,516.7188878678683,626.5287852530479,749.0786523582433,inf,79653731.62815505,516.7188878678683,749.0786523582433,516.7188878678683
5940,inf,22214779.940692488,inf,744.0003159816135,198.48892255334852,626.6830336707341,inf,22214779.940692488,198.48892255334852,626.6830336707341,198.48892255334852
5941,inf,100690413.7334869,inf,559.8960369940435,543.0368122237633,602.0138724642325,inf,100690413.7334869,543.0368122237633,602.0138724642325,543.0368122237633
5942,inf,114295019.02204254,inf,492.6665479467881,553.8233245164366,523.9146551526189,inf,114295019.02204254,492.6665479467881,523.9146551526189,492.6665479467881
5943,inf,60344926.909768976,inf,778.0568874660685,486.4059921476747,606.7691322734154,inf,60344926.909768976,486.4059921476747,606.7691322734154,486.4059921476747
5944,inf,97954510.86001608,inf,621.5080398163058,585.718653265052,352.2369680773014,inf,97954510.86001608,585.718653265052,352.2369680773014,352.2369680773014
5945,inf,6162568.0558551755,inf,898.0131346667595,687.5505565675926,657.3308819215875,inf,6162568.0558551755,687.5505565675926,657.3308819215875,657.3308819215875
5946,inf,36553198.31217247,inf,612.595000481163,490.3068344624937,487.92726862141797,inf,36553198.31217247,490.3068344624937,487.92726862141797,487.92726862141797
5947,inf,75342857.0267672,inf,789.218601123123,505.75867870246276,551.1763808149648,inf,75342857.0267672,505.75867870246276,551.1763808149648,505.75867870246276
5948,inf,65263243.70081619,inf,668.0678672232123,494.7417479392521,626.4775408985745,inf,65263243.70081619,494.7417479392521,626.4775408985745,494.7417479392521
5949,inf,48606736.14746804,inf,756.3934211629455,388.5444606027673,570.6212415284203,inf,48606736.14746804,388.5444606027673,570.6212415284203,388.5444606027673
5950,inf,2020141.0495050426,inf,972.707491156363,376.2604489602159,709.1792105462115,inf,2020141.0495050426,376.2604489602159,709.1792105462115,376.2604489602159
5951,inf,122692936.8928763,inf,426.9789471148168,510.735758499317,340.7240822792819,inf,122692936.8928763,426.9789471148168,340.7240822792819,340.7240822792819
5952,inf,26032091.32234787,inf,688.5825532484554,658.1314752085498,518.5088560265128,inf,26032091.32234787,658.1314752085498,518.5088560265128,518.5088560265128
5953,inf,107507529.68287636,inf,513.1543967554989,716.2720333108451,526.0122092815612,inf,107507529.68287636,513.1543967554989,526.0122092815612,513.1543967554989
5954,inf,97277336.50991236,inf,736.7638321792018,748.9936503379495,356.9975299772909,inf,97277336.50991236,736.7638321792018,356.9975299772909,356.9975299772909
5955,inf,77901834.89686845,inf,637.047725369409,676.0700373592516,528.2009409066301,inf,77901834.89686845,637.047725369409,528.2009409066301,528.2009409066301
5956,inf,26284882.24075221,inf,693.9382553764774,540.3716760077396,733.1703029008,inf,26284882.24075221,540.3716760077396,733.1703029008,540.3716760077396
5957,inf,105599009.3976029,inf,960.1957206107406,344.4258720790335,457.54247463881063,inf,105599009.3976029,344.4258720790335,457.54247463881063,344.4258720790335
5958,inf,39656289.50124101,inf,780.3120487586311,748.3353142962675,597.9485243297794,inf,39656289.50124101,748.3353142962675,597.9485243297794,597.9485243297794
5959,inf,116196387.24309094,inf,716.5976181721298,188.19137518336663,337.63330713089357,inf,116196387.24309094,188.19137518336663,337.63330713089357,188.19137518336663
5960,inf,57437068.26343244,inf,804.7276590389586,426.4000316061336,530.6453271274808,inf,57437068.26343244,426.4000316061336,530.6453271274808,426.4000316061336
5961,inf,122563906.08131279,inf,534.3186394148473,480.20201189147076,577.7669123384607,inf,122563906.08131279,480.20201189147076,577.7669123384607,480.20201189147076
5962,inf,4245687.635195624,inf,808.4856399232268,685.0922088814865,468.9733313978682,inf,4245687.635195624,685.0922088814865,468.9733313978682,468.9733313978682
5963,inf,15573799.958565297,inf,809.7746083767038,758.8920702382638,606.8407835306504,inf,15573799.958565297,758.8920702382638,606.8407835306504,606.8407835306504
5964,inf,122253040.63856927,inf,624.3083857945007,712.356058742359,698.3208458719821,inf,122253040.63856927,624.3083857945007,698.3208458719821,624.3083857945007
5965,inf,88907116.91631842,inf,905.6840074875133,588.9377896473271,679.45290308485,inf,88907116.91631842,588.9377896473271,679.45290308485,588.9377896473271
5966,inf,37007700.13615675,inf,767.5406931864906,686.4027341583543,300.6108904143471,inf,37007700.13615675,686.4027341583543,300.6108904143471,300.6108904143471
5967,inf,92880540.31715636,inf,531.6501052869743,684.2122764157504,411.435201644568,inf,92880540.31715636,531.6501052869743,411.435201644568,411.435201644568
5968,inf,52833926.13683037,inf,886.9123016364231,570.9921039323942,635.1527640828612,inf,52833926.13683037,570.9921039323942,635.1527640828612,570.9921039323942
5969,inf,110500004.61639538,inf,786.2112445046662,614.287085399314,447.5113051250506,inf,110500004.61639538,614.287085399314,447.5113051250506,447.5113051250506
5970,inf,33878508.67711429,inf,807.7944058542948,662.1036660591953,517.2724576315411,inf,33878508.67711429,662.1036660591953,517.2724576315411,517.2724576315411
5971,inf,127011898.19571576,inf,653.2394886521956,624.8374916090823,407.21923062629344,inf,127011898.19571576,624.8374916090823,407.21923062629344,407.21923062629344
5972,inf,29340230.074762907,inf,883.0955392524212,743.7819453195445,594.0832076366488,inf,29340230.074762907,743.7819453195445,594.0832076366488,594.0832076366488
5973,inf,2592472.7082740082,inf,657.107901834967,589.2817478261024,337.63185597493884,inf,2592472.7082740082,589.2817478261024,337.63185597493884,337.63185597493884
5974,inf,44545918.33595285,inf,524.4722953748499,725.5723357783488,544.2846988149194,inf,44545918.33595285,524.4722953748499,544.2846988149194,524.4722953748499
5975,inf,36251681.3425892,inf,691.3352386100506,110.50708645888422,692.2289910464443,inf,36251681.3425892,110.50708645888422,692.2289910464443,110.50708645888422
5976,inf,49714989.82941927,inf,549.3420608680339,344.90594776435694,525.9733008013646,inf,49714989.82941927,344.90594776435694,525.9733008013646,344.90594776435694
5977,inf,9462052.342711598,inf,634.5534607719982,571.8247346856174,607.9619246827873,inf,9462052.342711598,571.8247346856174,607.9619246827873,571.8247346856174
5978,inf,32151474.771742873,inf,382.8282936669704,503.0257667198023,523.3087722254435,inf,32151474.771742873,382.8282936669704,523.3087722254435,382.8282936669704
5979,inf,27947507.54649886,inf,530.0839536524758,688.2879176436512,482.4271832625741,inf,27947507.54649886,530.0839536524758,482.4271832625741,482.4271832625741
5980,inf,6855693.643363375,inf,697.0065831413517,515.3459617718137,682.3533656750665,inf,6855693.643363375,515.3459617718137,682.3533656750665,515.3459617718137
5981,inf,22777063.13783658,inf,860.4026524160804,310.0942255612752,462.8586426090104,inf,22777063.13783658,310.0942255612752,462.8586426090104,310.0942255612752
5982,inf,15120521.229314353,inf,807.426120129854,585.893647480001,513.3769970508303,inf,15120521.229314353,585.893647480001,513.3769970508303,513.3769970508303
5983,inf,62903278.8760632,inf,721.1413207103905,779.8582412819892,525.5660904926679,inf,62903278.8760632,721.1413207103905,525.5660904926679,525.5660904926679
5984,inf,118470174.84529352,inf,872.7166845762305,756.9172358054252,483.5466306856722,inf,118470174.84529352,756.9172358054252,483.5466306856722,483.5466306856722
5985,inf,46218464.320321955,inf,689.5940010959295,498.6662903725184,584.1125839962715,inf,46218464.320321955,498.6662903725184,584.1125839962715,498.6662903725184
5986,inf,31169555.408171672,inf,803.7505725084795,316.6006663304104,364.88697594866306,inf,31169555.408171672,316.6006663304104,364.88697594866306,316.6006663304104
5987,inf,23247668.10041499,inf,987.9514362110659,643.208317344576,646.3211972616017,inf,23247668.10041499,643.208317344576,646.3211972616017,643.208317344576
5988,inf,5864053.0067061465,inf,733.0778996924125,748.6550825427684,424.26217729857933,inf,5864053.0067061465,733.0778996924125,424.26217729857933,424.26217729857933
5989,inf,46135717.197848134,inf,780.963963293534,604.8761854253105,456.5389452784041,inf,46135717.197848134,604.8761854253105,456.5389452784041,456.5389452784041
5990,inf,96454196.27786407,inf,765.7209130327512,811.536565568865,382.8735491226883,inf,96454196.27786407,765.7209130327512,382.8735491226883,382.8735491226883
5991,inf,9458464.809978979,inf,809.500375250372,714.5810772416002,628.3444876264645,inf,9458464.809978979,714.5810772416002,628.3444876264645,628.3444876264645
