Time (hrs),SRAM_SEFI,SRAM_SEL,SRAM_TID,MCU_SEFI,MCU_SEL,MCU_TID,REG_SEGR,REG_TID,System,SRAM,MCU,REG
78.23110870223208,1.442499705339717e-05,0.0,0.0,3.457333674439234e-05,2.58482125e-12,0.0,0.0,0.0,4.899783766220345e-05,1.442499705339717e-05,3.457333932912423e-05,0.0
78.2476166382317,1.550534566285844e-05,0.0,0.0,3.709685904673688e-05,2.58482125e-12,0.0,0.0,0.0,5.260163209465808e-05,1.550534566285844e-05,3.709686163146224e-05,0.0
78.26412457423133,1.691891230770626e-05,0.0,0.0,4.042528860981332e-05,2.58482125e-12,0.0,0.0,0.0,5.73435195502796e-05,1.691891230770626e-05,4.042529119453008e-05,0.0
78.28063251023096,1.810911017008365e-05,0.0,0.0,4.319150883247414e-05,2.58482125e-12,0.0,0.0,0.0,6.129983942742873e-05,1.810911017008365e-05,4.319151141718375e-05,0.0
78.29714044623059,1.937150334352378e-05,0.0,0.0,4.61362196494397e-05,2.58482125e-12,0.0,0.0,0.0,6.55068318496822e-05,1.937150334352378e-05,4.613622223414169e-05,0.0
78.31364838223021,2.036041331276994e-05,0.0,0.0,4.844027808614815e-05,2.58482125e-12,0.0,0.0,0.0,6.87997077194787e-05,2.036041331276994e-05,4.84402806708442e-05,0.0
78.33015631822984,2.07769026469018e-05,0.0,0.0,4.939322989327977e-05,2.58482125e-12,0.0,0.0,0.0,7.016910888649254e-05,2.07769026469018e-05,4.939323247797335e-05,0.0
78.34666425422947,1.999494218718478e-05,0.0,0.0,4.752648509631641e-05,2.58482125e-12,0.0,0.0,0.0,6.752047957882605e-05,1.999494218718478e-05,4.752648768101482e-05,0.0
78.3631721902291,1.837196196485813e-05,0.0,0.0,4.367651660752702e-05,2.58482125e-12,0.0,0.0,0.0,6.204767873374415e-05,1.837196196485813e-05,4.367651919223538e-05,0.0
78.37968012622872,1.665417528351476e-05,0.0,0.0,3.959254722774031e-05,2.58482125e-12,0.0,0.0,0.0,5.624606571470948e-05,1.665417528351476e-05,3.959254981245922e-05,0.0
