  7.0550E-02,  8.4908E+00,  1.7258E+01,  1.2021E+01,  8.3730E+00,  4.3975E+00,  2.3096E+00,  1.6084E+00,  1.1201E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  6.6313E-02,  8.3169E+00,  9.2962E+01,  6.0670E+01,  3.9595E+01,  1.5442E+01,  6.0221E+00,  3.1295E+00,  1.6263E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  6.2389E-02,  8.1429E+00,  3.1709E+02,  1.9690E+02,  1.2226E+02,  4.6975E+01,  1.8048E+01,  7.7153E+00,  3.2982E+00,  2.0210E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.8753E-02,  7.9706E+00,  8.7327E+02,  5.1957E+02,  3.0913E+02,  1.1874E+02,  4.5608E+01,  1.7166E+01,  6.4610E+00,  3.1861E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.5381E-02,  7.8020E+00,  2.1371E+03,  1.2229E+03,  6.9978E+02,  2.5661E+02,  9.4102E+01,  3.3345E+01,  1.1816E+01,  5.0188E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.2252E-02,  7.6423E+00,  4.7011E+03,  2.6050E+03,  1.4434E+03,  5.0137E+02,  1.7414E+02,  5.8496E+01,  1.9649E+01,  7.6363E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.9347E-02,  7.4878E+00,  9.8925E+03,  5.2643E+03,  2.8014E+03,  9.2383E+02,  3.0465E+02,  9.8153E+01,  3.1623E+01,  1.1346E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.6647E-02,  7.3433E+00,  1.9729E+04,  1.0072E+04,  5.1423E+03,  1.6351E+03,  5.1993E+02,  1.5907E+02,  4.8669E+01,  1.6421E+01,  1.1150E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.4136E-02,  7.2050E+00,  3.7779E+04,  1.8830E+04,  9.3859E+03,  2.8413E+03,  8.6013E+02,  2.5360E+02,  7.4768E+01,  2.3646E+01,  1.3442E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.1799E-02,  7.0773E+00,  6.8371E+04,  3.3313E+04,  1.6231E+04,  4.7083E+03,  1.3658E+03,  3.8722E+02,  1.0979E+02,  3.3076E+01,  1.5436E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.9621E-02,  6.9552E+00,  1.2187E+05,  5.7562E+04,  2.7187E+04,  7.6966E+03,  2.1790E+03,  5.9416E+02,  1.6202E+02,  4.6889E+01,  1.7312E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.7591E-02,  6.8436E+00,  2.0873E+05,  9.5151E+04,  4.3376E+04,  1.1997E+04,  3.3180E+03,  8.7756E+02,  2.3210E+02,  6.4330E+01,  2.1058E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.5697E-02,  6.7386E+00,  3.4468E+05,  1.5452E+05,  6.9272E+04,  1.8420E+04,  4.8983E+03,  1.2577E+03,  3.2292E+02,  8.7062E+01,  2.5681E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.3928E-02,  6.6398E+00,  5.5044E+05,  2.4327E+05,  1.0751E+05,  2.7610E+04,  7.0904E+03,  1.7782E+03,  4.4594E+02,  1.1684E+02,  3.0585E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
