Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
6300000.0,50000.0,0.001,50.0,6350.0,0.7297888742690568,1.0,1.0
6350000.0,50000.0,0.001,50.0,6400.0,0.7279666807743116,1.0,1.0
6400000.0,50000.0,0.001,50.0,6450.0,0.7261490370736909,1.0,1.0
6450000.0,50000.0,0.001,50.0,6500.0,0.7243359318069157,1.0,1.0
6500000.0,50000.0,0.001,50.0,6550.0,0.7225273536420722,1.0,1.0
6550000.0,50000.0,0.001,50.0,6600.0,0.7207232912755409,1.0,1.0
6600000.0,50000.0,0.001,50.0,6650.0,0.7189237334319262,1.0,1.0
6650000.0,50000.0,0.001,50.0,6700.0,0.7171286688639856,1.0,1.0
6700000.0,50000.0,0.001,50.0,6750.0,0.7153380863525599,1.0,1.0
6750000.0,50000.0,0.001,50.0,6800.0,0.7135519747065026,1.0,1.0
6800000.0,50000.0,0.001,50.0,6850.0,0.7117703227626098,1.0,1.0
6850000.0,50000.0,0.001,50.0,6900.0,0.7099931193855512,1.0,1.0
6900000.0,50000.0,0.001,50.0,6950.0,0.7082203534678,1.0,1.0
6950000.0,50000.0,0.001,50.0,7000.0,0.7064520139295634,1.0,1.0
7000000.0,50000.0,0.001,50.0,7050.0,0.7046880897187134,1.0,1.0
7050000.0,50000.0,0.001,50.0,7100.0,0.7029285698107182,1.0,1.0
7100000.0,50000.0,0.001,50.0,7150.0,0.7011734432085724,1.0,1.0
7150000.0,50000.0,0.001,50.0,7200.0,0.6994226989427291,1.0,1.0
7200000.0,50000.0,0.001,50.0,7250.0,0.697676326071031,1.0,1.0
7250000.0,50000.0,0.001,50.0,7300.0,0.695934313678642,1.0,1.0
7300000.0,50000.0,0.001,50.0,7350.0,0.6941966508779789,1.0,1.0
7350000.0,50000.0,0.001,50.0,7400.0,0.6924633268086434,1.0,1.0
7400000.0,50000.0,0.001,50.0,7450.0,0.6907343306373547,1.0,1.0
7450000.0,50000.0,0.001,50.0,7500.0,0.6890096515578809,1.0,1.0
7500000.0,50000.0,0.001,50.0,7550.0,0.6872892787909722,1.0,1.0
7550000.0,50000.0,0.001,50.0,7600.0,0.6855732015842932,1.0,1.0
7600000.0,50000.0,0.001,50.0,7650.0,0.6838614092123558,1.0,1.0
7650000.0,50000.0,0.001,50.0,7700.0,0.6821538909764522,1.0,1.0
7700000.0,50000.0,0.001,50.0,7750.0,0.6804506362045877,1.0,1.0
7750000.0,50000.0,0.001,50.0,7800.0,0.6787516342514144,1.0,1.0
7800000.0,50000.0,0.001,50.0,7850.0,0.6770568744981648,1.0,1.0
7850000.0,50000.0,0.001,50.0,7900.0,0.6753663463525846,1.0,1.0
7900000.0,50000.0,0.001,50.0,7950.0,0.6736800392488677,1.0,1.0
7950000.0,50000.0,0.001,50.0,8000.0,0.6719979426475889,1.0,1.0
8000000.0,50000.0,0.001,50.0,8050.0,0.6703200460356393,1.0,1.0
8050000.0,50000.0,0.001,50.0,8100.0,0.6686463389261594,1.0,1.0
8100000.0,50000.0,0.001,50.0,8150.0,0.6669768108584744,1.0,1.0
8150000.0,50000.0,0.001,50.0,8200.0,0.6653114513980284,1.0,1.0
8200000.0,50000.0,0.001,50.0,8250.0,0.6636502501363194,1.0,1.0
8250000.0,50000.0,0.001,50.0,8300.0,0.661993196690834,1.0,1.0
8300000.0,50000.0,0.001,50.0,8350.0,0.6603402807049829,1.0,1.0
8350000.0,50000.0,0.001,50.0,8400.0,0.6586914918480358,1.0,1.0
8400000.0,50000.0,0.001,50.0,8450.0,0.6570468198150567,1.0,1.0
8450000.0,50000.0,0.001,50.0,8500.0,0.6554062543268405,1.0,1.0
8500000.0,50000.0,0.001,50.0,8550.0,0.6537697851298473,1.0,1.0
8550000.0,50000.0,0.001,50.0,8600.0,0.6521374019961392,1.0,1.0
8600000.0,50000.0,0.001,50.0,8650.0,0.6505090947233165,1.0,1.0
8650000.0,50000.0,0.001,50.0,8700.0,0.6488848531344534,1.0,1.0
8700000.0,50000.0,0.001,50.0,8750.0,0.6472646670780347,1.0,1.0
8750000.0,50000.0,0.001,50.0,8800.0,0.645648526427892,1.0,1.0
8800000.0,50000.0,0.001,50.0,8850.0,0.6440364210831414,1.0,1.0
8850000.0,50000.0,0.001,50.0,8900.0,0.642428340968119,1.0,1.0
8900000.0,50000.0,0.001,50.0,8950.0,0.6408242760323187,1.0,1.0
8950000.0,50000.0,0.001,50.0,9000.0,0.6392242162503299,1.0,1.0
9000000.0,50000.0,0.001,50.0,9050.0,0.6376281516217733,1.0,1.0
9050000.0,50000.0,0.001,50.0,9100.0,0.63603607217124,1.0,1.0
9100000.0,50000.0,0.001,50.0,9150.0,0.6344479679482282,1.0,1.0
9150000.0,50000.0,0.001,50.0,9200.0,0.6328638290270814,1.0,1.0
9200000.0,50000.0,0.001,50.0,9250.0,0.631283645506926,1.0,1.0
9250000.0,50000.0,0.001,50.0,9300.0,0.62970740751161,1.0,1.0
9300000.0,50000.0,0.001,50.0,9350.0,0.6281351051896409,1.0,1.0
9350000.0,50000.0,0.001,50.0,9400.0,0.6265667287141238,1.0,1.0
9400000.0,50000.0,0.001,50.0,9450.0,0.6250022682827008,1.0,1.0
9450000.0,50000.0,0.001,50.0,9500.0,0.623441714117489,1.0,1.0
9500000.0,50000.0,0.001,50.0,9550.0,0.6218850564650201,1.0,1.0
9550000.0,50000.0,0.001,50.0,9600.0,0.6203322855961784,1.0,1.0
9600000.0,50000.0,0.001,50.0,9650.0,0.6187833918061408,1.0,1.0
9650000.0,50000.0,0.001,50.0,9700.0,0.6172383654143165,1.0,1.0
9700000.0,50000.0,0.001,50.0,9750.0,0.6156971967642851,0.9999999999999998,1.0
9750000.0,50000.0,0.001,50.0,9800.0,0.6141598762237379,1.0,1.0
9800000.0,50000.0,0.001,50.0,9850.0,0.6126263941844161,0.9999999999999996,1.0
9850000.0,50000.0,0.001,50.0,9900.0,0.6110967410620523,0.9999999999999993,1.0
9900000.0,50000.0,0.001,50.0,9950.0,0.6095709072963093,0.9999999999999993,1.0
9950000.0,50000.0,0.001,50.0,10000.0,0.6080488833507212,0.9999999999999984,1.0
10000000.0,50000.0,0.001,50.0,10050.0,0.6065306597126334,0.9999999999999979,1.0
10050000.0,50000.0,0.001,50.0,10100.0,0.6050162268931433,0.9999999999999969,1.0
10100000.0,50000.0,0.001,50.0,10150.0,0.6035055754270406,0.9999999999999956,1.0
10150000.0,50000.0,0.001,50.0,10200.0,0.601998695872749,0.9999999999999931,1.0
10200000.0,50000.0,0.001,50.0,10250.0,0.6004955788122659,0.99999999999999,1.0
10250000.0,50000.0,0.001,50.0,10300.0,0.5989962148511054,0.9999999999999856,1.0
10300000.0,50000.0,0.001,50.0,10350.0,0.5975005946182375,0.9999999999999787,1.0
10350000.0,50000.0,0.001,50.0,10400.0,0.596008708766031,0.9999999999999691,1.0
10400000.0,50000.0,0.001,50.0,10450.0,0.5945205479701944,0.9999999999999556,1.0
10450000.0,50000.0,0.001,50.0,10500.0,0.593036102929718,0.9999999999999363,1.0
10500000.0,50000.0,0.001,50.0,10550.0,0.591555364366815,0.9999999999999089,1.0
