Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
2580000.0,20000.0,0.0023,46.0,5980.0,0.0,1.0,1.0
2600000.0,20000.0,0.0023,46.0,6026.0,0.0,1.0,1.0
2620000.0,20000.0,0.0023,46.0,6072.0,0.0,1.0,1.0
2640000.0,20000.0,0.0023,46.0,6118.0,0.0,1.0,1.0
2660000.0,20000.0,0.0023,46.0,6164.0,0.0,1.0,1.0
2680000.0,20000.0,0.0023,46.0,6210.0,0.0,1.0,1.0
2700000.0,20000.0,0.0023,46.0,6256.0,0.0,1.0,1.0
2720000.0,20000.0,0.0023,46.0,6302.0,0.0,1.0,1.0
2740000.0,20000.0,0.0023,46.0,6348.0,0.0,1.0,1.0
2760000.0,20000.0,0.0023,46.0,6394.0,0.0,1.0,1.0
2780000.0,20000.0,0.0023,46.0,6440.0,0.0,1.0,1.0
2800000.0,20000.0,0.0023,46.0,6486.0,0.0,1.0,1.0
2820000.0,20000.0,0.0023,46.0,6532.0,0.0,1.0,1.0
2840000.0,20000.0,0.0023,46.0,6578.0,0.0,1.0,1.0
2860000.0,20000.0,0.0023,46.0,6624.0,0.0,1.0,1.0
2880000.0,20000.0,0.0023,46.0,6670.0,0.0,1.0,1.0
2900000.0,20000.0,0.0023,46.0,6716.0,0.0,1.0,1.0
2920000.0,20000.0,0.0023,46.0,6762.0,0.0,1.0,1.0
2940000.0,20000.0,0.0023,46.0,6808.0,0.0,1.0,1.0
2960000.0,20000.0,0.0023,46.0,6854.0,0.0,1.0,1.0
2980000.0,20000.0,0.0023,46.0,6900.0,0.0,1.0,1.0
3000000.0,20000.0,0.0023,46.0,6946.0,0.0,1.0,1.0
3020000.0,20000.0,0.0023,46.0,6992.0,0.0,1.0,1.0
3040000.0,20000.0,0.0023,46.0,7038.0,0.0,1.0,1.0
3060000.0,20000.0,0.0023,46.0,7084.0,0.0,0.9999999999999999,1.0
3080000.0,20000.0,0.0023,46.0,7130.0,0.0,1.0,1.0
3100000.0,20000.0,0.0023,46.0,7176.0,0.0,1.0,1.0
3120000.0,20000.0,0.0023,46.0,7222.0,0.0,1.0,1.0
3140000.0,20000.0,0.0023,46.0,7268.0,0.0,1.0,1.0
3160000.0,20000.0,0.0023,46.0,7314.0,0.0,0.9999999999999999,1.0
3180000.0,20000.0,0.0023,46.0,7360.0,0.0,0.9999999999999999,1.0
3200000.0,20000.0,0.0023,46.0,7406.0,0.0,1.0,1.0
3220000.0,20000.0,0.0023,46.0,7452.0,0.0,1.0,1.0
3240000.0,20000.0,0.0023,46.0,7498.0,0.0,1.0,1.0
3260000.0,20000.0,0.0023,46.0,7544.0,0.0,1.0,1.0
3280000.0,20000.0,0.0023,46.0,7590.0,0.0,1.0,1.0
3300000.0,20000.0,0.0023,46.0,7636.0,0.0,0.9999999999999999,1.0
3320000.0,20000.0,0.0023,46.0,7682.0,0.0,0.9999999999999999,1.0
3340000.0,20000.0,0.0023,46.0,7728.0,0.0,1.0,1.0
3360000.0,20000.0,0.0023,46.0,7774.0,0.0,1.0,1.0
3380000.0,20000.0,0.0023,46.0,7820.0,0.0,1.0,1.0
3400000.0,20000.0,0.0023,46.0,7866.0,0.0,1.0000000000000002,1.0
3420000.0,20000.0,0.0023,46.0,7912.0,0.0,1.0,1.0
3440000.0,20000.0,0.0023,46.0,7958.0,0.0,1.0,1.0
3460000.0,20000.0,0.0023,46.0,8004.0,0.0,1.0000000000000002,1.0
3480000.0,20000.0,0.0023,46.0,8050.0,0.0,1.0,1.0
3500000.0,20000.0,0.0023,46.0,8096.0,0.0,1.0,1.0
3520000.0,20000.0,0.0023,46.0,8142.0,0.0,1.0,1.0
3540000.0,20000.0,0.0023,46.0,8188.0,0.0,1.0,1.0
3560000.0,20000.0,0.0023,46.0,8234.0,0.0,0.9999999999999999,1.0
3580000.0,20000.0,0.0023,46.0,8280.0,0.0,1.0,1.0
3600000.0,20000.0,0.0023,46.0,8326.0,0.0,1.0000000000000002,1.0
3620000.0,20000.0,0.0023,46.0,8372.0,0.0,1.0,1.0
3640000.0,20000.0,0.0023,46.0,8418.0,0.0,0.9999999999999999,1.0
3660000.0,20000.0,0.0023,46.0,8464.0,0.0,0.9999999999999999,1.0
3680000.0,20000.0,0.0023,46.0,8510.0,0.0,1.0,1.0
3700000.0,20000.0,0.0023,46.0,8556.0,0.0,1.0000000000000002,1.0
