Time (hr),dose,SRAM_SEL,MCU_SEFI,MCU_SEL,LREG_SEGR,SRAM_TID,MCU_TID,LREG_TID,WDOG_TID
0.83306,0.009728712447455014,0.00933774597702913,8.491189727327626e-05,0.009661331693573255,6.651470456547073e-06,0.0,0.0,0.0,0.0
0.85,0.00852845727479109,0.008173948258466386,7.441311735925898e-05,0.008457133673150432,5.820331104003646e-06,0.0,0.0,0.0,0.0
0.86639,0.007470608892155375,0.0071485899786325495,6.515317051085872e-05,0.0073961857726039595,5.087880170172219e-06,0.0,0.0,0.0,0.0
0.88333,0.006524087112983674,0.006232631723584059,5.6872449824031946e-05,0.006448442926330546,4.43390093371923e-06,0.0,0.0,0.0,0.0
0.9,0.005692165681358423,0.005429733126498969,4.960627575358463e-05,0.005617692405903082,3.861276176883084e-06,0.0,0.0,0.0,0.0
0.91639,0.004958524627150134,0.0047241556479348515,4.3214268766283856e-05,0.004887648978289992,3.3588495326482606e-06,0.0,0.0,0.0,0.0
0.93333,0.004307970791967533,0.004101036787186152,3.756343153716449e-05,0.004242933408680067,2.9159865719021703e-06,0.0,0.0,0.0,0.0
0.94972,0.003733465009966424,0.0035532062424200976,3.259012518167864e-05,0.003676125065061727,2.527460599487039e-06,0.0,0.0,0.0,0.0
0.96667,0.00322824466576825,0.0030736551677599407,2.8231976633850968e-05,0.003179970135226825,2.1881134937053375e-06,0.0,0.0,0.0,0.0
0.98306,0.0027819618333350857,0.00265196493492958,2.4395387953657365e-05,0.0027436870423395284,1.8903662062125629e-06,0.0,0.0,0.0,0.0
1.0,0.0023898253896904105,0.00228301959729809,2.1034764025199893e-05,0.0023619806527558265,1.630399445487969e-06,0.0,0.0,0.0,0.0
1.01639,0.002047093376033788,0.001961784272135922,1.810514137481344e-05,0.002029639847822282,1.404462929159084e-06,0.0,0.0,0.0,0.0
1.03333,0.001746469850316281,0.0016809076166212416,1.5540282166886102e-05,0.0017390572606966013,1.2072046752208966e-06,0.0,0.0,0.0,0.0
1.05,0.0014852239127564049,0.001437394681428644,1.331357893909477e-05,0.0014871327944611116,1.0363648907536821e-06,0.0,0.0,0.0,0.0
1.06639,0.0012568254556539627,0.0012247897123046983,1.1366679506716607e-05,0.0012671862827077366,8.872849032174014e-07,0.0,0.0,0.0,0.0
1.08333,0.0010609663423171536,0.0010425142989541334,9.694945937962953e-06,0.001078618154410438,7.594578170162659e-07,0.0,0.0,0.0,0.0
1.09972,0.0008914109216519053,0.0008845505832840402,8.243818069508662e-06,0.0009152018385441917,6.485900252161076e-07,0.0,0.0,0.0,0.0
1.11667,0.0007452796618543958,0.000748070642981454,6.987861139818494e-06,0.0007740110830766738,5.526476057849405e-07,0.0,0.0,0.0,0.0
1.13306,0.0006203081171243893,0.0006308798283363498,5.90740468012717e-06,0.0006527749644136403,4.7006221210430564e-07,0.0,0.0,0.0,0.0
1.15,0.0005142334566273601,0.0005308399169397117,4.983249409950462e-06,0.000549281113169669,3.993243700161654e-07,0.0,0.0,0.0,0.0
1.16639,0.00042374750181538957,0.0004448593668133137,4.1873008227492366e-06,0.00046033106311315,3.382608554212408e-07,0.0,0.0,0.0,0.0
1.18333,0.00034771166098139224,0.0003719267905360398,3.510629770147129e-06,0.0003848784439785769,2.8618099694971997e-07,0.0,0.0,0.0,0.0
1.2,0.00028411263628237303,0.0003102255887961643,2.9368086433295844e-06,0.00032104396275968206,2.4183118397352116e-07,0.0,0.0,0.0,0.0
1.21639,0.00023092386061448241,0.000257907030683695,2.4490173312526916e-06,0.0002669150884335333,2.039236995001371e-07,0.0,0.0,0.0,0.0
1.23333,0.00018694318036278326,0.00021393114152911422,2.037904315765445e-06,0.00022141606097727593,1.7175479219454801e-07,0.0,0.0,0.0,0.0
1.24972,0.00015093670987469096,0.000177249925192575,1.694013924267067e-06,0.00018346289901522372,1.4462640986043432e-07,0.0,0.0,0.0,0.0
1.26667,0.00012143269005690165,0.00014656279759606527,1.4054659603023521e-06,0.0001517102799223022,1.2165185947519864e-07,0.0,0.0,0.0,0.0
1.28306,9.747407969499935e-05,0.00012107241496423598,1.1650434101425654e-06,0.00012533355039398672,1.0231051320807277e-07,0.0,0.0,0.0,0.0
1.3,7.810669770179123e-05,9.995935323849008e-05,9.652735072236428e-07,0.00010348517799086618,8.605768603025638e-08,0.0,0.0,0.0,0.0
1.31639,6.251112436911962e-05,8.251348794771648e-05,7.996628494868359e-07,8.543067572382532e-05,7.242009179546546e-08,0.0,0.0,0.0,0.0
1.33333,4.995356574781524e-05,6.807913612903321e-05,6.621815490446367e-07,7.049182532396644e-05,6.09523779002913e-08,0.0,0.0,0.0,0.0
1.35,3.9940395734220675e-05,5.62386858420394e-05,5.490219515248907e-07,5.823673326209744e-05,5.138492446516916e-08,0.0,0.0,0.0,0.0
1.36639,3.1915526520772526e-05,4.646697430737005e-05,4.5531083649338757e-07,4.812212883350085e-05,4.334931845572633e-08,0.0,0.0,0.0,0.0
1.38333,2.5540295110179897e-05,3.846608092551384e-05,3.7831405452224043e-07,3.9839885714643e-05,3.6649818702223376e-08,0.0,0.0,0.0,0.0
1.39972,2.044410034073675e-05,3.186968889439459e-05,3.1461030052404903e-07,3.301102329164791e-05,3.102301820738604e-08,0.0,0.0,0.0,0.0
1.41667,1.6375884205770933e-05,2.6434844226250767e-05,2.619379383259226e-07,2.738420810520725e-05,2.6298170464592082e-08,0.0,0.0,0.0,0.0
1.43306,1.3152567498519975e-05,2.1988382661872814e-05,2.1869149470019537e-07,2.2780321313284382e-05,2.2357283813613355e-08,0.0,0.0,0.0,0.0
1.45,1.0587578855856867e-05,1.833371105722579e-05,1.830200954929436e-07,1.899594941103557e-05,1.9054435325054422e-08,0.0,0.0,0.0,0.0
