Time (hr),MJD (days),Altitude (km),Latitude (deg),Longitude (deg),LocalTime (hrs),Alpha (deg),L-shell,Orbit
4.0,26670.16666667,33707.12,0.0002812708,1.921882,4.128125,90.0,6.4056,0
4.06639,26670.16944444,33893.56,0.0002939595,1.521536,4.168102,90.0,6.4366,0
4.13306,26670.17222222,34070.25,0.0003068218,1.115782,4.207719,90.0,6.4662,0
4.2,26670.175,34237.27,0.0003198579,0.704976,4.246998,90.0,6.4943,0
4.26667,26670.17777778,34394.66,0.0003330677,0.28946,4.285964,90.0,6.5207,0
4.33333,26670.18055556,34542.49,0.0003464513,359.869564,4.324638,90.0,6.5458,0
4.39972,26670.18333333,34680.81,0.0003600088,359.445605,4.36304,90.0,6.5695,0
4.46639,26670.18611111,34809.67,0.0003737404,359.017891,4.401193,90.0,6.5916,0
4.53333,26670.18888889,34929.13,0.0003876463,358.586721,4.439115,90.0,6.6123,0
4.6,26670.19166667,35039.21,0.0004017269,358.152382,4.476825,90.0,6.6314,0
4.66639,26670.19444444,35139.96,0.0004159823,357.715157,4.514344,90.0,6.6493,0
4.73306,26670.19722222,35231.42,0.000430413,357.275319,4.551688,90.0,6.6657,0
4.8,26670.2,35313.61,0.0004450194,356.833136,4.588876,90.0,6.6806,0
4.86667,26670.20277778,35386.57,0.000459802,356.38887,4.625925,90.0,6.6941,0
4.93333,26670.20555556,35450.32,0.0004747614,355.942778,4.662852,90.0,6.7061,0
4.99972,26670.20833333,35504.89,0.0004898982,355.495114,4.699674,90.0,6.7168,0
5.06639,26670.21111111,35550.28,0.000505213,355.046126,4.736408,90.0,6.726,0
5.13333,26670.21388889,35586.53,0.0005207066,354.59606,4.773071,90.0,6.7338,0
5.2,26670.21666667,35613.63,0.0005363798,354.14516,4.809677,90.0,6.7372,0
5.26639,26670.21944444,35631.6,0.0005522335,353.693668,4.846245,90.0,6.7438,0
5.33306,26670.22222222,35640.45,0.0005682688,353.241823,4.882788,90.0,6.7477,0
5.4,26670.225,35640.17,0.0005844866,352.789866,4.919324,90.0,6.75,0
5.46667,26670.22777778,35630.77,0.000600888,352.338035,4.955869,90.0,6.7506,0
5.53333,26670.23055556,35612.25,0.0006174744,351.88657,4.992438,90.0,6.7498,0
5.59972,26670.23333333,35584.6,0.000634247,351.43571,5.029047,90.0,6.7476,0
5.66639,26670.23611111,35547.8,0.0006512072,350.985699,5.065713,90.0,6.7439,0
5.73333,26670.23888889,35501.85,0.0006683566,350.53678,5.102452,90.0,6.7387,0
5.8,26670.24166667,35446.73,0.0006856968,350.089198,5.13928,90.0,6.7321,0
5.86639,26670.24444444,35382.43,0.0007032294,349.643203,5.176214,90.0,6.724,0
5.93306,26670.24722222,35308.91,0.0007209564,349.199049,5.21327,90.0,6.7144,0
6.0,26670.25,35226.15,0.0007388796,348.756992,5.250466,90.0,6.7034,0
6.06667,26670.25277778,35134.13,0.0007570013,348.317295,5.28782,90.0,6.6908,0
6.13333,26670.25555556,35032.82,0.0007753234,347.880227,5.325348,90.0,6.6768,0
6.19972,26670.25833333,34922.17,0.0007938485,347.446061,5.363071,90.0,6.6612,0
6.26639,26670.26111111,34802.15,0.000812579,347.015079,5.401005,90.0,6.6441,0
6.33333,26670.26388889,34672.71,0.0008315175,346.587572,5.439171,90.0,6.6255,0
