Time (hr),SRAM_TID,MCU_TID,LREG_TID,WDOG_TID,SRAM_SEL,MCU_SEFI,LREG_SEGR,MCU_SEL
55.51389,0.0,0.0,3.257789467236982e-05,0.0,7.454155825925568e-08,7.157180403893904e-10,3.324895914147419e-12,7.454154005159808e-08
55.53028,0.0,0.0,3.2577912379927465e-05,0.0,6.22738419719937e-08,5.998015417674196e-10,3.0563329644905934e-12,6.227382609580445e-08
55.54722,0.0,0.0,3.257792776356627e-05,0.0,5.583908013750971e-08,5.394691360294246e-10,3.0100366643637244e-12,5.5839065371543484e-08
55.56389,0.0,0.0,3.257794056910068e-05,0.0,4.793074470654801e-08,4.644346018878309e-10,2.8300695120719865e-12,4.793073160591632e-08
55.58028,0.0,0.0,3.257795122585394e-05,0.0,4.113732421373584e-08,3.9978609311930313e-10,2.6614266346314253e-12,4.113731255639408e-08
55.64694,0.0,0.0,3.25779752297084e-05,0.0,1.0358068303073509e-07,1.0172840347877354e-09,9.314549132000138e-12,1.0358065027915586e-07
55.71389,0.0,0.0,3.2577990041859906e-05,0.0,7.027027515427164e-08,6.962169729618495e-10,8.344658297687602e-12,7.027025106243201e-08
55.78056,0.0,0.0,3.2578000137950536e-05,0.0,5.170467776149934e-08,5.158251603631925e-10,7.663314427475143e-12,5.170465888770792e-08
55.84722,0.0,0.0,3.2578007746919546e-05,0.0,4.137709663787348e-08,4.149601773306699e-10,7.274292279646488e-12,4.137708098372883e-08
55.91361,0.0,0.0,3.2578013958450835e-05,0.0,3.535231329898636e-08,3.55881768498989e-10,7.051803585511607e-12,3.535229964324316e-08
55.98028,0.0,0.0,3.257801945122374e-05,0.0,3.231493495015059e-08,3.26130233929689e-10,7.040257266055505e-12,3.2314922293608106e-08
56.04722,0.0,0.0,3.2578024614371426e-05,0.0,3.1065326200341303e-08,3.1397850985825926e-10,7.154166148382046e-12,3.106531398788803e-08
56.11389,0.0,0.0,3.257802968564816e-05,0.0,3.091976885638559e-08,3.126811032316823e-10,7.31936733444627e-12,3.091975675495462e-08
56.18028,0.0,0.0,3.257803488576627e-05,0.0,3.1879881290386436e-08,3.2232461144587887e-10,7.577050098461768e-12,3.187986896691086e-08
56.24694,0.0,0.0,3.25780404618059e-05,0.0,3.414977789439888e-08,3.4498381928926847e-10,7.990497152832177e-12,3.414976490478949e-08
56.31389,0.0,0.0,3.257804662071262e-05,0.0,3.7477501324545415e-08,3.780851187684675e-10,8.494094316802148e-12,3.747748744675761e-08
56.38056,0.0,0.0,3.257805352607779e-05,0.0,4.156551158818189e-08,4.185798374578553e-10,9.005907131154345e-12,4.156549660017106e-08
56.44722,0.0,0.0,3.2578061445853734e-05,0.0,4.6986277646432484e-08,4.721689705888821e-10,9.630074515598608e-12,4.698626121513172e-08
56.51361,0.0,0.0,3.257807061923801e-05,0.0,5.34915622907306e-08,5.362703614508746e-10,1.02873265461767e-11,5.34915443051176e-08
56.58028,0.0,0.0,3.2578081436918094e-05,0.0,6.18687716613664e-08,6.186767764759793e-10,1.1099010599480152e-11,6.186875167735195e-08
56.64722,0.0,0.0,3.257809427220648e-05,0.0,7.188833706095465e-08,7.169548288388228e-10,1.1980416658730064e-11,7.188831463444956e-08
56.71389,0.0,0.0,3.2578109431025126e-05,0.0,8.305877274850104e-08,8.260921946501298e-10,1.2825185358167346e-11,8.305874787950529e-08
56.78028,0.0,0.0,3.257812733453713e-05,0.0,9.591924043927946e-08,9.51373979596326e-10,1.3710033108793596e-11,9.591921301677075e-08
56.84694,0.0,0.0,3.257814862167585e-05,0.0,1.1149500855900385e-07,1.1028337132401589e-09,1.475219946200923e-11,1.1149497802787067e-07
56.91389,0.0,0.0,3.257817385687867e-05,0.0,1.292319603551917e-07,1.2748317956834399e-09,1.584354869521576e-11,1.2923192660441174e-07
56.98056,0.0,0.0,3.257820336455275e-05,0.0,1.4781490365045613e-07,1.454331433059508e-09,1.6824097670564697e-11,1.4781486679105171e-07
57.04722,0.0,0.0,3.2578237790736875e-05,0.0,1.6880233211225004e-07,1.6566397142980804e-09,1.788291736914971e-11,1.6880229181115425e-07
57.11361,0.0,0.0,3.257827749253428e-05,0.0,1.907190578798179e-07,1.8672434709543495e-09,1.886846234810946e-11,1.9071901447009765e-07
57.18028,0.0,0.0,3.2578323278076304e-05,0.0,2.1569994768100287e-07,2.107034324794199e-09,2.0001444944739433e-11,2.1569990071856893e-07
57.24722,0.0,0.0,3.257837561482235e-05,0.0,2.4207354321070795e-07,2.3596324894015197e-09,2.1121326909678828e-11,2.4207349269556033e-07
57.31389,0.0,0.0,3.257843441628605e-05,0.0,2.673449190915278e-07,2.6008132314458976e-09,2.2041035663278308e-11,2.673448656898003e-07
57.38028,0.0,0.0,3.257849982868377e-05,0.0,2.9272379931111203e-07,2.842526769519793e-09,2.2906454510973617e-11,2.92723743133827e-07
57.44694,0.0,0.0,3.25785724766825e-05,0.0,3.2042417863475947e-07,3.106357948645666e-09,2.3909429991419984e-11,3.2042411945987226e-07
57.51389,0.0,0.0,3.257865243966318e-05,0.0,3.4805700976914267e-07,3.3691651690759272e-09,2.4872770509887232e-11,3.480569478186979e-07
57.58056,0.0,0.0,3.2578738833777265e-05,0.0,3.7163645449922456e-07,3.5925907804212898e-09,2.5555113580821853e-11,3.7163639043935603e-07
57.64722,0.0,0.0,3.257883171048359e-05,0.0,3.9533785045620107e-07,3.817158145125177e-09,2.6270874364797692e-11,3.953377843979311e-07
57.71361,0.0,0.0,3.257893025787606e-05,0.0,4.156262650711895e-07,4.0088783404002015e-09,2.6807112085691642e-11,4.156261974586073e-07
57.78028,0.0,0.0,3.2579034766000436e-05,0.0,4.372725912471509e-07,4.21389334537281e-09,2.748923311202134e-11,4.3727252185821186e-07
57.84722,0.0,0.0,3.257914466819889e-05,0.0,4.567397871024781e-07,4.398156838725242e-09,2.8096414084188837e-11,4.567397161592268e-07
57.91389,0.0,0.0,3.257925839889042e-05,0.0,4.700068041429972e-07,4.523078689366855e-09,2.840017110372628e-11,4.7000673231156753e-07
57.98028,0.0,0.0,3.2579375248087405e-05,0.0,4.806845945726224e-07,4.623479488152782e-09,2.86269896676572e-11,4.806845221860812e-07
58.04694,0.0,0.0,3.257949549423378e-05,0.0,4.928739322229703e-07,4.738832215522848e-09,2.902289519823853e-11,4.928738588372283e-07
58.11389,0.0,0.0,3.257961850611224e-05,0.0,5.028480329904994e-07,4.833298872242153e-09,2.936451082291569e-11,5.028479588276014e-07
58.18056,0.0,0.0,3.257974257153684e-05,0.0,5.062067270911186e-07,4.864599945086923e-09,2.939548604530273e-11,5.062066529282205e-07
58.24722,0.0,0.0,3.257986759491738e-05,0.0,5.095281842004695e-07,4.895926664083561e-09,2.949207544844512e-11,5.095281099265492e-07
58.31361,0.0,0.0,3.257999254574484e-05,0.0,5.089737977748143e-07,4.890362559351047e-09,2.9425795133875e-11,5.089737237229386e-07
58.38028,0.0,0.0,3.258011798623617e-05,0.0,5.109947701642525e-07,4.90984930490157e-09,2.956179745439158e-11,5.109946956682876e-07
58.44722,0.0,0.0,3.258024349961364e-05,0.0,5.115578324277337e-07,4.915585716247506e-09,2.965849787983643e-11,5.115577578207464e-07
58.51389,0.0,0.0,3.258036776010442e-05,0.0,5.069052440020982e-07,4.8714052791609674e-09,2.9487856600951545e-11,5.069051698392002e-07
58.58028,0.0,0.0,3.2580490499645176e-05,0.0,5.013074155790775e-07,4.81829898202335e-09,2.9290125880265805e-11,5.01307341971291e-07
58.64694,0.0,0.0,3.2580612562393974e-05,0.0,4.992577200546577e-07,4.799401098765088e-09,2.931854758969621e-11,4.992576464468712e-07
58.71389,0.0,0.0,3.2580733871634404e-05,0.0,4.969565327028747e-07,4.77815176314067e-09,2.934430476386751e-11,4.969564590950881e-07
58.78056,0.0,0.0,3.258085334389982e-05,0.0,4.902408800022684e-07,4.714481915968349e-09,2.911415553086272e-11,4.902408069495934e-07
58.84722,0.0,0.0,3.2580971483064936e-05,0.0,4.855727742114624e-07,4.670479558654961e-09,2.900168993846819e-11,4.855727016028766e-07
58.91361,0.0,0.0,3.2581087872407544e-05,0.0,4.791577341567432e-07,4.609635784191823e-09,2.877842408821607e-11,4.791576621032689e-07
58.98028,0.0,0.0,3.25812035785189e-05,0.0,4.770639581153091e-07,4.590287039363261e-09,2.880096161561596e-11,4.770638859508125e-07
59.04722,0.0,0.0,3.2581318699431705e-05,0.0,4.75297666890917e-07,4.574004952573318e-09,2.8827940035114352e-11,4.752975948374427e-07
59.11389,0.0,0.0,3.25814328834273e-05,0.0,4.7171981121252315e-07,4.539894349342433e-09,2.867117654403728e-11,4.7171973949211576e-07
59.18028,0.0,0.0,3.2581545648169286e-05,0.0,4.66434432966345e-07,4.489663862905502e-09,2.846989310967274e-11,4.6643436191207144e-07
59.24694,0.0,0.0,3.2581658298225236e-05,0.0,4.6631302597077706e-07,4.4888845973645175e-09,2.85360624019404e-11,4.663129546944589e-07
59.31389,0.0,0.0,3.2581771093442846e-05,0.0,4.671261838451457e-07,4.4969468149247405e-09,2.8630209314428612e-11,4.671261123467829e-07
59.38056,0.0,0.0,3.2581883326887606e-05,0.0,4.6485437599219637e-07,4.475138037918214e-09,2.850253366659672e-11,4.648543048269005e-07
59.44722,0.0,0.0,3.258199566424924e-05,0.0,4.6520860741416925e-07,4.4784661534791326e-09,2.850875091553462e-11,4.6520853613785107e-07
59.51361,0.0,0.0,3.258210787415727e-05,0.0,4.6447634272084315e-07,4.471193970623233e-09,2.8421709430404007e-11,4.644762717775919e-07
59.58028,0.0,0.0,3.258222110208431e-05,0.0,4.6835039513304366e-07,4.5081158805970745e-09,2.858868697330763e-11,4.683503237457032e-07
59.64722,0.0,0.0,3.2582335538933194e-05,0.0,4.7288393145716867e-07,4.551242271944034e-09,2.876909821480922e-11,4.728838595147167e-07
59.71389,0.0,0.0,3.258245043208374e-05,0.0,4.7419844440010905e-07,4.5632682077467734e-09,2.873157267657689e-11,4.7419837256867936e-07
59.78028,0.0,0.0,3.258256591676112e-05,0.0,4.759723314373687e-07,4.579606582844065e-09,2.8701929721819397e-11,4.7597225960593903e-07
59.84694,0.0,0.0,3.2582683079429575e-05,0.0,4.82138200363913e-07,4.638108452859058e-09,2.892008854615824e-11,4.821381279773718e-07
59.91389,0.0,0.0,3.2582802046654535e-05,0.0,4.887621264382247e-07,4.700946854008237e-09,2.9153346403631986e-11,4.887620533855497e-07
59.98056,0.0,0.0,3.258292186569811e-05,0.0,4.914268076916528e-07,4.725655422532782e-09,2.9141800084175884e-11,4.914267346389778e-07
60.04722,0.0,0.0,3.2583043002409884e-05,0.0,4.960062703895929e-07,4.768779815478297e-09,2.9244717758558636e-11,4.960061971148733e-07
60.11361,0.0,0.0,3.2583164925048536e-05,0.0,4.984376510419608e-07,4.791281149607585e-09,2.922673214555971e-11,4.984375776562189e-07
60.18028,0.0,0.0,3.2583288513576836e-05,0.0,5.045391635594143e-07,4.849138757201388e-09,2.943778554254095e-11,5.045390896185609e-07
60.24722,0.0,0.0,3.2583413555331564e-05,0.0,5.098857754903818e-07,4.8998610724382274e-09,2.962619038981984e-11,5.098857009944169e-07
60.31389,0.0,0.0,3.258353876173237e-05,0.0,5.101447525523994e-07,4.901870354068194e-09,2.955025113493548e-11,5.101446781674568e-07
60.38028,0.0,0.0,3.2583663750862524e-05,0.0,5.090661091555759e-07,4.891260840800271e-09,2.943767452023849e-11,5.090660349926779e-07
60.44694,0.0,0.0,3.258378911319415e-05,0.0,5.106608134131108e-07,4.906625550304966e-09,2.952993405358484e-11,5.106607390281681e-07
60.51389,0.0,0.0,3.258391435884134e-05,0.0,5.105768273727662e-07,4.9062022222656765e-09,2.9584557026396396e-11,5.10576752765779e-07
60.58056,0.0,0.0,3.258403782202546e-05,0.0,5.040585669968678e-07,4.844337486709094e-09,2.9334312756645886e-11,5.040584930560144e-07
60.64722,0.0,0.0,3.258415934481729e-05,0.0,4.972801463942744e-07,4.780392082182061e-09,2.9143687463317747e-11,4.972800727864879e-07
60.71361,0.0,0.0,3.258427774321948e-05,0.0,4.86060765636509e-07,4.6742005821442945e-09,2.8773761151512645e-11,4.860606929169009e-07
