Run,Full,Minimal
496,['A'],['A']
497,['B'],['B']
498,['B'],['B']
499,['B'],['B']
500,['A'],['A']
501,['A'],['A']
502,['B'],['B']
503,['A'],['A']
504,['A'],['A']
505,['B'],['B']
506,['B'],['B']
507,['A'],['A']
508,['B'],['B']
509,['A'],['A']
510,['B'],['B']
511,['B'],['B']
512,['A'],['A']
513,['B'],['B']
514,['A'],['A']
515,['A'],['A']
516,['B'],['B']
517,['B'],['B']
518,['A'],['A']
519,['A'],['A']
520,['B'],['B']
521,['B'],['B']
522,['A'],['A']
523,['B'],['B']
524,['B'],['B']
525,['A'],['A']
526,['A'],['A']
527,['B'],['B']
528,['A'],['A']
529,['B'],['B']
530,['A'],['A']
531,['B'],['B']
532,['B'],['B']
533,['B'],['B']
534,['A'],['A']
535,['B'],['B']
536,['A'],['A']
537,['A'],['A']
538,['B'],['B']
539,['A'],['A']
540,['A'],['A']
541,['A'],['A']
542,['B'],['B']
543,['B'],['B']
544,['A'],['A']
545,['A'],['A']
546,['B'],['B']
547,['A'],['A']
548,['A'],['A']
549,['A'],['A']
550,['A'],['A']
551,['A'],['A']
552,['A'],['A']
553,['B'],['B']
554,['B'],['B']
555,['B'],['B']
556,['A'],['A']
557,['A'],['A']
558,['B'],['B']
559,['A'],['A']
560,['A'],['A']
561,['A'],['A']
562,['A'],['A']
563,['B'],['B']
564,['B'],['B']
565,['B'],['B']
566,['A'],['A']
567,['A'],['A']
568,['A'],['A']
569,['B'],['B']
570,['B'],['B']
571,['A'],['A']
572,['B'],['B']
573,['A'],['A']
574,['B'],['B']
575,['B'],['B']
576,['B'],['B']
577,['A'],['A']
578,['A'],['A']
579,['A'],['A']
580,['B'],['B']
581,['B'],['B']
582,['A'],['A']
583,['A'],['A']
584,['B'],['B']
585,['B'],['B']
586,['A'],['A']
587,['A'],['A']
588,['A'],['A']
589,['B'],['B']
590,['A'],['A']
591,['A'],['A']
592,['B'],['B']
593,['B'],['B']
594,['A'],['A']
595,['A'],['A']
596,['A'],['A']
597,['A'],['A']
598,['A'],['A']
599,['B'],['B']
600,['B'],['B']
601,['A'],['A']
602,['A'],['A']
603,['B'],['B']
604,['B'],['B']
605,['B'],['B']
606,['A'],['A']
607,['A'],['A']
608,['A'],['A']
609,['B'],['B']
610,['A'],['A']
611,['B'],['B']
612,['A'],['A']
613,['A'],['A']
614,['B'],['B']
615,['A'],['A']
616,['B'],['B']
617,['A'],['A']
618,['B'],['B']
619,['B'],['B']
620,['A'],['A']
621,['B'],['B']
622,['B'],['B']
623,['A'],['A']
624,['B'],['B']
625,['B'],['B']
626,['A'],['A']
627,['B'],['B']
628,['B'],['B']
629,['B'],['B']
630,['A'],['A']
631,['A'],['A']
632,['B'],['B']
633,['B'],['B']
634,['B'],['B']
635,['A'],['A']
636,['B'],['B']
637,['B'],['B']
638,['B'],['B']
639,['B'],['B']
640,['A'],['A']
641,['A'],['A']
642,['B'],['B']
643,['B'],['B']
644,['B'],['B']
645,['A'],['A']
646,['A'],['A']
647,['B'],['B']
648,['B'],['B']
649,['A'],['A']
650,['A'],['A']
651,['B'],['B']
652,['A'],['A']
653,['B'],['B']
654,['B'],['B']
655,['A'],['A']
656,['B'],['B']
657,['A'],['A']
658,['A'],['A']
659,['B'],['B']
660,['B'],['B']
661,['A'],['A']
662,['A'],['A']
663,['A'],['A']
664,['B'],['B']
665,['B'],['B']
666,['A'],['A']
667,['A'],['A']
668,['A'],['A']
669,['A'],['A']
670,['A'],['A']
671,['A'],['A']
672,['A'],['A']
673,['B'],['B']
674,['A'],['A']
675,['A'],['A']
676,['A'],['A']
677,['B'],['B']
678,['B'],['B']
679,['A'],['A']
680,['A'],['A']
681,['B'],['B']
682,['A'],['A']
683,['A'],['A']
684,['A'],['A']
685,['A'],['A']
686,['A'],['A']
687,['A'],['A']
688,['A'],['A']
689,['B'],['B']
690,['B'],['B']
691,['B'],['B']
692,['B'],['B']
693,['A'],['A']
694,['B'],['B']
695,['B'],['B']
696,['A'],['A']
697,['B'],['B']
698,['B'],['B']
699,['A'],['A']
700,['B'],['B']
701,['A'],['A']
702,['B'],['B']
703,['A'],['A']
704,['A'],['A']
705,['B'],['B']
706,['B'],['B']
707,['A'],['A']
708,['B'],['B']
709,['A'],['A']
710,['A'],['A']
711,['A'],['A']
712,['A'],['A']
713,['A'],['A']
714,['A'],['A']
715,['A'],['A']
716,['A'],['A']
717,['A'],['A']
718,['B'],['B']
719,['A'],['A']
720,['B'],['B']
721,['A'],['A']
722,['A'],['A']
723,['A'],['A']
724,['B'],['B']
725,['A'],['A']
726,['A'],['A']
727,['B'],['B']
728,['A'],['A']
729,['A'],['A']
730,['B'],['B']
731,['B'],['B']
732,['B'],['B']
733,['B'],['B']
734,['A'],['A']
735,['A'],['A']
736,['B'],['B']
737,['B'],['B']
738,['A'],['A']
739,['B'],['B']
740,['B'],['B']
741,['B'],['B']
742,['A'],['A']
743,['B'],['B']
744,['A'],['A']
745,['B'],['B']
746,['B'],['B']
747,['A'],['A']
748,['B'],['B']
749,['A'],['A']
750,['B'],['B']
751,['A'],['A']
752,['B'],['B']
753,['A'],['A']
754,['A'],['A']
755,['B'],['B']
756,['B'],['B']
757,['A'],['A']
758,['A'],['A']
759,['B'],['B']
760,['B'],['B']
761,['A'],['A']
762,['B'],['B']
763,['A'],['A']
764,['A'],['A']
765,['A'],['A']
766,['B'],['B']
767,['B'],['B']
768,['A'],['A']
769,['B'],['B']
770,['A'],['A']
771,['B'],['B']
772,['A'],['A']
773,['A'],['A']
774,['A'],['A']
775,['A'],['A']
776,['A'],['A']
777,['B'],['B']
778,['B'],['B']
779,['A'],['A']
780,['B'],['B']
781,['B'],['B']
782,['A'],['A']
783,['B'],['B']
784,['A'],['A']
785,['A'],['A']
786,['A'],['A']
787,['B'],['B']
788,['A'],['A']
789,['B'],['B']
790,['B'],['B']
791,['B'],['B']
792,['A'],['A']
793,['A'],['A']
794,['A'],['A']
795,['A'],['A']
796,['B'],['B']
797,['B'],['B']
798,['B'],['B']
799,['B'],['B']
800,['B'],['B']
801,['A'],['A']
802,['B'],['B']
803,['B'],['B']
804,['B'],['B']
805,['B'],['B']
806,['A'],['A']
807,['A'],['A']
808,['B'],['B']
809,['A'],['A']
810,['B'],['B']
811,['A'],['A']
812,['A'],['A']
813,['B'],['B']
814,['A'],['A']
815,['A'],['A']
816,['A'],['A']
817,['A'],['A']
818,['B'],['B']
819,['A'],['A']
820,['A'],['A']
821,['B'],['B']
822,['B'],['B']
823,['A'],['A']
824,['B'],['B']
825,['A'],['A']
826,['A'],['A']
827,['A'],['A']
828,['B'],['B']
829,['A'],['A']
830,['B'],['B']
831,['B'],['B']
832,['B'],['B']
833,['B'],['B']
834,['A'],['A']
835,['B'],['B']
836,['A'],['A']
837,['A'],['A']
838,['A'],['A']
839,['A'],['A']
840,['B'],['B']
841,['A'],['A']
842,['B'],['B']
843,['B'],['B']
844,['A'],['A']
845,['A'],['A']
846,['A'],['A']
847,['A'],['A']
848,['A'],['A']
849,['B'],['B']
850,['B'],['B']
851,['A'],['A']
852,['B'],['B']
853,['B'],['B']
854,['A'],['A']
855,['B'],['B']
856,['B'],['B']
857,['B'],['B']
858,['B'],['B']
859,['A'],['A']
860,['A'],['A']
861,['A'],['A']
862,['A'],['A']
863,['A'],['A']
864,['B'],['B']
865,['B'],['B']
866,['A'],['A']
867,['A'],['A']
868,['B'],['B']
869,['B'],['B']
870,['B'],['B']
871,['A'],['A']
872,['B'],['B']
873,['B'],['B']
874,['A'],['A']
875,['B'],['B']
876,['B'],['B']
877,['B'],['B']
878,['B'],['B']
879,['A'],['A']
880,['B'],['B']
881,['A'],['A']
882,['A'],['A']
883,['B'],['B']
884,['A'],['A']
885,['B'],['B']
886,['B'],['B']
887,['B'],['B']
888,['B'],['B']
889,['B'],['B']
890,['A'],['A']
891,['A'],['A']
892,['A'],['A']
893,['B'],['B']
894,['B'],['B']
895,['A'],['A']
896,['B'],['B']
897,['A'],['A']
898,['B'],['B']
899,['B'],['B']
900,['B'],['B']
901,['A'],['A']
902,['B'],['B']
903,['B'],['B']
904,['A'],['A']
905,['B'],['B']
906,['B'],['B']
907,['A'],['A']
908,['B'],['B']
909,['A'],['A']
910,['A'],['A']
911,['B'],['B']
912,['B'],['B']
913,['B'],['B']
914,['A'],['A']
915,['A'],['A']
916,['A'],['A']
917,['B'],['B']
918,['A'],['A']
919,['B'],['B']
920,['A'],['A']
921,['B'],['B']
922,['A'],['A']
923,['A'],['A']
924,['A'],['A']
925,['A'],['A']
926,['B'],['B']
927,['A'],['A']
928,['B'],['B']
929,['A'],['A']
930,['B'],['B']
931,['A'],['A']
932,['B'],['B']
933,['B'],['B']
934,['B'],['B']
935,['A'],['A']
936,['A'],['A']
937,['A'],['A']
938,['A'],['A']
939,['A'],['A']
940,['A'],['A']
941,['A'],['A']
942,['A'],['A']
943,['B'],['B']
944,['A'],['A']
945,['B'],['B']
946,['A'],['A']
947,['B'],['B']
948,['A'],['A']
949,['B'],['B']
950,['B'],['B']
951,['A'],['A']
952,['B'],['B']
953,['A'],['A']
954,['B'],['B']
955,['B'],['B']
956,['A'],['A']
957,['B'],['B']
958,['A'],['A']
959,['B'],['B']
960,['B'],['B']
961,['B'],['B']
962,['B'],['B']
963,['A'],['A']
964,['A'],['A']
965,['B'],['B']
966,['B'],['B']
967,['B'],['B']
968,['B'],['B']
969,['A'],['A']
970,['B'],['B']
971,['A'],['A']
972,['A'],['A']
973,['A'],['A']
974,['A'],['A']
975,['A'],['A']
976,['B'],['B']
977,['B'],['B']
978,['A'],['A']
979,['A'],['A']
980,['B'],['B']
981,['B'],['B']
982,['A'],['A']
983,['B'],['B']
984,['A'],['A']
985,['A'],['A']
986,['A'],['A']
987,['B'],['B']
988,['B'],['B']
989,['B'],['B']
990,['A'],['A']
991,['B'],['B']
992,['B'],['B']
993,['A'],['A']
994,['A'],['A']
995,['B'],['B']
996,['A'],['A']
997,['B'],['B']
998,['A'],['A']
999,['A'],['A']
1000,['A'],['A']
1001,['A'],['A']
1002,['B'],['B']
1003,['A'],['A']
1004,['A'],['A']
1005,['A'],['A']
1006,['A'],['A']
1007,['A'],['A']
1008,['B'],['B']
1009,['A'],['A']
1010,['A'],['A']
1011,['B'],['B']
1012,['B'],['B']
1013,['B'],['B']
1014,['B'],['B']
1015,['B'],['B']
1016,['A'],['A']
1017,['B'],['B']
1018,['B'],['B']
1019,['A'],['A']
1020,['A'],['A']
1021,['A'],['A']
1022,['B'],['B']
1023,['A'],['A']
1024,['B'],['B']
1025,['A'],['A']
1026,['A'],['A']
1027,['A'],['A']
1028,['B'],['B']
1029,['A'],['A']
1030,['A'],['A']
1031,['B'],['B']
1032,['B'],['B']
