Time (s),A,B,Z
920000.0,0.0,0.059778694457946036,0.05977869445794604
940000.0,0.0,0.061037747253603,0.061037747253603
960000.0,0.0,0.062295114048386724,0.062295114048386724
980000.0,0.0,0.0635507971000252,0.0635507971000252
1000000.0,0.0,0.06480479866322342,0.06480479866322342
1020000.0,0.0,0.06605712098966687,0.06605712098966687
1040000.0,0.0,0.06730776632802582,0.06730776632802582
1060000.0,0.0,0.06855673692395936,0.06855673692395936
1080000.0,0.0,0.06980403502011945,0.06980403502011945
1100000.0,0.0,0.07104966285615488,0.07104966285615488
1120000.0,0.0,0.07229362266871542,0.07229362266871542
1140000.0,0.0,0.07353591669145543,0.07353591669145543
1160000.0,0.0,0.07477654715503868,0.07477654715503868
1180000.0,0.0,0.07601551628714132,0.07601551628714132
1200000.0,0.0,0.07725282631245678,0.07725282631245678
1220000.0,0.0,0.07848847945269921,0.07848847945269921
1240000.0,0.0,0.0797224779266078,0.0797224779266078
1260000.0,0.0,0.08095482394995046,0.08095482394995046
1280000.0,0.0,0.08218551973552801,0.08218551973552801
1300000.0,0.0,0.08341456749317833,0.08341456749317833
1320000.0,0.0,0.08464196942977975,0.08464196942977975
1340000.0,0.0,0.08586772774925544,0.08586772774925544
1360000.0,0.0,0.08709184465257758,0.08709184465257758
1380000.0,0.0,0.08831432233777059,0.08831432233777059
1400000.0,0.0,0.08953516299991593,0.08953516299991593
1420000.0,0.0,0.09075436883115529,0.09075436883115529
1440000.0,0.0,0.09197194202069503,0.09197194202069503
1460000.0,0.0,0.09318788475480988,0.09318788475480988
1480000.0,0.0,0.0944021992168469,0.0944021992168469
1500000.0,0.0,0.09561488758722958,0.09561488758722958
1520000.0,0.0,0.09682595204346145,0.09682595204346145
1540000.0,0.0,0.09803539476013001,0.09803539476013001
1560000.0,0.0,0.09924321790891122,0.09924321790891123
1580000.0,0.0,0.10044942365857246,0.10044942365857246
1600000.0,0.0,0.10165401417497699,0.10165401417497698
1620000.0,0.0,0.10285699162108819,0.10285699162108819
1640000.0,0.0,0.1040583581569724,0.1040583581569724
1660000.0,0.0,0.10525811593980383,0.10525811593980383
1680000.0,0.0,0.1064562671238678,0.1064562671238678
1700000.0,0.0,0.10765281386056491,0.10765281386056491
1720000.0,0.0,0.10884775829841487,0.10884775829841487
1740000.0,0.0,0.11004110258306021,0.11004110258306021
1760000.0,0.0,0.11123284885727025,0.11123284885727025
1780000.0,0.0,0.1124229992609449,0.1124229992609449
1800000.0,0.0,0.11361155593111849,0.11361155593111849
1820000.0,0.0,0.11479852100196386,0.11479852100196387
1840000.0,0.0,0.11598389660479558,0.11598389660479558
1860000.0,0.0,0.1171676848680746,0.11716768486807459
1880000.0,0.0,0.1183498879174113,0.11834988791741131
1900000.0,0.0,0.11953050787556996,0.11953050787556994
1920000.0,0.0,0.12070954686247193,0.12070954686247193
1940000.0,0.0,0.12188700699520005,0.12188700699520007
1960000.0,0.0,0.12306289038800189,0.12306289038800189
1980000.0,0.0,0.12423719915229414,0.12423719915229413
2000000.0,0.0,0.125409935396666,0.125409935396666
2020000.0,0.0,0.1265811012268827,0.1265811012268827
2040000.0,0.0,0.12775069874589018,0.12775069874589018
2060000.0,0.0,0.12891873005381804,0.12891873005381804
2080000.0,0.0,0.1300851972479834,0.1300851972479834
2100000.0,0.0,0.13125010242289525,0.13125010242289525
2120000.0,0.0,0.13241344767025764,0.13241344767025764
2140000.0,0.0,0.1335752350789735,0.1335752350789735
2160000.0,0.0,0.1347354667351488,0.1347354667351488
2180000.0,0.0,0.1358941447220956,0.1358941447220956
2200000.0,0.0,0.13705127112033644,0.13705127112033644
2220000.0,0.0,0.13820684800760796,0.13820684800760796
2240000.0,0.0,0.13936087745886416,0.13936087745886416
2260000.0,0.0,0.1405133615462807,0.1405133615462807
2280000.0,0.0,0.1416643023392582,0.1416643023392582
2300000.0,0.0,0.14281370190442644,0.14281370190442644
