Run,A,B,Z
1807,10192974.482218724,2864945.1887964504,2864945.1887964504
1808,8624578.698855588,3776858.5064351107,3776858.5064351107
1809,9914855.028850192,17807030.716350053,9914855.028850192
1810,10115586.475093298,15686261.524498643,10115586.475093298
1811,11196884.248465618,27105785.05144801,11196884.248465618
1812,10472379.073823104,9970630.963747928,9970630.963747928
1813,9467176.361108646,2307853.817697897,2307853.817697897
1814,8933936.533683848,13075142.17960116,8933936.533683848
1815,10093195.04524865,433527.18128682824,433527.18128682824
1816,8944507.950538132,11238901.869760774,8944507.950538132
1817,10904881.721670559,8154337.181805025,8154337.181805025
1818,9636953.19857829,2453967.628363366,2453967.628363366
1819,9703972.670289576,23242888.34645907,9703972.670289576
1820,10019882.812805677,7780783.824983099,7780783.824983099
1821,9136696.437882533,3617244.7115706378,3617244.7115706378
1822,9996752.590809166,24723034.04739096,9996752.590809166
1823,8489287.80010104,3564960.317732886,3564960.317732886
1824,8219763.779320656,8765086.090061326,8219763.779320656
1825,8346754.787750877,10624947.683530452,8346754.787750877
1826,9361347.027082356,8626977.835382607,8626977.835382607
1827,9250477.141938556,7895086.163672353,7895086.163672353
1828,9704365.42815625,2306408.452777242,2306408.452777242
1829,10455349.799782408,499940.9325919987,499940.9325919987
1830,10946757.443354204,17556018.092351966,10946757.443354204
1831,10902199.194553476,10840611.451161066,10840611.451161066
1832,10105128.162810441,4689076.702775144,4689076.702775144
1833,8372433.731404517,2767274.952862061,2767274.952862061
1834,10314331.671350978,14796791.873130305,10314331.671350978
1835,10388352.937197559,33379896.58108249,10388352.937197559
1836,9296886.09730179,1504958.5478736686,1504958.5478736686
1837,9967930.164395114,13705052.398013867,9967930.164395114
1838,8713530.351160647,7149176.230694403,7149176.230694403
1839,10526798.322790673,13446166.277103215,10526798.322790673
1840,9273456.917909926,1212957.8046814958,1212957.8046814958
1841,10794059.825915502,10694510.419554273,10694510.419554273
1842,9094313.05964967,6185833.881458205,6185833.881458205
1843,9260054.032975812,8928737.0868672,8928737.0868672
1844,9314688.251382513,13367046.84095659,9314688.251382513
1845,10986803.544071898,19302378.455352135,10986803.544071898
1846,8529350.946092768,7538583.793545442,7538583.793545442
1847,9305449.444494935,2628402.841587941,2628402.841587941
1848,8215095.766332459,30217263.970947552,8215095.766332459
1849,8134220.426469152,11500054.264896372,8134220.426469152
1850,9028651.169099718,4268938.2568157865,4268938.2568157865
1851,10384389.782355169,8811277.519144198,8811277.519144198
1852,8712804.323691571,10916650.727259334,8712804.323691571
1853,8919238.385935241,1919982.537280222,1919982.537280222
1854,9629497.652847232,12034099.781634051,9629497.652847232
1855,11260981.891165871,4498485.78204296,4498485.78204296
1856,10209747.753264336,4587481.772640975,4587481.772640975
1857,10738907.089178992,11113492.844914371,10738907.089178992
1858,9194793.6081291,28396247.44336679,9194793.6081291
1859,10537660.747353485,21015084.092768684,10537660.747353485
1860,9588769.145649016,17260937.231415503,9588769.145649016
1861,9729783.868727662,29067306.276510313,9729783.868727662
1862,9682352.366293624,5709725.0219170535,5709725.0219170535
1863,10079235.41646169,14376877.239017492,10079235.41646169
1864,9453994.88947999,31328036.408705473,9453994.88947999
1865,9697823.187555844,21824528.254059803,9697823.187555844
1866,7342487.749044032,4658221.9543269975,4658221.9543269975
1867,8752345.4327481,1294468.244223087,1294468.244223087
1868,8642190.368378341,3057722.0313448785,3057722.0313448785
1869,11262629.546699286,2793466.449857687,2793466.449857687
1870,9122201.602725467,6442385.109801559,6442385.109801559
1871,9406296.195628013,5420576.057744159,5420576.057744159
1872,10058537.087634163,5783830.777188404,5783830.777188404
1873,10018707.18119996,10577819.423376553,10018707.18119996
1874,10617493.15874611,25887455.351349838,10617493.15874611
1875,9081743.655922087,2314405.334172601,2314405.334172601
1876,7934494.272166213,19022173.053757995,7934494.272166213
1877,10141318.369856527,31984071.560707334,10141318.369856527
1878,8033946.3820356475,28275806.917444013,8033946.3820356475
1879,10221299.763952605,5327928.995905213,5327928.995905213
1880,11087604.24106382,5312246.72405212,5312246.72405212
1881,9229327.12509499,10044001.81370139,9229327.12509499
1882,10611258.051693384,28613169.05304893,10611258.051693384
1883,7806049.735573858,10426364.203270417,7806049.735573858
1884,10200855.70130666,21931601.702500593,10200855.70130666
1885,10599404.07387638,9236263.194075696,9236263.194075696
1886,9174861.668621376,8663392.771620097,8663392.771620097
1887,8683250.593360253,18880995.396753736,8683250.593360253
1888,9962124.097686142,18338604.580782633,9962124.097686142
1889,11516298.291130576,6441287.556780339,6441287.556780339
1890,10721857.71235087,32749389.095209017,10721857.71235087
1891,9393793.305460665,8219837.209548785,8219837.209548785
1892,10495976.877715731,1549810.8946905793,1549810.8946905793
1893,11415760.253977302,31652927.096413337,11415760.253977302
1894,8758802.100916464,29954841.44375582,8758802.100916464
1895,8724844.80380485,9137140.015262917,8724844.80380485
1896,10537564.160308057,779490.3466721349,779490.3466721349
1897,8869760.451004097,23237771.011432625,8869760.451004097
1898,10553006.743907457,6198221.215945612,6198221.215945612
1899,8650428.924453558,26324957.57745769,8650428.924453558
1900,11456943.414181218,15810229.210945122,11456943.414181218
1901,9334224.155757543,13816982.968899531,9334224.155757543
1902,7742811.368213059,7626850.491791974,7626850.491791974
1903,9271925.718166916,1251199.6308465074,1251199.6308465074
1904,10697654.931044703,12742204.733504543,10697654.931044703
1905,8660747.864767203,4654093.892760153,4654093.892760153
1906,10326477.912154,20633426.909243524,10326477.912154
1907,9042377.326967016,31101820.14448442,9042377.326967016
1908,8636279.72352132,4945771.3466978045,4945771.3466978045
1909,11700339.263865674,14650826.81403177,11700339.263865674
1910,9311061.472203253,21420234.304722503,9311061.472203253
1911,12683247.786464108,2859956.6624342967,2859956.6624342967
1912,8413719.574513618,18752468.93523802,8413719.574513618
1913,9333497.323357431,33795847.14012353,9333497.323357431
1914,10231274.90124211,10059696.13739482,10059696.13739482
1915,10267299.942457058,20680154.75964958,10267299.942457058
1916,10019832.277908092,32881837.2684073,10019832.277908092
1917,7800785.703578351,25805373.494857825,7800785.703578351
1918,9229212.19039139,32308054.589197837,9229212.19039139
1919,9449477.126893189,1851486.423287658,1851486.423287658
