  1.9412E-01,  1.2601E+00,  7.6050E+05,  5.9123E+05,  3.3050E+05,  1.3998E+05,  4.4920E+04,  1.4415E+04,  7.4395E+03,  3.8395E+03,  2.2573E+03,  1.0125E+03,  5.2763E+02,  2.7496E+02,  1.8084E+02,  1.1893E+02,  7.3084E+01,  4.4910E+01,  2.5195E+01,  1.4134E+01,  4.8365E+00,  1.6550E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.9158E-01,  1.2505E+00,  8.4421E+05,  6.6185E+05,  3.8276E+05,  1.6375E+05,  5.1820E+04,  1.6399E+04,  8.3237E+03,  4.2249E+03,  2.4525E+03,  1.0810E+03,  5.5307E+02,  2.8297E+02,  1.8625E+02,  1.2259E+02,  7.3760E+01,  4.4380E+01,  2.5092E+01,  1.4187E+01,  4.9593E+00,  1.7336E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8923E-01,  1.2404E+00,  7.3751E+05,  5.7700E+05,  3.4026E+05,  1.4800E+05,  4.7479E+04,  1.5232E+04,  7.8296E+03,  4.0247E+03,  2.3461E+03,  1.0252E+03,  5.2662E+02,  2.7052E+02,  1.7974E+02,  1.1942E+02,  7.1961E+01,  4.3362E+01,  2.4486E+01,  1.3827E+01,  5.1549E+00,  1.9218E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8715E-01,  1.2310E+00,  6.6105E+05,  5.1538E+05,  3.1068E+05,  1.3788E+05,  4.5046E+04,  1.4717E+04,  7.6634E+03,  3.9905E+03,  2.3373E+03,  1.0144E+03,  5.2439E+02,  2.7109E+02,  1.8033E+02,  1.1995E+02,  7.2183E+01,  4.3438E+01,  2.4395E+01,  1.3701E+01,  5.5625E+00,  2.2584E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8540E-01,  1.2221E+00,  6.2005E+05,  4.8929E+05,  2.9966E+05,  1.3496E+05,  4.4700E+04,  1.4805E+04,  7.7980E+03,  4.1073E+03,  2.4161E+03,  1.0429E+03,  5.4106E+02,  2.8071E+02,  1.8692E+02,  1.2447E+02,  7.4616E+01,  4.4731E+01,  2.4923E+01,  1.3886E+01,  5.9765E+00,  2.5723E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8402E-01,  1.2148E+00,  6.2915E+05,  4.9631E+05,  3.0717E+05,  1.3981E+05,  4.6802E+04,  1.5667E+04,  8.3286E+03,  4.4275E+03,  2.6138E+03,  1.1234E+03,  5.8439E+02,  3.0399E+02,  2.0562E+02,  1.3909E+02,  8.2866E+01,  4.9370E+01,  2.7362E+01,  1.5165E+01,  6.8714E+00,  3.1135E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8305E-01,  1.2083E+00,  6.1190E+05,  4.8218E+05,  3.0380E+05,  1.4022E+05,  4.7411E+04,  1.6031E+04,  8.5892E+03,  4.6021E+03,  2.7253E+03,  1.1674E+03,  6.0833E+02,  3.1699E+02,  2.1457E+02,  1.4525E+02,  8.6690E+01,  5.1740E+01,  2.8496E+01,  1.5694E+01,  7.4179E+00,  3.5060E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8250E-01,  1.2032E+00,  5.3667E+05,  4.2288E+05,  2.6770E+05,  1.2428E+05,  4.2315E+04,  1.4408E+04,  7.7695E+03,  4.1898E+03,  2.4873E+03,  1.0623E+03,  5.5461E+02,  2.8954E+02,  1.9639E+02,  1.3321E+02,  7.9330E+01,  4.7242E+01,  2.5915E+01,  1.4216E+01,  6.9577E+00,  3.4053E+00,  1.6667E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8235E-01,  1.1992E+00,  4.5432E+05,  3.5870E+05,  2.2864E+05,  1.0723E+05,  3.7006E+04,  1.2771E+04,  6.9513E+03,  3.7838E+03,  2.2598E+03,  9.7026E+02,  5.0997E+02,  2.6804E+02,  1.8268E+02,  1.2450E+02,  7.4389E+01,  4.4449E+01,  2.4457E+01,  1.3457E+01,  6.7804E+00,  3.4164E+00,  1.7214E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8259E-01,  1.1961E+00,  3.3492E+05,  2.6635E+05,  1.7212E+05,  8.2614E+04,  2.9451E+04,  1.0499E+04,  5.8220E+03,  3.2284E+03,  1.9587E+03,  8.6296E+02,  4.6257E+02,  2.4795E+02,  1.7098E+02,  1.1790E+02,  7.1566E+01,  4.3441E+01,  2.4343E+01,  1.3641E+01,  7.0187E+00,  3.6114E+00,  1.8582E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8321E-01,  1.1938E+00,  2.5482E+05,  2.0380E+05,  1.3313E+05,  6.5064E+04,  2.3792E+04,  8.6999E+03,  4.8950E+03,  2.7541E+03,  1.6916E+03,  7.6051E+02,  4.1397E+02,  2.2534E+02,  1.5682E+02,  1.0913E+02,  6.7065E+01,  4.1214E+01,  2.3427E+01,  1.3317E+01,  6.9652E+00,  3.6430E+00,  1.9054E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8416E-01,  1.1921E+00,  2.0030E+05,  1.6084E+05,  1.0587E+05,  5.2409E+04,  1.9513E+04,  7.2648E+03,  4.1298E+03,  2.3477E+03,  1.4546E+03,  6.6338E+02,  3.6505E+02,  2.0089E+02,  1.4072E+02,  9.8567E+01,  6.1106E+01,  3.7882E+01,  2.1754E+01,  1.2492E+01,  6.6104E+00,  3.4980E+00,  1.8511E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8542E-01,  1.1909E+00,  1.6005E+05,  1.2888E+05,  8.5284E+04,  4.2599E+04,  1.6061E+04,  6.0553E+03,  3.4671E+03,  1.9852E+03,  1.2375E+03,  5.7002E+02,  3.1608E+02,  1.7527E+02,  1.2333E+02,  8.6787E+01,  5.4135E+01,  3.3768E+01,  1.9530E+01,  1.1296E+01,  6.0270E+00,  3.2158E+00,  1.7158E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
