Time (s),dose,MCU_SEFI,SRAM_SEL,LREG_SEGR,MCU_SEL,DOSE (rad)
225289.0,,4.6793516931945706e-09,4.3052124724739047e-07,7.976800599955069e-10,4.4818334825772047e-07,1.0313771134710709e-07
225530.0,,4.866950989732272e-09,4.485300255257143e-07,8.149432174358869e-10,4.6671956585684153e-07,1.0988863820642015e-07
225770.0,,5.3486847604835035e-09,4.943424294234365e-07,8.745435752436655e-10,5.141493032713468e-07,1.2534389528264847e-07
226009.0,,6.2754440225482065e-09,5.82487496434759e-07,9.950783989100877e-10,6.055347557004212e-07,1.550107859582105e-07
226249.0,,7.950899203325278e-09,7.424005078129236e-07,1.2130098655573943e-09,7.713956204471634e-07,2.1076408980755936e-07
226490.0,,1.102485763981158e-08,1.0375656012587036e-06,1.6034835499718372e-09,1.0775492094038005e-06,3.2027285300794434e-07
226730.0,,1.6888120064943132e-08,1.6053193487897684e-06,2.3187044579166984e-09,1.6663407543909079e-06,5.499633547611437e-07
226970.0,,2.8463030981610086e-08,2.7380681344121005e-06,3.6574242250650467e-09,2.8407176927677528e-06,1.060248493587915e-06
227030.0,,3.287910124488532e-08,3.173179007407605e-06,4.1509138466282556e-09,3.291730668940591e-06,1.2699557460480036e-06
227089.0,,3.820217270420043e-08,3.699324242366944e-06,4.736370566344602e-09,3.8370557036962585e-06,1.5316766727157646e-06
227150.0,,4.4588076959729205e-08,4.332589243121836e-06,5.427373336958118e-09,4.493344955725251e-06,1.8570385247528515e-06
227209.0,,5.229576809870465e-08,5.099495602281402e-06,6.247676842783518e-09,5.288060549528749e-06,2.264270846038375e-06
227270.0,,6.162273653595174e-08,6.03070666475072e-06,7.223704415072863e-09,6.252948320310332e-06,2.7756260923179604e-06
227329.0,,7.293671782544298e-08,7.164265624068175e-06,8.387589464604487e-09,7.427391273443345e-06,3.4196602448959214e-06
227390.0,,8.6692392095476e-08,8.54738512605255e-06,9.778423466843424e-09,8.860260877151214e-06,4.233029787315653e-06
227449.0,,1.0345190335620671e-07,1.023865523601063e-05,1.1443767818600723e-08,1.061220098886804e-05,5.262783961804895e-06
227510.0,,1.2390997260072697e-07,1.2310756877909833e-05,1.3441479393470225e-08,1.2758434465900731e-05,6.569275721726568e-06
227570.0,,1.4892448648361844e-07,1.485378065441775e-05,1.5841906094160418e-08,1.5392195739862142e-05,8.229838150848116e-06
227629.0,,1.7955354266202219e-07,1.7979263038890506e-05,1.873051493003498e-08,1.8628905121089334e-05,1.034339690611519e-05
227690.0,,2.1710000896197316e-07,2.1825061684781095e-05,2.2211020161810765e-08,2.2611210680948044e-05,1.3036210900172325e-05
227749.0,,2.631646849314364e-07,2.6561196617893294e-05,2.640908184938093e-08,2.7515028751267978e-05,1.6468948811889393e-05
227810.0,,3.197091105368483e-07,3.239678091867469e-05,3.1476644220715706e-08,3.3556710823413336e-05,2.0845311747102682e-05
227869.0,,3.8939015434222746e-07,3.961526094443216e-05,3.761982983308317e-08,4.102951469973307e-05,2.6443758492956368e-05
227930.0,,4.7465662673174116e-07,4.84814208219458e-05,4.501788528964423e-08,5.020732273198525e-05,3.354991477269234e-05
227989.0,,5.796410200178288e-07,5.9438457436500885e-05,5.398698050966701e-08,6.154864051780663e-05,4.261751679037102e-05
228050.0,,7.083736635195807e-07,7.292341611671564e-05,6.482253685906327e-08,7.550552671258279e-05,5.4128619478683215e-05
228110.0,,8.654159114649585e-07,8.943315644044271e-05,7.785521165283218e-08,9.259188231808683e-05,6.864713745211329e-05
228169.0,,1.0578921536401505e-06,0.00010973945983493407,9.361660606480874e-08,0.00011360605108291219,8.701761633167378e-05
228230.0,,1.2933455598948869e-06,0.00013466553130723496,1.1265797684658683e-07,0.00013939949202086487,0.00011018045613984164
228289.0,,1.578620706134485e-06,0.00016496678876086216,1.3546545039508644e-07,0.00017075345396420458,0.00013905077050187147
228350.0,,1.9252494747812747e-06,0.00020190322813482944,1.628933500992191e-07,0.00020897124110720483,0.00017505949227927635
228409.0,,2.3419366897018638e-06,0.00024644133694351716,1.9556750269974878e-07,0.0002550524245446896,0.00021938406542745028
228470.0,,2.8435877159943288e-06,0.000300216770367781,2.346041845589134e-07,0.00031068894111953505,0.00027387705430811113
228529.0,,3.444425473578114e-06,0.0003648006063719388,2.810743264258642e-07,0.0003775059485376036,0.00034032759233562534
228590.0,,4.1557828293411564e-06,0.00044145870812991347,3.3583907883908356e-07,0.0004568129296730098,0.0004201855005141733
228650.0,,5.000252689491816e-06,0.0005326786229525215,4.0062714986073237e-07,0.0005511833105745231,0.0005161763482180207
228709.0,,5.996529107952514e-06,0.0006405378728768558,4.768780431122397e-07,0.0006627664176791831,0.0006305827629254929
228770.0,,7.16808949149879e-06,0.0007676398569999864,5.664170695329138e-07,0.0007942557660875169,0.0007662013301569146
228829.0,,8.545950560064215e-06,0.0009174170484226602,6.716693150401022e-07,0.0009492027505799942,0.0009266623802990339
228890.0,,1.0146439301853169e-05,0.001091713490198917,7.939669145834337e-07,0.0011295157379078114,0.001113822264193464
228949.0,,1.202272478668751e-05,0.0012963950565512304,9.374920499061819e-07,0.001341264028291302,0.0013337694663309823
229010.0,,1.4210806541392195e-05,0.001535474443197385,1.105158146219961e-06,0.0015886001116242146,0.0015905042986534186
229069.0,,1.675653870146819e-05,0.0018140528495354188,1.3006804863927207e-06,0.0018768029340854836,0.0018890802376462373
229130.0,,1.9702542622599182e-05,0.0021368908509843756,1.5275750105323744e-06,0.002210799425056139,0.0022340673485257826
229190.0,,2.309281655165047e-05,0.002508910578407133,1.7895064143250078e-06,0.0025956839764426694,0.002630105155947856
229249.0,,2.694773198306047e-05,0.0029324472524117277,2.0883381570519835e-06,0.0030338747887561223,0.003079021658952234
229310.0,,3.1425559853379413e-05,0.003425012041749168,2.4366725963326684e-06,0.0035434914592499863,0.0035986341930213327
229369.0,,3.657623353446423e-05,0.003992247137962389,2.8387652597599225e-06,0.004130374336153796,0.0041940893434806795
229430.0,,4.247451649357631e-05,0.004642546726865101,3.3007984104190003e-06,0.004803210988895735,0.00487347803713826
229489.0,,4.9218385226513695e-05,0.005386895786931879,3.8307485567102125e-06,0.005573369384311226,0.005647701255251091
229550.0,,5.687244982411943e-05,0.006232631723581364,4.433900930531105e-06,0.00644844292633291,0.006524087112983674
229609.0,,6.572692118196083e-05,0.00721208948115988,5.133234622593545e-06,0.007461889087105898,0.007536158422520456
229670.0,,7.573721278567371e-05,0.008320653549900905,5.925127679721348e-06,0.008608931509665052,0.008679747269480636
229730.0,,8.716905098491503e-05,0.009588118257205255,6.8301858336680075e-06,0.009920395691449431,0.009987035377080322
229789.0,,0.00010014618287208607,0.011028663042979914,7.857396838026317e-06,0.011410947438881318,0.011475177709452429
229850.0,,0.00011491236090271369,0.012669904813259799,9.024710434470421e-06,0.013109152568068482,0.013176684743104647
229909.0,,0.00013174902916542806,0.014543765738959652,1.035287111500337e-05,0.015048030112238302,0.015129140964110603
229970.0,,0.00015080455940985905,0.016667392267497565,1.1852455800336223e-05,0.01724531282042465,0.017353999210407974
230029.0,,0.00017237918744887162,0.019074922368988088,1.3545882609213759e-05,0.019736313207070044,0.019890941054595834
230090.0,,0.0001967486774368326,0.021797878891949042,1.54534379364896e-05,0.022553636082810954,0.022777652669546213
230149.0,,0.00022412883396536785,0.024861169174310395,1.7590560811560733e-05,0.025723039891553414,0.026045415207114564
230210.0,,0.00025497425918633737,0.028316519790997863,1.999116661873944e-05,0.02929802955578942,0.029754802032703257
230270.0,,0.0002894414629789052,0.03218237651959093,2.266582281642903e-05,0.033297675051357147,0.033931346508158204
230329.0,,0.00032772351260705926,0.036481287439395264,2.5628004702781942e-05,0.03774529041265951,0.0386050185363527
230390.0,,0.000370322179900697,0.04127053069477442,2.8915096366424606e-05,0.04270012028984488,0.04384377743678444
230449.0,,0.0004175654327303363,0.04658795760572914,3.2551077739361085e-05,0.048201309614123306,0.049694699744227716
230510.0,,0.0004694886894523492,0.052438473752196485,3.6537712278933954e-05,0.05425392006250887,0.05616802881193946
230569.0,,0.0005264719314144117,0.05886574712722348,4.090367549795867e-05,0.06090311686323135,0.0633158227420578
230630.0,,0.0005887485468672777,0.06589690714768938,4.566689540783653e-05,0.06817695756653985,0.07117069469248069
230689.0,,0.0006565132343815881,0.07355463891456754,5.084306113334569e-05,0.07609890571049287,0.07975847876508972
230750.0,,0.0007297139419436134,0.08183359894370947,5.6429954577363475e-05,0.0846634346032368,0.089071018839629
230810.0,,0.0008083546388941668,0.09073488411108345,6.243034714520478e-05,0.09387168496899931,0.09910544967883582
230869.0,,0.000891973799647599,0.10020995221405296,6.880835357473054e-05,0.10367343204164842,0.1098128670514502
230930.0,,0.0009798690657150668,0.11018590168586197,7.550693377020599e-05,0.11399323973879902,0.12112590892330548
230989.0,,0.0010702832782747752,0.12047182934335819,8.238746347916658e-05,0.12463360031696379,0.13284746838357456
231050.0,,0.0011615159702725937,0.1308846573751735,8.931452492573236e-05,0.13540510009638243,0.14479276814838885
231109.0,,0.0012519711522932168,0.14125501644249058,9.615930450554692e-05,0.14613250321265706,0.1567973407281977
231170.0,,0.001338532475462312,0.1512403714947046,0.00010267692507692591,0.1564614451717149,0.16849959100725767
231229.0,,0.0014189685041552215,0.16059988186967222,0.00010868895466490023,0.1661427583978188,0.17965717377724563
231290.0,,0.0014900195851047066,0.16897253162090156,0.00011394010765948046,0.17480297060739836,0.18988448519058737
231350.0,,0.0015489003808980763,0.17604895085548994,0.00011821236168055817,0.18212204152130884,0.19885069059562782
231409.0,,0.0015931846914917164,0.181559128165953,0.00012131586698704134,0.18782064828948122,0.20626785998494793
231470.0,,0.0016201632017697487,0.18518920887116413,0.0001230460147572764,0.1915741460814326,0.21177166685951423
231529.0,,0.0016278530614767667,0.18670809505358005,0.0001232547580937278,0.1931434743998521,0.21509595427712858
231590.0,,0.0016115276429118292,0.18556049435579935,0.0001216016189648796,0.19195405038879504,0.21559944555362517
231649.0,,0.001566328424185475,0.18116312109972993,0.00011774769234841343,0.18740229145762258,0.21258685137559702
231710.0,,0.001489017168669815,0.17310779936273724,0.00011147937808552107,0.17906585588262067,0.20553145415656646
231769.0,,0.0013820749065360882,0.16160224727580316,0.00010303040635501678,0.1671598084675084,0.19449144294511678
231830.0,,0.0012484080395457548,0.14692467704146916,9.264787800351775e-05,0.1519721906717168,0.1796434498530317
231890.0,,0.0010960580920638425,0.12993096444674687,8.096480382600233e-05,0.13438883321639988,0.1617686860683274
231949.0,,0.0009350006726695101,0.11172223738876733,6.8742536200531e-05,0.1155492952898485,0.14196844002908596
232010.0,,0.0007746685468950255,0.09336834706373012,5.6684408454152094e-05,0.0965606785395917,0.12138061524707468
232069.0,,0.0006247425018735677,0.07599831558846465,4.549879631048354e-05,0.07859113579256465,0.10129199012964296
232130.0,,0.0004919318439113738,0.06042837703970018,3.566148406512421e-05,0.062485008756256726,0.08272338871058314
232189.0,,0.0003795044722720902,0.04709254556662642,2.738867104341703e-05,0.04869105156508451,0.06631552869468395
232250.0,,0.0002877493862384462,0.036080787075690054,2.0677731796910537e-05,0.03730201294791899,0.05233061983396175
232309.0,,0.00021773520669840835,0.02758143522102656,1.558492274652422e-05,0.028512272933166504,0.0411899065377528
232370.0,,0.0001653404143571267,0.021151140376374854,1.179225846238237e-05,0.021862899662465234,0.03249935957232034
232430.0,,0.00012768084763614478,0.01648198564613629,9.077807642959705e-06,0.017035104567956292,0.026004101703778336
232489.0,,0.0001010101747997568,0.013144859090569285,7.1623741065841284e-06,0.01358488504950699,0.021238363825621782
232550.0,,8.228249096809675e-05,0.010782767560854287,5.821444855811819e-06,0.011142927971486406,0.01778613791585012
232609.0,,7.038892153498008e-05,0.009272878562978142,4.971854606719389e-06,0.009582085008403312,0.015537320644988965
232670.0,,6.328241449763802e-05,0.008366485691283794,4.4650529543297745e-06,0.008645146906854199,0.014168791631559612
232729.0,,6.0097131578547656e-05,0.007959085257982007,4.238113632956882e-06,0.008224028747850944,0.013548612636328438
232790.0,,6.019468352665752e-05,0.007971573231404388,4.245061739107598e-06,0.008236937095939359,0.013567672120613635
232849.0,,6.358783429209204e-05,0.008405510916237114,4.48682028716485e-06,0.008685486553949724,0.014228028374227032
232908.0,,0.00012768084763614416,0.016481985646136295,9.077807642958762e-06,0.01703510456795629,0.026004101703778336
232967.0,,0.0001400079152545277,0.01801536759744182,9.96514393815668e-06,0.01862053786904484,0.028157232362837386
233028.0,,0.00016218780841787225,0.020761944027977652,1.1564624394207553e-05,0.02146046430435537,0.031964555471306715
233087.0,,0.0001961856187764757,0.02494489489576557,1.4022942082174717e-05,0.025785832637639332,0.03765782030466965
233148.0,,0.00024665325022379085,0.03110352719660292,1.768521817661002e-05,0.03215460050903288,0.04584893494833797
233207.0,,0.00031828313544809256,0.03975968649304817,2.2906604846033966e-05,0.04110683945018983,0.05705328900790851
233268.0,,0.00041528981550994256,0.05135446236948509,3.0016191386643894e-05,0.0530992481034051,0.07161613392342568
233327.0,,0.0005399266593973908,0.06607632358325857,3.920862045079572e-05,0.0683273089046928,0.08952615650376045
233388.0,,0.0006871014636548324,0.08324826778669965,5.014091487957612e-05,0.08609115888312979,0.10975175662481224
233448.0,,0.0008505838329512588,0.10208663802516435,6.238104134337951e-05,0.10558032291446637,0.13123899937296893
233507.0,,0.0010175078706470102,0.12107953935048935,7.498906746317697e-05,0.1252306351079025,0.15222233748716815
233568.0,,0.001175516631451794,0.1388245625113188,8.704139095417738e-05,0.1435909082074254,0.171202392077034
233627.0,,0.001314243494968722,0.15418591377017718,9.774284105440932e-05,0.15948565835612982,0.18707052220473797
233688.0,,0.0014281172414572405,0.16658957266296623,0.00010664744309764784,0.1723206436373549,0.19936356582278364
233747.0,,0.0015149756210848112,0.1758488380174369,0.00011356182348292381,0.1819024481793434,0.20802893320996735
233808.0,,0.0015753908861505885,0.1820775917018244,0.00011850063397302982,0.18834876098153733,0.21330823078310898
233867.0,,0.0016117709564606947,0.18558222938812433,0.00012162352500422767,0.19197655498707655,0.21560870600753515
233928.0,,0.0016271331873987686,0.18672343065542868,0.0001231431447346523,0.1931590440236847,0.21535737915414757
233988.0,,0.0016246444149785896,0.1858846451909551,0.00012327892248701751,0.1922930012050944,0.21302038129932457
234047.0,,0.0016076854763327217,0.1834527527666586,0.00012227966999785392,0.1897787931101681,0.2090182969289817
234108.0,,0.0015774625699441548,0.17957098646018213,0.00012023271442071797,0.18576460295331146,0.2035199699140086
234167.0,,0.001534963852801068,0.17435682282667544,0.00011721114666569287,0.1803719375325323,0.19666701878079668
234228.0,,0.0014811338597579085,0.16791780106455315,0.00011328776176747484,0.17371203669331034,0.18857835285429886
234287.0,,0.001417770324647482,0.16045969245634586,0.00010859983015598028,0.16599775122317056,0.1794882578652372
234348.0,,0.0013461801865255044,0.152126350902583,0.00010325070746925911,0.15737789849182585,0.16954669762424285
234407.0,,0.0012695018693123987,0.1432716791998297,9.748229267785787e-05,0.14821857536305066,0.15914771020005908
234468.0,,0.001187800344502331,0.13389261184263077,9.130627906129432e-05,0.13851663496887914,0.1482620455343379
