Run,LDO_TID,LDO_SEGR,MCU_TID,MCU_SEL,MCU_SEFI,WDT_TID,SRAM_TID,SRAM_SEL,LDO,WDT,Harden_SRAM_SEL,Harden_MCU_SEL,Harden_MCU_SEFI,SRAM,MCU,Payload
14,543965.6728525177,38762.92056665125,774505.8351056345,11.617347403060524,1593.9663196554595,inf,inf,10.368391161587734,38762.92056665125,inf,inf,inf,inf,inf,774505.8351056345,38762.92056665125
15,580716.1585762535,37005.16956275731,898226.2406919594,39.18357693210583,1159.3758658180836,inf,inf,19.638311746517378,37005.16956275731,inf,inf,inf,inf,inf,898226.2406919594,37005.16956275731
16,542620.1657347291,78534.82877792885,620418.7727821626,14.628252224958818,986.4931060528381,inf,inf,25.96567979390163,78534.82877792885,inf,inf,inf,inf,inf,620418.7727821626,78534.82877792885
17,503590.0027362199,231713.94550327887,923808.7451016221,43.31613134248227,609.1788827391982,inf,inf,50.98259838170292,231713.94550327887,inf,inf,inf,inf,inf,923808.7451016221,231713.94550327887
18,467482.729987925,117316.76541132545,774757.1402920632,21.51105299632727,1263.4969275169976,inf,inf,50.4790189639222,117316.76541132545,inf,inf,inf,inf,inf,774757.1402920632,117316.76541132545
19,385870.55116846354,41345.59301409706,738882.4291628121,16.474456967333715,545.9149933983383,inf,inf,50.01123940576534,41345.59301409706,inf,inf,inf,inf,inf,738882.4291628121,41345.59301409706
20,737863.5500399519,115033.6251874692,918900.9082155378,26.078720172895785,1429.4720064868836,inf,inf,26.073571589011628,115033.6251874692,inf,inf,inf,inf,inf,918900.9082155378,115033.6251874692
21,580134.166044804,115388.24756139175,840760.764174286,2.032668042310875,380.5756776152823,inf,inf,39.61631152113748,115388.24756139175,inf,inf,inf,inf,inf,840760.764174286,115388.24756139175
22,465203.6094102606,117644.60383248057,543551.7960920963,1.8154152801755552,827.2724423860492,inf,inf,35.11560161940946,117644.60383248057,inf,inf,inf,inf,inf,543551.7960920963,117644.60383248057
23,501990.97406375303,312423.64227730915,795490.1366778421,0.5581110826242002,596.7654608845171,inf,inf,51.09398252411909,312423.64227730915,inf,inf,inf,inf,inf,795490.1366778421,312423.64227730915
24,504994.19701705046,1068.8426557566336,853092.4743070509,22.943938173483172,1062.996031530396,inf,inf,55.54671373297154,1068.8426557566336,inf,inf,inf,inf,inf,853092.4743070509,1068.8426557566336
25,389457.54570588376,1704.6962951919202,697561.9281610359,48.39983823796023,1898.1843946080007,inf,inf,7.318477656096687,1704.6962951919202,inf,inf,inf,inf,inf,697561.9281610359,1704.6962951919202
26,542856.9909774732,75411.4305639234,696174.099677597,2.255326511005641,1754.619410626237,inf,inf,34.94495985533316,75411.4305639234,inf,inf,inf,inf,inf,696174.099677597,75411.4305639234
27,502439.2763052138,79106.75849020676,696917.3370550219,6.927658919896249,835.4475708928061,inf,inf,3.505932080926517,79106.75849020676,inf,inf,inf,inf,inf,696917.3370550219,79106.75849020676
28,386429.73125620995,900295.3716264176,869938.1992805616,20.231247616389915,564.4279552635237,inf,inf,108.23827166893281,386429.73125620995,inf,inf,inf,inf,inf,869938.1992805616,386429.73125620995
29,463887.09876999364,40406.36415312254,736648.9877286644,43.90819940698227,37323.058869935885,inf,inf,15.713614530067694,40406.36415312254,inf,inf,inf,inf,inf,736648.9877286644,40406.36415312254
30,544067.7058080836,231371.92608951684,814157.869038691,7.523717204278146,997.4980441275422,inf,inf,20.68142825484116,231371.92608951684,inf,inf,inf,inf,inf,814157.869038691,231371.92608951684
31,348573.1538599926,36902.52238511918,909950.2110757141,38.05118402217256,602.1043805446186,inf,inf,10.823887011307447,36902.52238511918,inf,inf,inf,inf,inf,909950.2110757141,36902.52238511918
