Time (hr),LREG_SEGR,LREG_TID,MCU_SEL,MCU_SEFI,WDOG_TID,MCU_TID,SRAM_SEL,SRAM_TID,LREG,MCU,Harden MCU,Frozen MCU,WDOG,SRAM,Harden SRAM,Payload
89.46194,1.1728334373891988e-06,0.999186939839182,0.0,0.0,0.0,1.0288851986320518e-09,4.26130130529156e-10,0.0,0.9999992867781737,1.0288851986320518e-09,0.0,0.0,0.0,4.26130130529156e-10,4.26130130529156e-10,1.0
89.52861,1.1327002172580888e-06,0.999186972601387,0.0,0.0,0.0,1.0034797796124681e-09,4.15608074304046e-10,0.0,0.9999992797780494,1.0034797796124681e-09,0.0,0.0,0.0,4.15608074304046e-10,4.15608074304046e-10,1.0
89.59556,1.0939421962179992e-06,0.9991870039501396,0.0,0.0,0.0,9.786098090390543e-10,4.053078605177118e-10,0.0,0.9999992727773722,9.786098090390543e-10,0.0,0.0,0.0,4.053078605177118e-10,4.053078605177118e-10,1.0
89.66222,1.0565121210227867e-06,0.9991870339350337,0.0,0.0,0.0,9.542683594784643e-10,3.9522638103897115e-10,0.0,0.9999992657761476,9.542683594784643e-10,0.0,0.0,0.0,3.9522638103897115e-10,3.9522638103897115e-10,1.0
89.72861,1.0203643727905074e-06,0.9991870626016498,0.0,0.0,0.0,9.304486286294233e-10,3.853613116987822e-10,0.0,0.9999992587743808,9.304486286294233e-10,0.0,0.0,0.0,3.853613116987822e-10,3.853613116987822e-10,1.0
89.79528,9.854549138243212e-07,0.9991870899906554,0.0,0.0,0.0,9.071428270209718e-10,3.757084440569361e-10,0.0,0.9999992517720769,9.071428270209718e-10,0.0,0.0,0.0,3.757084440569361e-10,3.757084440569361e-10,1.0
89.86222,9.517412182490347e-07,0.9991871161451233,0.0,0.0,0.0,8.843441782937824e-10,3.66266242774392e-10,0.0,0.9999992447692412,8.843441782937824e-10,0.0,0.0,0.0,3.66266242774392e-10,3.66266242774392e-10,1.0
89.92889,9.191822254703324e-07,0.9991871411121773,0.0,0.0,0.0,8.620448065360424e-10,3.570306208387208e-10,0.0,0.9999992377658797,8.620448065360424e-10,0.0,0.0,0.0,3.570306208387208e-10,3.570306208387208e-10,1.0
89.99556,8.877382951003699e-07,0.9991871649312535,0.0,0.0,0.0,8.402371807602798e-10,3.4799838528009595e-10,0.0,0.9999992307619986,8.402371807602798e-10,0.0,0.0,0.0,3.4799838528009595e-10,3.4799838528009595e-10,1.0
90.06194,8.573711507836346e-07,0.9991871876459919,0.0,0.0,0.0,8.189140031109959e-10,3.39167125609825e-10,0.0,0.999999223757604,8.189140031109959e-10,0.0,0.0,0.0,3.39167125609825e-10,3.39167125609825e-10,1.0
90.12861,8.280438425895194e-07,0.9991872092908446,0.0,0.0,0.0,7.980676525892339e-10,3.305332130084413e-10,0.0,0.9999992167527018,7.980676525892339e-10,0.0,0.0,0.0,3.305332130084413e-10,3.305332130084413e-10,1.0
90.19556,7.997206881758003e-07,0.9991872299045758,0.0,0.0,0.0,7.776901845842437e-10,3.2209380069840647e-10,0.0,0.9999992097472985,7.776901845842437e-10,0.0,0.0,0.0,3.2209380069840647e-10,3.2209380069840647e-10,1.0
90.26222,7.723672296147835e-07,0.9991872495310047,0.0,0.0,0.0,7.577741083207372e-10,3.1384537893547423e-10,0.0,0.9999992027414016,7.577741083207372e-10,0.0,0.0,0.0,3.1384537893547423e-10,3.1384537893547423e-10,1.0
90.32861,7.459502019817833e-07,0.9991872682066714,0.0,0.0,0.0,7.383106083139848e-10,3.0578399717056744e-10,0.0,0.9999991957350185,7.383106083139848e-10,0.0,0.0,0.0,3.0578399717056744e-10,3.0578399717056744e-10,1.0
90.39528,7.204374920294294e-07,0.99918728596112,0.0,0.0,0.0,7.192934333536607e-10,2.9790748634321855e-10,0.0,0.9999991887281554,7.192934333536607e-10,0.0,0.0,0.0,2.9790748634321855e-10,2.9790748634321855e-10,1.0
90.46222,6.957980856114369e-07,0.9991873028287045,0.0,0.0,0.0,7.007142287377173e-10,2.902129027228412e-10,0.0,0.9999991817208199,7.007142287377173e-10,0.0,0.0,0.0,2.902129027228412e-10,2.902129027228412e-10,1.0
90.52889,6.720020319640519e-07,0.999187318848608,0.0,0.0,0.0,6.825653140400572e-10,2.826963056345149e-10,0.0,0.9999991747130201,6.825653140400572e-10,0.0,0.0,0.0,2.826963056345149e-10,2.826963056345149e-10,1.0
90.59556,6.490204190583551e-07,0.9991873340495174,0.0,0.0,0.0,6.64838682618115e-10,2.753545352174239e-10,0.0,0.9999991677047637,6.64838682618115e-10,0.0,0.0,0.0,2.753545352174239e-10,2.753545352174239e-10,1.0
90.66194,6.268253242411255e-07,0.9991873484652192,0.0,0.0,0.0,6.475270012591888e-10,2.6818476772516744e-10,0.0,0.999999160696059,6.475270012591888e-10,0.0,0.0,0.0,2.6818476772516744e-10,2.6818476772516744e-10,1.0
90.72861,6.053897937162494e-07,0.9991873621182644,0.0,0.0,0.0,6.306221653699419e-10,2.6118329317972544e-10,0.0,0.9999991536869127,6.306221653699419e-10,0.0,0.0,0.0,2.6118329317972544e-10,2.6118329317972544e-10,1.0
90.79556,5.846877947516968e-07,0.9991873750366694,0.0,0.0,0.0,6.141167430731107e-10,2.543471818831498e-10,0.0,0.999999146677333,6.141167430731107e-10,0.0,0.0,0.0,2.543471818831498e-10,2.543471818831498e-10,1.0
90.86222,5.646941859412117e-07,0.9991873872535476,0.0,0.0,0.0,5.980036415049733e-10,2.4767395088683156e-10,0.0,0.9999991396673285,5.980036415049733e-10,0.0,0.0,0.0,2.4767395088683156e-10,2.4767395088683156e-10,1.0
90.92861,5.453846950705801e-07,0.9991873987941239,0.0,0.0,0.0,5.822746622159136e-10,2.4115934187791297e-10,0.0,0.999999132656907,5.822746622159136e-10,0.0,0.0,0.0,2.4115934187791297e-10,2.4115934187791297e-10,1.0
90.99528,5.267358869204752e-07,0.9991874096764557,0.0,0.0,0.0,5.669223896192826e-10,2.348009873831416e-10,0.0,0.999999125646076,5.669223896192826e-10,0.0,0.0,0.0,2.348009873831416e-10,2.348009873831416e-10,1.0
91.06222,5.087251280035338e-07,0.9991874199238356,0.0,0.0,0.0,5.519397462611846e-10,2.2859552204942991e-10,0.0,0.9999991186348429,5.519397462611846e-10,0.0,0.0,0.0,2.2859552204942991e-10,2.2859552204942991e-10,1.0
91.12889,4.913305596750892e-07,0.9991874295643717,0.0,0.0,0.0,5.37319659259768e-10,2.2254069335048076e-10,0.0,0.9999991116232164,5.37319659259768e-10,0.0,0.0,0.0,2.2254069335048076e-10,2.2254069335048076e-10,1.0
91.19556,4.745310769472839e-07,0.9991874386161165,0.0,0.0,0.0,5.230540602790824e-10,2.1663225092722555e-10,0.0,0.9999991046112037,5.230540602790824e-10,0.0,0.0,0.0,2.1663225092722555e-10,2.1663225092722555e-10,1.0
91.26194,4.5830629789636197e-07,0.999187447102421,0.0,0.0,0.0,5.091361070996467e-10,2.1086805684172923e-10,0.0,0.9999990975988127,5.091361070996467e-10,0.0,0.0,0.0,2.1086805684172923e-10,2.1086805684172923e-10,1.0
91.32861,4.426365461003297e-07,0.999187455036207,0.0,0.0,0.0,4.955588502822628e-10,2.0524464170653383e-10,0.0,0.99999909058605,4.955588502822628e-10,0.0,0.0,0.0,2.0524464170653383e-10,2.0524464170653383e-10,1.0
