Time (hr),LREG_SEGR,LREG_TID,MCU_SEL,MCU_SEFI,WDOG_TID,MCU_TID,SRAM_SEL,SRAM_TID,LREG,MCU,Harden MCU,Frozen MCU,WDOG,SRAM,Harden SRAM,Payload
98.46167,0.000906323838984577,0.9999999999997465,0.7579926016420244,0.011872331648749403,0.0,1.7847883440572426e-05,0.746285016985152,0.0,0.9999999999999916,1.7847883440572426e-05,0.0,0.7608657937367813,0.0,1.3319607996596595e-05,1.3319607996596595e-05,1.0
98.47806,0.0009063242050632555,0.9999999999997723,0.7579926920001807,0.01187233519054836,0.0,1.8101310098303557e-05,0.7462851084213747,0.0,0.9999999999999923,1.8101310098303554e-05,0.0,0.760865883879317,0.0,1.3508738169281371e-05,1.3508738169281371e-05,1.0
98.495,0.0009063245275303213,0.9999999999997954,0.7579927698760345,0.011872338254100254,0.0,1.835473768286914e-05,0.746285187218374,0.0,0.9999999999999929,1.835473768286914e-05,0.0,0.760865961572004,0.0,1.3697868848004124e-05,1.3697868848004124e-05,1.0
98.51139,0.0009063247939977782,0.999999999999816,0.7579928328317366,0.0118723407396233,0.0,1.860816597655444e-05,0.7462852509121272,0.0,0.9999999999999934,1.860816597655444e-05,0.0,0.7608660243817892,0.0,1.3886999814827428e-05,1.3886999814827428e-05,1.0
98.52833,0.0009063250299031704,0.9999999999998352,0.7579928873580486,0.011872342900025304,0.0,1.88615948524598e-05,0.7462853060718415,0.0,0.9999999999999943,1.88615948524598e-05,0.0,0.7608660787835791,0.0,1.4076131087471026e-05,1.4076131087471026e-05,1.0
98.545,0.0009063252293666593,0.9999999999998521,0.7579929324645762,0.01187234469350293,0.0,1.9115024180410786e-05,0.7462853516974498,0.0,0.9999999999999948,1.911502418041079e-05,0.0,0.7608661237886206,0.0,1.4265262543183116e-05,1.4265262543183116e-05,1.0
98.56139,0.0009063253984236361,0.9999999999998671,0.757992969872843,0.01187234618606301,0.0,1.936845385754433e-05,0.7462853895320887,0.0,0.9999999999999956,1.936845385754433e-05,0.0,0.7608661611139738,0.0,1.4454394131711741e-05,1.4454394131711741e-05,1.0
98.57833,0.0009063255494844018,0.9999999999998807,0.7579930025826922,0.011872347495645464,0.0,1.9621883819577146e-05,0.7462854226110983,0.0,0.9999999999999958,1.9621883819577143e-05,0.0,0.7608661937524083,0.0,1.4643525858718993e-05,1.4643525858718993e-05,1.0
98.59472,0.0009063256763001418,0.9999999999998928,0.7579930294600377,0.011872348575349663,0.0,1.9875313994510343e-05,0.746285449788739,0.0,0.9999999999999961,1.987531399451034e-05,0.0,0.7608662205719524,0.0,1.4832657644085552e-05,1.4832657644085552e-05,1.0
98.61167,0.0009063257905253693,0.9999999999999034,0.757993053161239,0.01187234953061572,0.0,2.012874434143087e-05,0.7462854737520426,0.0,0.9999999999999961,2.0128744341430866e-05,0.0,0.760866244222946,0.0,1.5021789506878477e-05,1.5021789506878477e-05,1.0
98.62806,0.0009063258870509101,0.9999999999999136,0.7579930727741698,0.011872350323676867,0.0,2.0382174813097804e-05,0.7462854935795981,0.0,0.9999999999999967,2.03821748130978e-05,0.0,0.7608662637949515,0.0,1.5210921390618337e-05,1.5210921390618337e-05,1.0
98.645,0.0009063259745937642,0.9999999999999225,0.7579930901985652,0.011872351030480446,0.0,2.063560538303108e-05,0.7462855111926406,0.0,0.9999999999999972,2.0635605383031077e-05,0.0,0.7608662811835295,0.0,1.540005331204495e-05,1.540005331204495e-05,1.0
98.66139,0.00090632604926747,0.9999999999999303,0.7579931047646736,0.011872351623160934,0.0,2.0889036020199023e-05,0.7462855259147521,0.0,0.9999999999999973,2.088903602019902e-05,0.0,0.7608662957201369,0.0,1.5589185232186427e-05,1.5589185232186427e-05,1.0
98.67833,0.0009063261175707285,0.9999999999999374,0.7579931178263448,0.011872352156225303,0.0,2.114246670739212e-05,0.7462855391147765,0.0,0.9999999999999974,2.1142466707392115e-05,0.0,0.7608663087557405,0.0,1.577831716494233e-05,1.577831716494233e-05,1.0
98.695,0.0009063261773468091,0.9999999999999439,0.7579931290387133,0.011872352615145973,0.0,2.139589742545809e-05,0.7462855504445914,0.0,0.9999999999999979,2.139589742545809e-05,0.0,0.7608663199460539,0.0,1.5967449087414006e-05,1.5967449087414006e-05,1.0
98.71139,0.0009063262296605987,0.9999999999999497,0.7579931386624296,0.011872353010185665,0.0,2.1649328158408906e-05,0.7462855601679417,0.0,0.9999999999999981,2.1649328158408906e-05,0.0,0.7608663295511162,0.0,1.6156580991957773e-05,1.6156580991957773e-05,1.0
98.77806,0.0009063263710967533,0.9999999999999549,0.7579931629030838,0.011872354015542878,0.0,2.190275900538425e-05,0.7462855846479559,0.0,0.9999999999999984,2.1902759005384247e-05,0.0,0.7608663537472801,0.0,1.634571330973645e-05,1.634571330973645e-05,1.0
98.845,0.0009063264730825672,0.9999999999999591,0.7579931793468896,0.011872354703391324,0.0,2.2156189898105825e-05,0.7462856012462565,0.0,0.9999999999999984,2.2156189898105832e-05,0.0,0.7608663701623233,0.0,1.6534845499434146e-05,1.6534845499434146e-05,1.0
