Time (hr),LREG_SEGR,LREG_TID,MCU_SEL,MCU_SEFI,MCU_TID,SRAM_SEL,SRAM_TID,LREG,MCU,SRAM,Payload
54.46389,0.0005189509129587733,0.0005440970031901711,0.5563938152971586,0.006816405335075212,0.0,0.5442241872793309,0.0,0.0010627655565124006,0.5594176148612394,0.5442241872793309,0.7994066158878457
54.48028,0.000519687641240285,0.000570586010245919,0.5568815318273613,0.0068258413752303885,0.0,0.5447085335489571,0.0,0.0010899771249884144,0.5599061882015428,0.5447085335489571,0.7998474428098384
54.49722,0.0005203741671782859,0.0005977381359509529,0.5573343936900674,0.006834620726951079,0.0,0.5451582778228923,0.0,0.0011178012556445525,0.5603598452180617,0.5451582778228923,0.8002568378725086
54.51389,0.0005209818437902751,0.0006254856296912769,0.5577338317979147,0.0068423794619367016,0.0,0.5455549752867521,0.0,0.0011461416068249313,0.5607599847439301,0.5455549752867521,0.8006183422418763
54.53028,0.0005215180239347106,0.0006537645753709146,0.5580850671285807,0.006849214592866362,0.0,0.5459038075335155,0.0,0.001174941649296159,0.5611118373356092,0.5459038075335155,0.8009367192825546
54.54722,0.0005220140774722837,0.0006825400445996334,0.5584089357927728,0.006855528525676436,0.0,0.5462254658697021,0.0,0.0012041978265601976,0.5614362759301293,0.5462254658697021,0.8012305966887115
54.56361,0.0005224420575755128,0.0007117473092425453,0.5586874592496753,0.006860967985886475,0.0,0.5465020925935761,0.0,0.0012338175200893435,0.5617152904635335,0.5465020925935761,0.8014840364261552
54.58056,0.0005228365036257037,0.0007413552104263112,0.5589433841066163,0.006865974532127019,0.0,0.5467562779707075,0.0,0.0012638041064858508,0.5619716675985663,0.5467562779707075,0.8017173158365962
54.59694,0.0005231753840418934,0.0007713091719872731,0.5591626341328508,0.0068702706548317985,0.0,0.5469740403706452,0.0,0.001294081026056897,0.5621913061511212,0.5469740403706452,0.8019179626881828
54.61389,0.0005234864980758667,0.0008015823137607634,0.5593633949156177,0.00687421074540292,0.0,0.5471734411336512,0.0,0.0013246491943182798,0.5623924238011067,0.5471734411336512,0.8021021600612859
54.63028,0.0005237530441669191,0.0008321299528294118,0.5595349924778176,0.006877583676804896,0.0,0.5473438779786294,0.0,0.001355447166400394,0.5625643274237557,0.5473438779786294,0.8022604541124947
54.64722,0.0005239965752320624,0.0008629292694490444,0.5596914481834997,0.0068806636028152105,0.0,0.5474992769197367,0.0,0.001386473672699248,0.5627210632099917,0.5474992769197367,0.8024053051225406
54.66389,0.0005242080202942713,0.0008939477869254767,0.559827049578617,0.0068833369201714316,0.0,0.5476339637480002,0.0,0.0014176871926201173,0.5628569082995133,0.5476339637480002,0.80253165811437
54.68028,0.0005243913080528168,0.0009251568692837753,0.5599444258024375,0.006885654219480654,0.0,0.547750549496276,0.0,0.0014490630331157543,0.5629744963237171,0.547750549496276,0.8026418555085413
54.69722,0.0005245579055804282,0.0009565397290990508,0.5600509986718522,0.006887761165468088,0.0,0.5478564057741804,0.0,0.0014805958742025783,0.5630812623179866,0.5478564057741804,0.8027424832872917
54.71361,0.0005246995726173774,0.0009880708221795104,0.5601415607209757,0.0068895539982669,0.0,0.5479463599173945,0.0,0.0015122519544587746,0.563171989189982,0.5479463599173945,0.8028289315515306
54.73056,0.0005248281203045649,0.0010197369382445986,0.5602237109421436,0.006891182455349879,0.0,0.5480279597074611,0.0,0.0015440298719286594,0.563254289589578,0.5480279597074611,0.8029079368095386
54.74694,0.0005249370142041321,0.0010515178310456605,0.5602933011825204,0.006892563726618144,0.0,0.5480970845745773,0.0,0.001575902864619181,0.5633240076251408,0.5480970845745773,0.8029758269840697
54.76389,0.0005250356170240492,0.0010834030668594743,0.5603563279236952,0.00689381633456064,0.0,0.5481596906737617,0.0,0.001607869858685829,0.563387150651641,0.5481596906737617,0.8030379145105696
54.78028,0.0005251189635936562,0.0011153767648647733,0.5604096198315195,0.006894876832825167,0.0,0.5482126276184591,0.0,0.001639910022967647,0.5634405413596758,0.5482126276184591,0.8030913921093855
54.79722,0.0005251940344308208,0.0011474303957889219,0.5604576365775867,0.006895833609006885,0.0,0.5482603251642443,0.0,0.0016720218066209498,0.5634886475798573,0.5482603251642443,0.8031402087336335
54.81389,0.0005252583680972056,0.0011795526502768063,0.5604987964443062,0.006896654842866829,0.0,0.5483012119211813,0.0,0.0017041914484738426,0.5635298845482544,0.5483012119211813,0.8031829643122681
54.83028,0.0005253133907232471,0.001211733633801067,0.5605340028456238,0.006897358239707252,0.0,0.5483361851124882,0.0,0.0017364104846204886,0.5635651572621677,0.5483361851124882,0.8032204583846494
54.84722,0.0005253627615857486,0.0012439673275869945,0.5605655884573422,0.006897990175078191,0.0,0.5483675618138311,0.0,0.0017686765550621996,0.5635968027107547,0.5483675618138311,0.803254755230016
54.86361,0.0005254041649009226,0.0012762451089758848,0.5605920643255852,0.006898520642511949,0.0,0.5483938627890038,0.0,0.001800978729381117,0.5636233290403186,0.5483938627890038,0.8032845368264121
54.88056,0.0005254412339374887,0.0013085622483252222,0.5606157479920078,0.006898995873239279,0.0,0.5484173901581881,0.0,0.0018333159097002668,0.5636470581333772,0.5484173901581881,0.8033118535002856
54.89694,0.0005254721818656057,0.0013409120206786531,0.5606354941768473,0.006899392712800417,0.0,0.5484370061129525,0.0,0.001865679590579063,0.5636668424465867,0.5484370061129525,0.8033356914504944
54.91389,0.0005254998026143343,0.0013732907089361798,0.5606530840340703,0.00689974679208328,0.0,0.5484544799902931,0.0,0.0018980688475540362,0.563684466508118,0.5484544799902931,0.8033576260890105
54.93028,0.000525522809664921,0.0014056931840988373,0.5606676990163451,0.006900041487853283,0.0,0.5484689985908785,0.0,0.0019304772699321234,0.5636991101200863,0.5484689985908785,0.8033769328196262
54.94722,0.000525543248964944,0.0014381165217761417,0.5606806413927377,0.006900302923746435,0.0,0.5484818555612052,0.0,0.0019629039783118415,0.5637120780473938,0.5484818555612052,0.8033947632485481
54.96389,0.000525560516088132,0.0014705571552038415,0.5606915322059206,0.006900523329647871,0.0,0.5484926744246097,0.0,0.0019953448045145475,0.5637229905368455,0.5484926744246097,0.8034107817878131
54.98028,0.0005255750510445739,0.0015030120074016227,0.5607006561892087,0.006900708343941104,0.0,0.5485017380286706,0.0,0.0020277971128336856,0.5637321328365317,0.5485017380286706,0.8034252399029237
54.99722,0.0005255879094982752,0.0015354791348583452,0.5607086829019092,0.006900871442992116,0.0,0.5485097115043592,0.0,0.002060260015088052,0.5637401758072258,0.5485097115043592,0.8034387295027586
55.01361,0.0005255985343015272,0.001567956046068231,0.5607152722917114,0.006901005626741835,0.0,0.5485162570656189,0.0,0.0020927304649700955,0.5637467786693681,0.5485162570656189,0.8034509495480422
55.03056,0.0005256078967549218,0.0016004412753796717,0.5607210354445579,0.0069011232535967785,0.0,0.5485219817517141,0.0,0.0021252079675619616,0.5637525537216672,0.5485219817517141,0.8034624402304567
55.04694,0.0005256155923268837,0.0016329329894011534,0.5607257323895322,0.006901219349105481,0.0,0.5485266472163848,0.0,0.002157690286687583,0.5637572604647296,0.5485266472163848,0.8034729891119604
55.06389,0.0005256223573172847,0.0016654301166334476,0.5607298221522385,0.0069013032322604905,0.0,0.548530709436416,0.0,0.0021901770866468804,0.5637613588504551,0.548530709436416,0.8034830019268574
55.08028,0.0005256278984985892,0.0016979313426024906,0.5607331363568495,0.006901371388483159,0.0,0.548534001197633,0.0,0.002222666761017673,0.563764680121505,0.548534001197633,0.803492329624511
