Time (hr),SRAM_TID,MCU_TID,LREG_TID,WDOG_TID,MCU_SEL,MCU_SEFI,LREG_SEGR,SRAM_SEL
1.36639,0.0,0.0,0.0,0.0,7.887213805402027e-07,7.462544582281794e-09,7.104953292369487e-10,7.615934188853757e-07
1.38333,0.0,0.0,0.0,0.0,6.748874362694224e-07,6.4086400630714024e-09,6.208479286229363e-10,6.51615198576927e-07
1.39972,0.0,0.0,0.0,0.0,5.410505253822251e-07,5.156462812294649e-09,5.084672682897917e-10,5.223440645574229e-07
1.41667,0.0,0.0,0.0,0.0,4.641622196599471e-07,4.439848044768269e-09,4.4575398927548804e-10,4.480705092513304e-07
1.43306,0.0,0.0,0.0,0.0,3.7336939662235835e-07,3.584353591712386e-09,3.6643588163798313e-10,3.6038952688777215e-07
1.45,0.0,0.0,0.0,0.0,3.217913312481002e-07,3.1003604128443385e-09,3.227821343543269e-10,3.1057301708159457e-07
1.46639,0.0,0.0,0.0,0.0,2.6013975706895565e-07,2.5153865657046026e-09,2.667294163316569e-10,2.51044677046508e-07
1.48333,0.0,0.0,0.0,0.0,2.253086660575221e-07,2.1863592047921543e-09,2.361375539550181e-10,2.174083871819832e-07
1.5,0.0,0.0,0.0,0.0,1.8638513199498163e-07,1.815026240414852e-09,1.9966073239174875e-10,1.798303745914609e-07
1.51639,0.0,0.0,0.0,0.0,1.545751008302787e-07,1.5104931749831962e-09,1.6922496737237225e-10,1.4912280033030356e-07
1.53333,0.0,0.0,0.0,0.0,1.351607393784704e-07,1.325317078304522e-09,1.512109326640143e-10,1.303788131901129e-07
1.54972,0.0,0.0,0.0,0.0,1.1106019948137202e-07,1.0926768378993756e-09,1.26942567568733e-10,1.071189564827435e-07
1.56667,0.0,0.0,0.0,0.0,9.793602750995944e-08,9.667435740823294e-10,1.143394268154907e-10,9.444985982209886e-08
1.58306,0.0,0.0,0.0,0.0,8.104284221488456e-08,8.025897724195374e-10,9.662259881082491e-11,7.814907487802003e-08
1.6,0.0,0.0,0.0,0.0,7.19995728593048e-08,7.152958225731254e-10,8.76307915120833e-11,6.942071528737159e-08
1.61639,0.0,0.0,0.0,0.0,6.018881204550297e-08,5.998015417674196e-10,7.474909580196254e-11,5.802629254869629e-08
1.63333,0.0,0.0,0.0,0.0,5.3972310176675364e-08,5.394691360294246e-10,6.83720857708181e-11,5.2027086083761276e-08
1.65,0.0,0.0,0.0,0.0,4.633078354299158e-08,4.644346018878309e-10,5.983646911289497e-11,4.4655771413992795e-08
1.66639,0.0,0.0,0.0,0.0,3.9766293702392375e-08,3.9978609311930313e-10,5.236677758091446e-11,3.8323990425581655e-08
1.73306,0.0,0.0,0.0,0.0,1.0016515272770476e-07,1.017436579431319e-09,1.4156942285126206e-10,9.648648413573824e-08
