  1.8171E-01,  1.1980E+00,  2.4115E+03,  2.4053E+03,  2.3991E+03,  2.3929E+03,  2.3867E+03,  2.3839E+03,  2.3811E+03,  2.3749E+03,  2.3582E+03,  2.3545E+03,  2.3509E+03,  2.3394E+03,  2.3278E+03,  2.3127E+03,  2.2976E+03,  2.2801E+03,  2.2279E+03,  2.1458E+03,  2.0690E+03,  1.9120E+03,  1.7960E+03,  1.6870E+03,  1.5822E+03,  1.4868E+03,  1.2260E+03,  8.6183E+02,  6.0581E+02,  2.7422E+02,  1.2413E+02
  1.8292E-01,  1.1974E+00,  2.1705E+03,  2.1639E+03,  2.1573E+03,  2.1507E+03,  2.1442E+03,  2.1416E+03,  2.1390E+03,  2.1325E+03,  2.1164E+03,  2.1121E+03,  2.1078E+03,  2.0971E+03,  2.0864E+03,  2.0738E+03,  2.0612E+03,  2.0456E+03,  1.9991E+03,  1.9341E+03,  1.8685E+03,  1.7270E+03,  1.6251E+03,  1.5292E+03,  1.4347E+03,  1.3488E+03,  1.1132E+03,  7.8130E+02,  5.4835E+02,  2.4616E+02,  1.1050E+02
  1.8438E-01,  1.1970E+00,  1.9223E+03,  1.9153E+03,  1.9084E+03,  1.9014E+03,  1.8944E+03,  1.8921E+03,  1.8898E+03,  1.8829E+03,  1.8676E+03,  1.8625E+03,  1.8575E+03,  1.8478E+03,  1.8382E+03,  1.8283E+03,  1.8183E+03,  1.8047E+03,  1.7639E+03,  1.7168E+03,  1.6626E+03,  1.5360E+03,  1.4486E+03,  1.3661E+03,  1.2821E+03,  1.2063E+03,  9.9713E+02,  6.9908E+02,  4.9012E+02,  2.1802E+02,  9.6980E+01
  1.8604E-01,  1.1965E+00,  1.6707E+03,  1.6635E+03,  1.6563E+03,  1.6491E+03,  1.6419E+03,  1.6399E+03,  1.6379E+03,  1.6306E+03,  1.6162E+03,  1.6106E+03,  1.6051E+03,  1.5965E+03,  1.5881E+03,  1.5806E+03,  1.5732E+03,  1.5614E+03,  1.5264E+03,  1.4961E+03,  1.4529E+03,  1.3415E+03,  1.2684E+03,  1.1993E+03,  1.1259E+03,  1.0604E+03,  8.7806E+02,  6.1485E+02,  4.3055E+02,  1.8949E+02,  8.3401E+01
  1.8786E-01,  1.1957E+00,  1.4173E+03,  1.4101E+03,  1.4029E+03,  1.3957E+03,  1.3885E+03,  1.3868E+03,  1.3851E+03,  1.3779E+03,  1.3647E+03,  1.3589E+03,  1.3530E+03,  1.3456E+03,  1.3382E+03,  1.3329E+03,  1.3277E+03,  1.3179E+03,  1.2887E+03,  1.2726E+03,  1.2397E+03,  1.1445E+03,  1.0853E+03,  1.0292E+03,  9.6662E+02,  9.1122E+02,  7.5572E+02,  5.2809E+02,  3.6902E+02,  1.6032E+02,  6.9646E+01
  1.8981E-01,  1.1944E+00,  1.1949E+03,  1.1891E+03,  1.1834E+03,  1.1777E+03,  1.1721E+03,  1.1705E+03,  1.1689E+03,  1.1632E+03,  1.1523E+03,  1.1478E+03,  1.1433E+03,  1.1365E+03,  1.1298E+03,  1.1245E+03,  1.1193E+03,  1.1111E+03,  1.0865E+03,  1.0693E+03,  1.0415E+03,  9.6356E+02,  9.1384E+02,  8.6670E+02,  8.1457E+02,  7.6746E+02,  6.3631E+02,  4.4349E+02,  3.0909E+02,  1.3415E+02,  5.8223E+01
  1.9186E-01,  1.1930E+00,  9.6707E+02,  9.6213E+02,  9.5721E+02,  9.5238E+02,  9.4758E+02,  9.4538E+02,  9.4319E+02,  9.3765E+02,  9.2607E+02,  9.2227E+02,  9.1848E+02,  9.1178E+02,  9.0514E+02,  9.0173E+02,  8.9833E+02,  8.9186E+02,  8.7390E+02,  8.6435E+02,  8.4679E+02,  7.8858E+02,  7.5015E+02,  7.1359E+02,  6.7229E+02,  6.3351E+02,  5.2728E+02,  3.6698E+02,  2.5541E+02,  1.0839E+02,  4.6000E+01
  1.9397E-01,  1.1913E+00,  7.5136E+02,  7.4839E+02,  7.4543E+02,  7.4251E+02,  7.3959E+02,  7.3704E+02,  7.3449E+02,  7.3021E+02,  7.1964E+02,  7.1746E+02,  7.1529E+02,  7.0897E+02,  7.0270E+02,  6.9994E+02,  6.9719E+02,  6.9232E+02,  6.8023E+02,  6.6767E+02,  6.5594E+02,  6.1938E+02,  5.8869E+02,  5.5952E+02,  5.2991E+02,  4.9887E+02,  4.1527E+02,  2.8780E+02,  1.9947E+02,  8.3223E+01,  3.4723E+01
  1.9612E-01,  1.1888E+00,  5.6958E+02,  5.6776E+02,  5.6594E+02,  5.6414E+02,  5.6233E+02,  5.6017E+02,  5.5801E+02,  5.5501E+02,  5.4697E+02,  5.4561E+02,  5.4424E+02,  5.3898E+02,  5.3376E+02,  5.3127E+02,  5.2879E+02,  5.2521E+02,  5.1651E+02,  5.0336E+02,  4.9417E+02,  4.7134E+02,  4.4729E+02,  4.2447E+02,  4.0401E+02,  3.7985E+02,  3.1586E+02,  2.1758E+02,  1.4988E+02,  6.0881E+01,  2.4730E+01
  1.9826E-01,  1.1864E+00,  4.3370E+02,  4.3214E+02,  4.3060E+02,  4.2906E+02,  4.2752E+02,  4.2587E+02,  4.2423E+02,  4.2190E+02,  4.1583E+02,  4.1459E+02,  4.1336E+02,  4.0912E+02,  4.0494E+02,  4.0285E+02,  4.0077E+02,  3.9809E+02,  3.9128E+02,  3.8137E+02,  3.7416E+02,  3.5729E+02,  3.3914E+02,  3.2192E+02,  3.0629E+02,  2.8711E+02,  2.3834E+02,  1.6367E+02,  1.1239E+02,  4.3791E+01,  1.7063E+01
