Time (s),A,B1,B2,Y,Z
8380000.0,-0.07740182921159289,-0.16705655524107027,-0.16705655524107027,-0.16705655524107027,-0.26197886224935074
8400000.0,-0.080663669671483,-0.16689533168303455,-0.16689533168303455,-0.16689533168303455,-0.2658975729328421
8420000.0,-0.0840151198365992,-0.16670731180958098,-0.16670731180958098,-0.16670731180958098,-0.2699061781175682
8440000.0,-0.08745645341374228,-0.16649214259873896,-0.16649214259873896,-0.16649214259873896,-0.27400494801251063
8460000.0,-0.09098785039536081,-0.16624949043812093,-0.16624949043812093,-0.16624949043812093,-0.2781940591253239
8480000.0,-0.09460939522144463,-0.16597904201084707,-0.16597904201084707,-0.16597904201084707,-0.28247359242418874
8500000.0,-0.098321075126204,-0.16568050515239163,-0.16568050515239163,-0.16568050515239163,-0.2868435316844517
8520000.0,-0.10212277867561712,-0.16535360967571688,-0.16535360967571688,-0.16535360967571688,-0.29130376202613306
8540000.0,-0.10601429450132685,-0.16499810816214627,-0.16499810816214627,-0.16499810816214627,-0.29585406864778446
8560000.0,-0.10999531023567663,-0.1646137767155284,-0.1646137767155284,-0.1646137767155284,-0.30049413576148487
8580000.0,-0.11406541165221828,-0.16420041567731208,-0.16420041567731208,-0.16420041567731208,-0.30522354573331006
8600000.0,-0.11822408201512344,-0.16375785030030998,-0.16375785030030998,-0.16375785030030998,-0.3100417784327042
8620000.0,-0.12247070164055268,-0.16328593137898684,-0.16328593137898684,-0.16328593137898684,-0.3149482107938101
8640000.0,-0.12680454767210952,-0.1627845358342907,-0.1627845358342907,-0.1627845358342907,-0.3199421165908849
8660000.0,-0.13122479407200416,-0.16225356725113343,-0.16225356725113343,-0.16225356725113343,-0.32502266642942423
8680000.0,-0.13573051182877754,-0.16169295636679815,-0.16169295636679815,-0.16169295636679815,-0.3301889279538484
8700000.0,-0.1403206693817925,-0.16110266150867514,-0.16110266150867514,-0.16110266150867514,-0.33543986627195443
8720000.0,-0.14499413326199295,-0.16048266897989782,-0.16048266897989782,-0.16048266897989782,-0.340774344595637
8740000.0,-0.14974966894778693,-0.15983299339159138,-0.15983299339159138,-0.15983299339159138,-0.34619112509673355
8760000.0,-0.15458594193419448,-0.15915367794062268,-0.15915367794062268,-0.15915367794062268,-0.35168886997613324
8780000.0,-0.15950151901276488,-0.158444794631902,-0.158444794631902,-0.158444794631902,-0.35726614274365665
8800000.0,-0.16449486975915986,-0.15770644444443963,-0.15770644444443963,-0.15770644444443963,-0.3629214097056007
8820000.0,-0.16956436822457552,-0.15693875744056157,-0.15693875744056157,-0.15693875744056157,-0.36865304165612267
8840000.0,-0.17470829482662928,-0.15614189281783938,-0.15614189281783938,-0.15614189281783938,-0.37445931576808983
8860000.0,-0.1799248384347824,-0.15531603890345425,-0.15531603890345425,-0.15531603890345425,-0.38033841767846366
8880000.0,-0.18521209864465865,-0.1544614130909256,-0.1544614130909256,-0.1544614130909256,-0.3862884437625812
8900000.0,-0.19056808823521282,-0.15357826171926992,-0.15357826171926992,-0.15357826171926992,-0.39230740359128635
8920000.0,-0.1959907358021154,-0.1526668598948484,-0.1526668598948484,-0.1526668598948484,-0.3983932225642769
8940000.0,-0.20147788856025306,-0.15172751125631784,-0.15172751125631784,-0.15172751125631784,-0.40454374471256777
8960000.0,-0.20702731530772903,-0.15076054768329256,-0.15076054768329256,-0.15076054768329256,-0.41075673566245446
8980000.0,-0.2126367095434139,-0.14976632894945174,-0.14976632894945174,-0.14976632894945174,-0.4170298857530266
9000000.0,-0.21830369272956854,-0.14874524232103087,-0.14874524232103087,-0.14874524232103087,-0.42336081329875414
9020000.0,-0.22402581769083943,-0.14769770210174782,-0.14769770210174782,-0.14769770210174782,-0.4297470679884457
9040000.0,-0.22980057214047053,-0.14662414912540467,-0.14662414912540467,-0.14662414912540467,-0.43618613441142373
9060000.0,-0.2356253823243802,-0.14552505019752165,-0.14552505019752165,-0.14552505019752165,-0.4426754357015651
9080000.0,-0.24149761677341022,-0.14440089748752122,-0.14440089748752122,-0.14440089748752122,-0.449212337289513
9100000.0,-0.2474145901538579,-0.14325220787311194,-0.14325220787311194,-0.14325220787311194,-0.4557941507531735
9120000.0,-0.25337356720632864,-0.14207952223861275,-0.14207952223861275,-0.14207952223861275,-0.4624181377565308
9140000.0,-0.25937176676252527,-0.14088340472915162,-0.14088340472915162,-0.14088340472915162,-0.4690815140664014
9160000.0,-0.26540636582984567,-0.13966444196269096,-0.13966444196269096,-0.13966444196269096,-0.4757814536369951
9180000.0,-0.27147450373322646,-0.13842324220202318,-0.13842324220202318,-0.13842324220202318,-0.4825150927517223
9200000.0,-0.2775732863038959,-0.13716043448891097,-0.13716043448891097,-0.13716043448891097,-0.4892795342119118
9220000.0,-0.283699790104572,-0.1358766677426675,-0.1358766677426675,-0.1358766677426675,-0.49607185156197287
9240000.0,-0.28985106668067123,-0.13457260982554353,-0.13457260982554353,-0.13457260982554353,-0.502889093340568
9260000.0,-0.2960241468272313,-0.13324894657734554,-0.13324894657734554,-0.13324894657734554,-0.5097282873475002
9280000.0,-0.30221604486128706,-0.13190638082178507,-0.13190638082178507,-0.13190638082178507,-0.5165864449160538
9300000.0,-0.30842376288956064,-0.13054563134710923,-0.13054563134710923,-0.13054563134710923,-0.5234605651806485
9320000.0,-0.31464429506157543,-0.1291674318635881,-0.1291674318635881,-0.1291674318635881,-0.5303476393299191
9340000.0,-0.3208746317984221,-0.12777252994048088,-0.12777252994048088,-0.12777252994048088,-0.5372446548354453
9360000.0,-0.32711176398760355,-0.12636168592513825,-0.12636168592513825,-0.12636168592513825,-0.5441485996465618
9380000.0,-0.3333526871347329,-0.12493567184688525,-0.12493567184688525,-0.12493567184688525,-0.551056466342022
9400000.0,-0.33959440546305225,-0.123495270308354,-0.123495270308354,-0.123495270308354,-0.5579652562294811
9420000.0,-0.34583393595205053,-0.12204127336693454,-0.12204127336693454,-0.12204127336693454,-0.5648719833840796
9440000.0,-0.3520683123067795,-0.1205744814089974,-0.1205744814089974,-0.1205744814089974,-0.5717736786177245
9460000.0,-0.3582945888498708,-0.11909570201950437,-0.11909570201950437,-0.11909570201950437,-0.5786673933710719
9480000.0,-0.364509844328479,-0.11760574884963926,-0.11760574884963926,-0.11760574884963926,-0.5855502035204349
9500000.0,-0.3707111856289125,-0.11610544048500376,-0.11610544048500376,-0.11610544048500376,-0.592419213092381
9520000.0,-0.3768957513919603,-0.11459559931692681,-0.11459559931692681,-0.11459559931692681,-0.5992715578790245
9540000.0,-0.38306071552243104,-0.11307705041935445,-0.11307705041935445,-0.11307705041935445,-0.6061044089475309
9560000.0,-0.3892032905867736,-0.11155062043374997,-0.11155062043374997,-0.11155062043374997,-0.6129149760377032
9580000.0,-0.39532073109314814,-0.11001713646434808,-0.11001713646434808,-0.11001713646434808,-0.6197005108420199
9600000.0,-0.4014103366486218,-0.10847742498607493,-0.10847742498607493,-0.10847742498607493,-0.6264583101627961
9620000.0,-0.40746945498871434,-0.10693231076734311,-0.10693231076734311,-0.10693231076734311,-0.6331857189416954
9640000.0,-0.4134954848750047,-0.10538261580982866,-0.10538261580982866,-0.10538261580982866,-0.6398801331573029
9660000.0,-0.41948587885673316,-0.10382915830733053,-0.10382915830733053,-0.10382915830733053,-0.6465390025866936
9680000.0,-0.4254381458930382,-0.10227275162563643,-0.10227275162563643,-0.10227275162563643,-0.6531598334276362
9700000.0,-0.43134985383281443,-0.10071420330526004,-0.10071420330526004,-0.10071420330526004,-0.6597401907784171
9720000.0,-0.4372186317494843,-0.0991543140888611,-0.0991543140888611,-0.0991543140888611,-0.6662777009725787
9740000.0,-0.4430421721287454,-0.09759387697495692,-0.09759387697495692,-0.09759387697495692,-0.6727700537666342
9760000.0,-0.4488182329073974,-0.09603367629954984,-0.09603367629954984,-0.09603367629954984,-0.6792150043788608
9780000.0,-0.4545446393620909,-0.09447448684710147,-0.09447448684710147,-0.09447448684710147,-0.6856103753780156
9800000.0,-0.46021928584715194,-0.09291707299220409,-0.09291707299220409,-0.09291707299220409,-0.6919540584211273
9820000.0,-0.4658401373809501,-0.09136218787322681,-0.09136218787322681,-0.09136218787322681,-0.6982440158398316
9840000.0,-0.4714052310809016,-0.08981057259903247,-0.08981057259903247,-0.08981057259903247,-0.7044782820753409
9860000.0,-0.4769126774473672,-0.08826295548982155,-0.08826295548982155,-0.08826295548982155,-0.7106549649623106
9880000.0,-0.48236066149721385,-0.0867200513530092,-0.0867200513530092,-0.0867200513530092,-0.7167722468623671
9900000.0,-0.4877474437481446,-0.08518256079493935,-0.08518256079493935,-0.08518256079493935,-0.722828385648406
9920000.0,-0.4930713610552632,-0.08365116956912588,-0.08365116956912588,-0.08365116956912588,-0.7288217155411242
9940000.0,-0.4983308273016194,-0.08212654796162222,-0.08212654796162222,-0.08212654796162222,-0.7347506477995321
9960000.0,-0.5035243339448761,-0.08060935021398763,-0.08060935021398763,-0.08060935021398763,-0.7406136712675903
9980000.0,-0.5086504504225366,-0.07910021398421696,-0.07910021398421696,-0.07910021398421696,-0.7464093527794026
10000000.0,-0.513707824418369,-0.07759975984592249,-0.07759975984592249,-0.07759975984592249,-0.7521363374256101
10020000.0,-0.5186951819930704,-0.07610859082591259,-0.07610859082591259,-0.07610859082591259,-0.7577933486840227
10040000.0,-0.5236113275823918,-0.07462729198023677,-0.07462729198023677,-0.07462729198023677,-0.7633791884177125
10060000.0,-0.5284551438661471,-0.07315643000868599,-0.07315643000868599,-0.07315643000868599,-0.7688927367439906
10080000.0,-0.5332255915118455,-0.07169655290759491,-0.07169655290759491,-0.07169655290759491,-0.7743329517780083
10100000.0,-0.537921708796811,-0.07024818966075175,-0.07024818966075175,-0.07024818966075175,-0.7796988692548451
10120000.0,-0.5425426111128926,-0.06881184996809275,-0.06881184996809275,-0.06881184996809275,-0.7849896020341868
10140000.0,-0.5470874903579516,-0.06738802401181643,-0.06738802401181643,-0.06738802401181643,-0.7902043394917821
10160000.0,-0.5515556142185668,-0.06597718225942362,-0.06597718225942362,-0.06597718225942362,-0.7953423468021166
10180000.0,-0.5559463253484501,-0.06457977530315795,-0.06457977530315795,-0.06457977530315795,-0.8004029641167963
10200000.0,-0.560259040447208,-0.06319623373521877,-0.06319623373521877,-0.06319623373521877,-0.8053856056432791
10220000.0,-0.5644932492441818,-0.06182696805805876,-0.06182696805805876,-0.06182696805805876,-0.8102897586286832
10240000.0,-0.5686485133921647,-0.06047236862902117,-0.06047236862902117,-0.06047236862902117,-0.8151149822534737
10260000.0,-0.5727244652758975,-0.05913280563849144,-0.05913280563849144,-0.05913280563849144,-0.819860906439927
10280000.0,-0.5767208067402025,-0.0578086291207186,-0.0578086291207186,-0.0578086291207186,-0.8245272305802348
10300000.0,-0.5806373077427633,-0.05650016899635635,-0.05650016899635635,-0.05650016899635635,-0.8291137221892522
10320000.0,-0.5844738049364888,-0.05520773514578092,-0.05520773514578092,-0.05520773514578092,-0.8336202154868319
10340000.0,-0.5882302001864299,-0.05393161751215669,-0.05393161751215669,-0.05393161751215669,-0.8380466099147101
10360000.0,-0.5919064590262119,-0.0526720862332144,-0.0526720862332144,-0.0526720862332144,-0.8423928685929087
10380000.0,-0.5955026090589051,-0.05142939180064254,-0.05142939180064254,-0.05142939180064254,-0.8466590167205752
10400000.0,-0.5990187383072605,-0.05020376524597847,-0.05020376524597847,-0.05020376524597847,-0.8508451399261885
10420000.0,-0.602454993518078,-0.048995418351874154,-0.048995418351874154,-0.048995418351874154,-0.8549513825718966
10440000.0,-0.6058115784255743,-0.04780454388754085,-0.04780454388754085,-0.04780454388754085,-0.8589779460168556
10460000.0,-0.6090887519784174,-0.046631315867213696,-0.046631315867213696,-0.046631315867213696,-0.8629250868442325
10480000.0,-0.6122868265350453,-0.04547588983042772,-0.04547588983042772,-0.04547588983042772,-0.8667931150564951
10500000.0,-0.6154061660318357,-0.04433840314289661,-0.04433840314289661,-0.04433840314289661,-0.870582392243552
10520000.0,-0.618447184128537,-0.04321897531677554,-0.04321897531677554,-0.04321897531677554,-0.8742933297281533
