Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,C,X,Z
3360000.0,20000.0,0.0023,46.0,7774.0,0.0,0.0,0.0,0.0,0.0
3380000.0,20000.0,0.0023,46.0,7820.0,0.0,0.0,0.0,0.0,0.0
3400000.0,20000.0,0.0023,46.0,7866.0,0.0,0.0,0.0,0.0,0.0
3420000.0,20000.0,0.0023,46.0,7912.0,0.0,0.0,0.0,0.0,0.0
3440000.0,20000.0,0.0023,46.0,7958.0,0.0,0.0,0.0,0.0,0.0
3460000.0,20000.0,0.0023,46.0,8004.0,0.0,0.0,0.0,0.0,0.0
3480000.0,20000.0,0.0023,46.0,8050.0,0.0,0.0,0.0,0.0,0.0
3500000.0,20000.0,0.0023,46.0,8096.0,0.0,0.0,0.0,0.0,0.0
3520000.0,20000.0,0.0023,46.0,8142.0,0.0,0.0,0.0,0.0,0.0
3540000.0,20000.0,0.0023,46.0,8188.0,0.0,0.0,0.0,0.0,0.0
3560000.0,20000.0,0.0023,46.0,8234.0,0.0,0.0,0.0,0.0,0.0
3580000.0,20000.0,0.0023,46.0,8280.0,0.0,0.0,0.0,0.0,0.0
3600000.0,20000.0,0.0023,46.0,8326.0,0.0,0.0,0.0,0.0,0.0
3620000.0,20000.0,0.0023,46.0,8372.0,0.0,0.0,0.0,0.0,0.0
3640000.0,20000.0,0.0023,46.0,8418.0,0.0,0.0,0.0,0.0,0.0
3660000.0,20000.0,0.0023,46.0,8464.0,0.0,0.0,0.0,0.0,0.0
3680000.0,20000.0,0.0023,46.0,8510.0,0.0,0.0,0.0,0.0,0.0
3700000.0,20000.0,0.0023,46.0,8556.0,0.0,0.0,0.0,0.0,0.0
3720000.0,20000.0,0.0023,46.0,8602.0,0.0,0.0,0.0,0.0,0.0
3740000.0,20000.0,0.0023,46.0,8648.0,0.0,0.0,0.0,0.0,0.0
3760000.0,20000.0,0.0023,46.0,8694.0,0.0,0.0,0.0,0.0,0.0
3780000.0,20000.0,0.0023,46.0,8740.0,0.0,0.0,0.0,0.0,0.0
3800000.0,20000.0,0.0023,46.0,8786.0,0.0,0.0,0.0,0.0,0.0
3820000.0,20000.0,0.0023,46.0,8832.0,0.0,0.0,0.0,0.0,0.0
3840000.0,20000.0,0.0023,46.0,8878.0,0.0,0.0,0.0,0.0,0.0
3860000.0,20000.0,0.0023,46.0,8924.0,0.0,0.0,0.0,0.0,0.0
3880000.0,20000.0,0.0023,46.0,8970.0,0.0,0.0,0.0,0.0,0.0
3900000.0,20000.0,0.0023,46.0,9016.0,0.0,0.0,0.0,0.0,0.0
3920000.0,20000.0,0.0023,46.0,9062.0,0.0,0.0,0.0,0.0,0.0
3940000.0,20000.0,0.0023,46.0,9108.0,0.0,0.0,0.0,0.0,0.0
3960000.0,20000.0,0.0023,46.0,9154.0,0.0,0.0,0.0,0.0,0.0
3980000.0,20000.0,0.0023,46.0,9200.0,0.0,0.0,0.0,0.0,0.0
4000000.0,20000.0,0.0023,46.0,9246.0,0.0,0.0,0.0,0.0,0.0
4020000.0,20000.0,0.0023,46.0,9292.0,0.0,0.0,0.0,0.0,0.0
4040000.0,20000.0,0.0023,46.0,9338.0,0.0,0.0,0.0,0.0,0.0
4060000.0,20000.0,0.0023,46.0,9384.0,0.0,0.0,0.0,0.0,0.0
4080000.0,20000.0,0.0023,46.0,9430.0,0.0,0.0,0.0,0.0,0.0
4100000.0,20000.0,0.0023,46.0,9476.0,0.0,0.0,0.0,0.0,0.0
4120000.0,20000.0,0.0023,46.0,9522.0,0.0,0.0,0.0,0.0,0.0
4140000.0,20000.0,0.0023,46.0,9568.0,-5.551e-17,0.0,0.0,0.0,-5.551e-17
4160000.0,20000.0,0.0023,46.0,9614.0,-5.551e-17,0.0,0.0,0.0,-5.551e-17
4180000.0,20000.0,0.0023,46.0,9660.0,-1.1102e-16,0.0,0.0,0.0,-1.1102e-16
4200000.0,20000.0,0.0023,46.0,9706.0,-1.1102e-16,0.0,0.0,0.0,-1.1102e-16
4220000.0,20000.0,0.0023,46.0,9752.0,-1.6653e-16,0.0,0.0,0.0,-1.6653e-16
4240000.0,20000.0,0.0023,46.0,9798.0,-2.7756e-16,0.0,0.0,0.0,-2.7756e-16
4260000.0,20000.0,0.0023,46.0,9844.0,-3.8858e-16,0.0,0.0,0.0,-3.8858e-16
4280000.0,20000.0,0.0023,46.0,9890.0,-6.1062e-16,0.0,0.0,0.0,-6.1062e-16
4300000.0,20000.0,0.0023,46.0,9936.0,-8.3267e-16,0.0,0.0,0.0,-8.3267e-16
4320000.0,20000.0,0.0023,46.0,9982.0,-1.22125e-15,0.0,0.0,0.0,-1.22125e-15
4340000.0,20000.0,0.0023,46.0,10028.0,-1.77636e-15,0.0,0.0,0.0,-1.77636e-15
4360000.0,20000.0,0.0023,46.0,10074.0,-2.60902e-15,0.0,0.0,0.0,-2.60902e-15
4380000.0,20000.0,0.0023,46.0,10120.0,-3.71925e-15,0.0,0.0,0.0,-3.71925e-15
4400000.0,20000.0,0.0023,46.0,10166.0,-5.27356e-15,0.0,0.0,0.0,-5.27356e-15
4420000.0,20000.0,0.0023,46.0,10212.0,-7.54952e-15,0.0,0.0,0.0,-7.54952e-15
4440000.0,20000.0,0.0023,46.0,10258.0,-1.071365e-14,0.0,0.0,0.0,-1.071365e-14
4460000.0,20000.0,0.0023,46.0,10304.0,-1.515454e-14,0.0,0.0,0.0,-1.515454e-14
4480000.0,20000.0,0.0023,46.0,10350.0,-2.131628e-14,0.0,0.0,0.0,-2.131628e-14
4500000.0,20000.0,0.0023,46.0,10396.0,-2.997602e-14,0.0,0.0,0.0,-2.997602e-14
4520000.0,20000.0,0.0023,46.0,10442.0,-4.196643e-14,0.0,0.0,0.0,-4.196643e-14
4540000.0,20000.0,0.0023,46.0,10488.0,-5.850875e-14,0.0,0.0,0.0,-5.850875e-14
4560000.0,20000.0,0.0023,46.0,10534.0,-8.132384e-14,0.0,0.0,0.0,-8.132384e-14
4580000.0,20000.0,0.0023,46.0,10580.0,-1.1268764e-13,0.0,0.0,0.0,-1.1268764e-13
4600000.0,20000.0,0.0023,46.0,10626.0,-1.5565327e-13,0.0,0.0,0.0,-1.5565327e-13
4620000.0,20000.0,0.0023,46.0,10672.0,-2.1427304e-13,0.0,0.0,0.0,-2.1427304e-13
4640000.0,20000.0,0.0023,46.0,10718.0,-2.9409808e-13,0.0,0.0,0.0,-2.9409808e-13
4660000.0,20000.0,0.0023,46.0,10764.0,-4.0228931e-13,0.0,0.0,0.0,-4.0228931e-13
4680000.0,20000.0,0.0023,46.0,10810.0,-5.4861671e-13,0.0,0.0,0.0,-5.4861671e-13
4700000.0,20000.0,0.0023,46.0,10856.0,-7.4579232e-13,0.0,0.0,0.0,-7.4579232e-13
4720000.0,20000.0,0.0023,46.0,10902.0,-1.01080255e-12,0.0,0.0,0.0,-1.01080255e-12
4740000.0,20000.0,0.0023,46.0,10948.0,-1.36585188e-12,0.0,0.0,0.0,-1.36585188e-12
4760000.0,20000.0,0.0023,46.0,10994.0,-1.84008364e-12,0.0,0.0,0.0,-1.84008364e-12
4780000.0,20000.0,0.0023,46.0,11040.0,-2.47163401e-12,0.0,0.0,0.0,-2.47163401e-12
4800000.0,20000.0,0.0023,46.0,11086.0,-3.31024097e-12,0.0,0.0,0.0,-3.31024097e-12
4820000.0,20000.0,0.0023,46.0,11132.0,-4.42057502e-12,0.0,0.0,0.0,-4.42057502e-12
4840000.0,20000.0,0.0023,46.0,11178.0,-5.88645799e-12,0.0,0.0,0.0,-5.88645799e-12
4860000.0,20000.0,0.0023,46.0,11224.0,-7.81624765e-12,0.0,0.0,0.0,-7.81624765e-12
4880000.0,20000.0,0.0023,46.0,11270.0,-1.034961006e-11,0.0,0.0,0.0,-1.034961006e-11
4900000.0,20000.0,0.0023,46.0,11316.0,-1.36661793e-11,0.0,0.0,0.0,-1.36661793e-11
4920000.0,20000.0,0.0023,46.0,11362.0,-1.799610461e-11,0.0,0.0,0.0,-1.799610461e-11
4940000.0,20000.0,0.0023,46.0,11408.0,-2.363365059e-11,0.0,0.0,0.0,-2.363365059e-11
4960000.0,20000.0,0.0023,46.0,11454.0,-3.095396162e-11,0.0,0.0,0.0,-3.095396162e-11
4980000.0,20000.0,0.0023,46.0,11500.0,-4.0434045e-11,0.0,0.0,0.0,-4.0434045e-11
5000000.0,20000.0,0.0023,46.0,11546.0,-5.267886127e-11,0.0,0.0,0.0,-5.267886127e-11
5020000.0,20000.0,0.0023,46.0,11592.0,-6.84533541e-11,0.0,0.0,0.0,-6.84533541e-11
5040000.0,20000.0,0.0023,46.0,11638.0,-8.872275137e-11,0.0,0.0,0.0,-8.872275137e-11
5060000.0,20000.0,0.0023,46.0,11684.0,-1.147012485e-10,0.0,0.0,0.0,-1.147012485e-10
5080000.0,20000.0,0.0023,46.0,11730.0,-1.4791284864e-10,0.0,0.0,0.0,-1.4791284864e-10
5100000.0,20000.0,0.0023,46.0,11776.0,-1.90265248e-10,0.0,0.0,0.0,-1.90265248e-10
5120000.0,20000.0,0.0023,46.0,11822.0,-2.4414065214e-10,0.0,0.0,0.0,-2.4414065214e-10
5140000.0,20000.0,0.0023,46.0,11868.0,-3.1250629862e-10,0.0,0.0,0.0,-3.1250629862e-10
5160000.0,20000.0,0.0023,46.0,11914.0,-3.9904896054e-10,0.0,0.0,0.0,-3.9904896054e-10
5180000.0,20000.0,0.0023,46.0,11960.0,-5.0833875997e-10,0.0,0.0,0.0,-5.0833875997e-10
5200000.0,20000.0,0.0023,46.0,12006.0,-6.4602662109e-10,0.0,0.0,0.0,-6.4602662109e-10
5220000.0,20000.0,0.0023,46.0,12052.0,-8.1908346772e-10,0.0,0.0,0.0,-8.1908346772e-10
5240000.0,20000.0,0.0023,46.0,12098.0,-1.03608827073e-09,0.0,0.0,0.0,-1.03608827073e-09
5260000.0,20000.0,0.0023,46.0,12144.0,-1.30757432659e-09,0.0,0.0,0.0,-1.30757432659e-09
5280000.0,20000.0,0.0023,46.0,12190.0,-1.64644436973e-09,0.0,0.0,0.0,-1.64644436973e-09
5300000.0,20000.0,0.0023,46.0,12236.0,-2.06846739736e-09,0.0,0.0,0.0,-2.06846739736e-09
5320000.0,20000.0,0.0023,46.0,12282.0,-2.59287169513e-09,0.0,0.0,0.0,-2.59287169513e-09
5340000.0,20000.0,0.0023,46.0,12328.0,-3.24305066135e-09,0.0,0.0,0.0,-3.24305066135e-09
5360000.0,20000.0,0.0023,46.0,12374.0,-4.0474018026e-09,0.0,0.0,0.0,-4.0474018026e-09
5380000.0,20000.0,0.0023,46.0,12420.0,-5.0403209384e-09,0.0,0.0,0.0,-5.0403209384e-09
5400000.0,20000.0,0.0023,46.0,12466.0,-6.26337809395e-09,0.0,0.0,0.0,-6.26337809395e-09
5420000.0,20000.0,0.0023,46.0,12512.0,-7.76670461278e-09,0.0,0.0,0.0,-7.76670461278e-09
5440000.0,20000.0,0.0023,46.0,12558.0,-9.61062690541e-09,0.0,0.0,0.0,-9.61062690541e-09
5460000.0,20000.0,0.0023,46.0,12604.0,-1.186758513683e-08,0.0,0.0,0.0,-1.186758513683e-08
5480000.0,20000.0,0.0023,46.0,12650.0,-1.462438181665e-08,0.0,0.0,0.0,-1.462438181665e-08
5500000.0,20000.0,0.0023,46.0,12696.0,-1.798481258364e-08,0.0,0.0,0.0,-1.798481258364e-08
5520000.0,20000.0,0.0023,46.0,12742.0,-2.20727353617e-08,0.0,0.0,0.0,-2.20727353617e-08
5540000.0,20000.0,0.0023,46.0,12788.0,-2.703564477846e-08,0.0,0.0,0.0,-2.703564477846e-08
5560000.0,20000.0,0.0023,46.0,12834.0,-3.304882578714e-08,0.0,0.0,0.0,-3.304882578714e-08
5580000.0,20000.0,0.0023,46.0,12880.0,-4.03201696475e-08,0.0,0.0,0.0,-4.03201696475e-08
5600000.0,20000.0,0.0023,46.0,12926.0,-4.909574669032e-08,0.0,0.0,0.0,-4.909574669032e-08
5620000.0,20000.0,0.0023,46.0,12972.0,-5.966624083698e-08,0.0,0.0,0.0,-5.966624083698e-08
5640000.0,20000.0,0.0023,46.0,13018.0,-7.237436400187e-08,0.0,0.0,0.0,-7.237436400187e-08
5660000.0,20000.0,0.0023,46.0,13064.0,-8.762338205015e-08,0.0,0.0,0.0,-8.762338205015e-08
5680000.0,20000.0,0.0023,46.0,13110.0,-1.0588689841606e-07,0.0,0.0,0.0,-1.0588689841606e-07
5700000.0,20000.0,0.0023,46.0,13156.0,-1.2772005869577e-07,0.0,0.0,0.0,-1.2772005869577e-07
5720000.0,20000.0,0.0023,46.0,13202.0,-1.5377235590419e-07,0.0,0.0,0.0,-1.5377235590419e-07
