Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,C,X,Z
15020000.0,20000.0,0.0023,46.0,34592.0,0.9999968158441386,0.63444553651849,0.16541446008540706,0.10494646587680241,0.9999971500100431
15040000.0,20000.0,0.0023,46.0,34638.0,0.9999970095901853,0.6349350514513026,0.1721080823210917,0.10927745410372738,0.9999973363745568
15060000.0,20000.0,0.0023,46.0,34684.0,0.999997191789344,0.6354239108733952,0.17896287843266778,0.11371729211484576,0.9999975111314556
15080000.0,20000.0,0.0023,46.0,34730.0,0.9999973631135926,0.6359121156625644,0.18597756764816992,0.11826538850892541,0.999997674965988
15100000.0,20000.0,0.0023,46.0,34776.0,0.9999975241968728,0.6363996666954308,0.19315062210072376,0.12292099152691571,0.9999978285250479
15120000.0,20000.0,0.0023,46.0,34822.0,0.9999976756371739,0.6368865648474409,0.2004802658413246,0.12768318783138297,0.9999979724192292
15140000.0,20000.0,0.0023,46.0,34868.0,0.9999978179985053,0.6373728109928691,0.20796447452578404,0.1325509017151539,0.999998107224771
15160000.0,20000.0,0.0023,46.0,34914.0,0.9999979518127668,0.6378584060048196,0.21560097578505383,0.13752289474733814,0.9999982334854043
15180000.0,20000.0,0.0023,46.0,34960.0,0.9999980775815192,0.6383433507552264,0.2233872502854785,0.14259776586322875,0.9999983517140996
15200000.0,20000.0,0.0023,46.0,35006.0,0.99999819577766,0.6388276461148568,0.2313205334827343,0.14777395190280807,0.9999984623947255
15220000.0,20000.0,0.0023,46.0,35052.0,0.9999983068470124,0.6393112929533113,0.23939781807020483,0.15304972860066426,0.9999985659836178
15240000.0,20000.0,0.0023,46.0,35098.0,0.9999984112098267,0.6397942921390267,0.24761585712000922,0.1584232120284947,0.9999986629110692
15260000.0,20000.0,0.0023,46.0,35144.0,0.9999985092622035,0.6402766445392762,0.25597116791159924,0.16389236048923841,0.9999987535827398
15280000.0,20000.0,0.0023,46.0,35190.0,0.9999986013774399,0.6407583510201721,0.2644600364404507,0.1694549768603178,0.9999988383809936
15300000.0,20000.0,0.0023,46.0,35236.0,0.9999986879073031,0.6412394124466665,0.27307852259624277,0.17510871138141845,0.9999989176661644
15320000.0,20000.0,0.0023,46.0,35282.0,0.9999987691832357,0.6417198296825535,0.28182246599708666,0.18085106488036767,0.9999989917777582
15340000.0,20000.0,0.0023,46.0,35328.0,0.9999988455174962,0.6421996035904705,0.2906874924640687,0.1866793924291328,0.9999990610355884
15360000.0,20000.0,0.0023,46.0,35374.0,0.9999989172042372,0.6426787350318994,0.29966902111711385,0.19259090741979426,0.9999991257408556
15380000.0,20000.0,0.0023,46.0,35420.0,0.9999989845205246,0.6431572248671691,0.3087622720710615,0.19858268604890575,0.9999991861771663
15400000.0,20000.0,0.0023,46.0,35466.0,0.9999990477273035,0.6436350739554557,0.31796227470816896,0.20465167219683725,0.9999992426115031
15420000.0,20000.0,0.0023,46.0,35512.0,0.9999991070703087,0.6441122831547854,0.32726387650094,0.21079468268710622,0.9999992952951396
15440000.0,20000.0,0.0023,46.0,35558.0,0.999999162780927,0.6445888533220352,0.3366617523570077,0.21700841290919054,0.9999993444645093
15460000.0,20000.0,0.0023,46.0,35604.0,0.9999992150770123,0.6450647853129343,0.34615041445552286,0.2232894427867351,0.9999993903420288
15480000.0,20000.0,0.0023,46.0,35650.0,0.9999992641636548,0.6455400799820669,0.355724222542697,0.22963424307177116,0.9999994331368771
15500000.0,20000.0,0.0023,46.0,35696.0,0.9999993102339098,0.6460147381828716,0.36537739465246644,0.23603918194435286,0.9999994730457336
15520000.0,20000.0,0.0023,46.0,35742.0,0.9999993534694835,0.6464887607676453,0.37510401821618017,0.24250053189554255,0.9999995102534778
15540000.0,20000.0,0.0023,46.0,35788.0,0.9999993940413838,0.6469621485875426,0.38489806152434924,0.24901447687097317,0.9999995449338517
15560000.0,20000.0,0.0023,46.0,35834.0,0.9999994321105332,0.6474349024925793,0.3947533855017254,0.25557711965092517,0.9999995772500874
15580000.0,20000.0,0.0023,46.0,35880.0,0.9999994678283479,0.647907023331632,0.4046637557561866,0.2621844894421894,0.9999996073555008
15600000.0,20000.0,0.0023,46.0,35926.0,0.9999995013372851,0.6483785119524412,0.4146228548607279,0.2688325496560718,0.999999635394054
15620000.0,20000.0,0.0023,46.0,35972.0,0.99999953277136,0.6488493692016122,0.42462429482768066,0.27551720584662,0.9999996615008894
15640000.0,20000.0,0.0023,46.0,36018.0,0.9999995622566322,0.649319595924616,0.43466162973299516,0.28223431378216346,0.9999996858028312
15660000.0,20000.0,0.0023,46.0,36064.0,0.9999995899116677,0.649789192965792,0.4447283684488011,0.28897968762333986,0.9999997084188658
