Time (s),A,B,C,X,Z
13180000.0,0.9999000891290347,6.658283518070064e-08,6.658283523971032e-08,6.658283523969046e-08,1.0
13200000.0,0.9998877529740924,7.095944358136826e-08,7.095944372659078e-08,7.09594437266011e-08,1.0
13220000.0,0.9998740246008986,7.553506223062045e-08,7.553506222019211e-08,7.553506222016906e-08,1.0
13240000.0,0.9998587632818647,8.031189955499006e-08,8.031189970522174e-08,8.031189970526949e-08,1.0
13260000.0,0.9998418159714089,8.529165931378689e-08,8.529165951982371e-08,8.529165951986028e-08,1.0
13280000.0,0.9998230164326067,9.047550581854032e-08,9.047550588140022e-08,9.047550588140385e-08,1.0
13300000.0,0.9998021843222572,9.586403166486684e-08,9.586403159362022e-08,9.586403159364731e-08,1.0
13320000.0,0.9997791242342947,1.0145722727339186e-07,1.0145722718943019e-07,1.0145722718945764e-07,1.0
13340000.0,0.9997536247017184,1.0725445185930027e-07,1.0725445176771921e-07,1.0725445176776224e-07,1.0
13360000.0,0.9997254571574198,1.1325440571000322e-07,1.1325440577843293e-07,1.1325440577845696e-07,1.0
13380000.0,0.9996943748545477,1.1945510608218217e-07,1.1945510600781432e-07,1.1945510600784198e-07,1.0
13400000.0,0.9996601117473212,1.2585386305745357e-07,1.2585386300795037e-07,1.2585386300785196e-07,1.0
13420000.0,0.9996223813334769,1.3244726122018229e-07,1.3244726120763685e-07,1.324472612075865e-07,1.0
13440000.0,0.9995808754598509,1.3923114192140582e-07,1.3923114193069258e-07,1.3923114193076845e-07,1.0
13460000.0,0.9995352630929131,1.4620058956508214e-07,1.462005895336891e-07,1.4620058953356394e-07,1.0
13480000.0,0.9994851890564024,1.5334992082029533e-07,1.5334992085920778e-07,1.533499208592575e-07,1.0
13500000.0,0.9994302727385777,1.6067267816692083e-07,1.6067267819092495e-07,1.6067267819092027e-07,1.0
13520000.0,0.9993701067719468,1.6816162588388794e-07,1.6816162586261503e-07,1.6816162586283062e-07,1.0
13540000.0,0.999304255688733,1.758087506812188e-07,1.758087506709101e-07,1.7580875067092718e-07,1.0
13560000.0,0.9992322545557178,1.8360526627610274e-07,1.8360526619999842e-07,1.8360526619985554e-07,1.0
13580000.0,0.9991536075924992,1.915416212079439e-07,1.915416211582224e-07,1.9154162115835584e-07,1.0
13600000.0,0.9990677867776151,1.9960751177164357e-07,1.9960751179288125e-07,1.9960751179313224e-07,1.0
13620000.0,0.9989742304473918,2.0779189850557103e-07,2.077918984165083e-07,2.0779189841648762e-07,1.0
13640000.0,0.9988723418927892,2.1608302605610792e-07,2.1608302606675067e-07,2.1608302606665335e-07,1.0
