Time (s),A,B,C,X,Z
6760000.0,0.9997234059898668,0.0,0.3641302627737332,0.9997234059898668,0.9997234059898668
6780000.0,0.9996916142960934,0.0,0.3649697806181099,0.9996916142960937,0.9996916142960934
6800000.0,0.9996565576586268,0.0,0.3658069099103978,0.9996565576586268,0.9996565576586268
6820000.0,0.999617945118529,0.0,0.36664153725040427,0.999617945118529,0.999617945118529
6840000.0,0.9995754643840218,0.0,0.3674735404285213,0.9995754643840218,0.9995754643840218
6860000.0,0.9995287806961134,0.0,0.368302787920668,0.9995287806961133,0.9995287806961134
6880000.0,0.9994775356703746,0.0,0.3691291383690236,0.9994775356703746,0.9994775356703746
6900000.0,0.999421346117459,0.0,0.36995244004939565,0.999421346117459,0.999421346117459
6920000.0,0.999359802845242,0.0,0.37077253032618984,0.999359802845242,0.999359802845242
6940000.0,0.9992924694457345,0.0,0.37158923509607494,0.9992924694457344,0.9992924694457345
6960000.0,0.9992188810702198,0.0,0.3724023682215639,0.9992188810702198,0.9992188810702198
6980000.0,0.9991385431963401,0.0,0.373211730955863,0.9991385431963401,0.9991385431963401
7000000.0,0.9990509303911472,0.0,0.3740171113604701,0.9990509303911472,0.9990509303911472
7020000.0,0.9989554850744158,0.0,0.374818283717141,0.9989554850744158,0.9989554850744158
7040000.0,0.998851616286784,0.0,0.3756150079359666,0.9988516162867842,0.998851616286784
7060000.0,0.9987386984675631,0.0,0.3764070289614464,0.9987386984675631,0.9987386984675631
7080000.0,0.9986160702473124,0.0,0.37719407617856054,0.9986160702473124,0.9986160702473124
7100000.0,0.9984830332605191,0.0,0.37797586282097967,0.9984830332605191,0.9984830332605191
7120000.0,0.998338850983967,0.0,0.37875208538367383,0.998338850983967,0.998338850983967
7140000.0,0.9981827476065848,0.0,0.3795224230422952,0.9981827476065848,0.9981827476065848
7160000.0,0.9980139069367726,0.0,0.3802865370818321,0.9980139069367726,0.9980139069367726
7180000.0,0.9978314713533873,0.0,0.3810440703371319,0.9978314713533873,0.9978314713533873
7200000.0,0.9976345408067213,0.0,0.38179464664799945,0.9976345408067213,0.9976345408067213
7220000.0,0.9974221718759534,0.0,0.38253787033166126,0.9974221718759534,0.9974221718759534
7240000.0,0.997193376889657,0.0,0.3832733256754776,0.997193376889657,0.997193376889657
7260000.0,0.996947123116037,0.0,0.38400057645285546,0.996947123116037,0.996947123116037
7280000.0,0.9966823320296199,0.0,0.3847191654653767,0.9966823320296199,0.9966823320296199
