Time (s),Altitude (km),L-shell,Dose Rate (rad/s),Total Dose (rad)
4200000.0,35786.0,6.75,0.0023,9706.0
4220000.0,35786.0,6.75,0.0023,9752.0
4240000.0,35786.0,6.75,0.0023,9798.0
4260000.0,35786.0,6.75,0.0023,9844.0
4280000.0,35786.0,6.75,0.0023,9890.0
4300000.0,35786.0,6.75,0.0023,9936.0
4320000.0,35786.0,6.75,0.0023,9982.0
4340000.0,35786.0,6.75,0.0023,10028.0
4360000.0,35786.0,6.75,0.0023,10074.0
4380000.0,35786.0,6.75,0.0023,10120.0
4400000.0,35786.0,6.75,0.0023,10166.0
4420000.0,35786.0,6.75,0.0023,10212.0
4440000.0,35786.0,6.75,0.0023,10258.0
4460000.0,35786.0,6.75,0.0023,10304.0
4480000.0,35786.0,6.75,0.0023,10350.0
4500000.0,35786.0,6.75,0.0023,10396.0
4520000.0,35786.0,6.75,0.0023,10442.0
4540000.0,35786.0,6.75,0.0023,10488.0
4560000.0,35786.0,6.75,0.0023,10534.0
4580000.0,35786.0,6.75,0.0023,10580.0
4600000.0,35786.0,6.75,0.0023,10626.0
4620000.0,35786.0,6.75,0.0023,10672.0
4640000.0,35786.0,6.75,0.0023,10718.0
4660000.0,35786.0,6.75,0.0023,10764.0
4680000.0,35786.0,6.75,0.0023,10810.0
4700000.0,35786.0,6.75,0.0023,10856.0
4720000.0,35786.0,6.75,0.0023,10902.0
4740000.0,35786.0,6.75,0.0023,10948.0
4760000.0,35786.0,6.75,0.0023,10994.0
4780000.0,35786.0,6.75,0.0023,11040.0
4800000.0,35786.0,6.75,0.0023,11086.0
4820000.0,35786.0,6.75,0.0023,11132.0
4840000.0,35786.0,6.75,0.0023,11178.0
4860000.0,35786.0,6.75,0.0023,11224.0
4880000.0,35786.0,6.75,0.0023,11270.0
4900000.0,35786.0,6.75,0.0023,11316.0
4920000.0,35786.0,6.75,0.0023,11362.0
4940000.0,35786.0,6.75,0.0023,11408.0
4960000.0,35786.0,6.75,0.0023,11454.0
4980000.0,35786.0,6.75,0.0023,11500.0
5000000.0,35786.0,6.75,0.0023,11546.0
5020000.0,35786.0,6.75,0.0023,11592.0
5040000.0,35786.0,6.75,0.0023,11638.0
5060000.0,35786.0,6.75,0.0023,11684.0
5080000.0,35786.0,6.75,0.0023,11730.0
5100000.0,35786.0,6.75,0.0023,11776.0
5120000.0,35786.0,6.75,0.0023,11822.0
5140000.0,35786.0,6.75,0.0023,11868.0
5160000.0,35786.0,6.75,0.0023,11914.0
5180000.0,35786.0,6.75,0.0023,11960.0
5200000.0,35786.0,6.75,0.0023,12006.0
5220000.0,35786.0,6.75,0.0023,12052.0
5240000.0,35786.0,6.75,0.0023,12098.0
5260000.0,35786.0,6.75,0.0023,12144.0
5280000.0,35786.0,6.75,0.0023,12190.0
5300000.0,35786.0,6.75,0.0023,12236.0
5320000.0,35786.0,6.75,0.0023,12282.0
5340000.0,35786.0,6.75,0.0023,12328.0
5360000.0,35786.0,6.75,0.0023,12374.0
5380000.0,35786.0,6.75,0.0023,12420.0
5400000.0,35786.0,6.75,0.0023,12466.0
5420000.0,35786.0,6.75,0.0023,12512.0
5440000.0,35786.0,6.75,0.0023,12558.0
5460000.0,35786.0,6.75,0.0023,12604.0
5480000.0,35786.0,6.75,0.0023,12650.0
5500000.0,35786.0,6.75,0.0023,12696.0
5520000.0,35786.0,6.75,0.0023,12742.0
5540000.0,35786.0,6.75,0.0023,12788.0
5560000.0,35786.0,6.75,0.0023,12834.0
5580000.0,35786.0,6.75,0.0023,12880.0
5600000.0,35786.0,6.75,0.0023,12926.0
5620000.0,35786.0,6.75,0.0023,12972.0
5640000.0,35786.0,6.75,0.0023,13018.0
5660000.0,35786.0,6.75,0.0023,13064.0
5680000.0,35786.0,6.75,0.0023,13110.0
5700000.0,35786.0,6.75,0.0023,13156.0
5720000.0,35786.0,6.75,0.0023,13202.0
5740000.0,35786.0,6.75,0.0023,13248.0
5760000.0,35786.0,6.75,0.0023,13294.0
5780000.0,35786.0,6.75,0.0023,13340.0
5800000.0,35786.0,6.75,0.0023,13386.0
5820000.0,35786.0,6.75,0.0023,13432.0
5840000.0,35786.0,6.75,0.0023,13478.0
5860000.0,35786.0,6.75,0.0023,13524.0
5880000.0,35786.0,6.75,0.0023,13570.0
5900000.0,35786.0,6.75,0.0023,13616.0
5920000.0,35786.0,6.75,0.0023,13662.0
5940000.0,35786.0,6.75,0.0023,13708.0
5960000.0,35786.0,6.75,0.0023,13754.0
5980000.0,35786.0,6.75,0.0023,13800.0
6000000.0,35786.0,6.75,0.0023,13846.0
6020000.0,35786.0,6.75,0.0023,13892.0
6040000.0,35786.0,6.75,0.0023,13938.0
6060000.0,35786.0,6.75,0.0023,13984.0
6080000.0,35786.0,6.75,0.0023,14030.0
6100000.0,35786.0,6.75,0.0023,14076.0
6120000.0,35786.0,6.75,0.0023,14122.0
6140000.0,35786.0,6.75,0.0023,14168.0
6160000.0,35786.0,6.75,0.0023,14214.0
6180000.0,35786.0,6.75,0.0023,14260.0
6200000.0,35786.0,6.75,0.0023,14306.0
6220000.0,35786.0,6.75,0.0023,14352.0
6240000.0,35786.0,6.75,0.0023,14398.0
6260000.0,35786.0,6.75,0.0023,14444.0
6280000.0,35786.0,6.75,0.0023,14490.0
6300000.0,35786.0,6.75,0.0023,14536.0
6320000.0,35786.0,6.75,0.0023,14582.0
6340000.0,35786.0,6.75,0.0023,14628.0
6360000.0,35786.0,6.75,0.0023,14674.0
6380000.0,35786.0,6.75,0.0023,14720.0
6400000.0,35786.0,6.75,0.0023,14766.0
6420000.0,35786.0,6.75,0.0023,14812.0
6440000.0,35786.0,6.75,0.0023,14858.0
6460000.0,35786.0,6.75,0.0023,14904.0
6480000.0,35786.0,6.75,0.0023,14950.0
6500000.0,35786.0,6.75,0.0023,14996.0
6520000.0,35786.0,6.75,0.0023,15042.0
6540000.0,35786.0,6.75,0.0023,15088.0
6560000.0,35786.0,6.75,0.0023,15134.0
6580000.0,35786.0,6.75,0.0023,15180.0
6600000.0,35786.0,6.75,0.0023,15226.0
6620000.0,35786.0,6.75,0.0023,15272.0
