Time (s),A,B,Z
9260000.0,-0.20243992461057697,-0.28824203546948,-0.6647213762396347
9280000.0,-0.20657261280709094,-0.2848940606485466,-0.6695741247428153
9300000.0,-0.21071218182092127,-0.2815178559951433,-0.6744327898286826
9320000.0,-0.21485657694183713,-0.27811511061188426,-0.6792953180782153
9340000.0,-0.21900374495065944,-0.2746875326667498,-0.6841596575617142
9360000.0,-0.22315163696378992,-0.27123684696191047,-0.689023760683334
9380000.0,-0.22729821124005112,-0.26776479249278984,-0.6938855869879266
9400000.0,-0.23144143594384292,-0.26427312000307107,-0.6987431059241982
9420000.0,-0.23557929185886461,-0.26076358954129014,-0.7035942995584352
9440000.0,-0.23970977504688568,-0.25723796802454946,-0.7084371652332766
9460000.0,-0.24383089944634884,-0.2536980268147515,-0.713269718166319
9480000.0,-0.24794069940575109,-0.25014553931270544,-0.718089993983501
9500000.0,-0.25203723214714274,-0.24658227857522602,-0.7228960511826032
9520000.0,-0.2561185801552569,-0.24301001496028357,-0.7276859735223813
9540000.0,-0.2601828534881528,-0.23943051380503422,-0.7324578723332107
9560000.0,-0.26422819200550207,-0.23584553314142231,-0.7372098887453755
9580000.0,-0.26825276751100696,-0.2322568214538171,-0.741940195831489
9600000.0,-0.27225478580565154,-0.22866611548302584,-0.746647000659747
9620000.0,-0.2762324886488759,-0.2250751380807524,-0.7513285462551047
9640000.0,-0.28018415562510346,-0.2214855961183313,-0.7559831134658055
9660000.0,-0.2841081059132008,-0.21789917845348084,-0.7606090227328439
9680000.0,-0.28800269995694994,-0.21431755395844,-0.7652046357604397
9700000.0,-0.29186634103483866,-0.21074236961267367,-0.7697683570858307
9720000.0,-0.29569747672769303,-0.20717524866318926,-0.7742986355469068
9740000.0,-0.2994946002832011,-0.2036177888550602,-0.7787939656467375
9760000.0,-0.3032562518764038,-0.2000715607347524,-0.7832528888140634
9780000.0,-0.30698101976572856,-0.1965381060284187,-0.7876739945593328
9800000.0,-0.31066754134435626,-0.19301893609714804,-0.7920559215260713
9820000.0,-0.31431450408691664,-0.1895155304709737,-0.7963973584375785
9840000.0,-0.3179206463919305,-0.18602933546306488,-0.8006970449393733
9860000.0,-0.32148475832052514,-0.18256176286542214,-0.8049537723379112
9880000.0,-0.3250056822322899,-0.17911418872708407,-0.8091663842364419
9900000.0,-0.32848231331935573,-0.17568795221562494,-0.8133337770690916
9920000.0,-0.33191360004002723,-0.1722843545624987,-0.817454900534497
9940000.0,-0.335298544453472,-0.1689046580925866,-0.8215287579304965
9960000.0,-0.3386362024572309,-0.16555008533804083,-0.8255544063916435
9980000.0,-0.3419256839295056,-0.16222181823630966,-0.8295309570314953
10000000.0,-0.3451661527783036,-0.15892099741207355,-0.8334575749917612
10020000.0,-0.34835682689978836,-0.15564872154254383,-0.837333479400654
10040000.0,-0.35149697804828073,-0.1524060468054187,-0.8411579432428944
10060000.0,-0.3545859316204959,-0.149193986408645,-0.8449302931439496
10080000.0,-0.35762306635679353,-0.1460135102008725,-0.8486499090712859
10100000.0,-0.3606078139622914,-0.1428655443613911,-0.8523162239554845
10120000.0,-0.3635396586508433,-0.1397509711681275,-0.8559287232342215
10140000.0,-0.36641813661492506,-0.1366706288421906,-0.8594869443221563
10160000.0,-0.36924283542462993,-0.1336253114672361,-0.8629904760099291
10180000.0,-0.3720133933589939,-0.13061576898185012,-0.8664389577954885
10200000.0,-0.3747294986729611,-0.12764270724299842,-0.8698320791510588
10220000.0,-0.3773908888033428,-0.12470678815847691,-0.8731695787291014
10240000.0,-0.37999734951716124,-0.12180862988620833,-0.8764512435106608
10260000.0,-0.38254871400582,-0.11894880709810185,-0.8796769078995375
10280000.0,-0.3850448619285071,-0.11612785130617598,-0.8828464527656922
10300000.0,-0.3874857184083164,-0.11334625124847497,-0.8859598044413708
10320000.0,-0.3898712529845151,-0.11060445333232183,-0.8890169336733728
10340000.0,-0.3922014785244,-0.10790286213235734,-0.8920178545349108
10360000.0,-0.39447645009815335,-0.10524184094077327,-0.8949626233004676
10380000.0,-0.3966962638200838,-0.10262171236710727,-0.8978513372870399
10400000.0,-0.39886105565962116,-0.10004275898492487,-0.9006841336651349
10420000.0,-0.4009710002253132,-0.09750522402274708,-0.9034611882427696
10440000.0,-0.4030263095251365,-0.09500931209646879,-0.9061827142257836
10460000.0,-0.4050272317062762,-0.09255518998060186,-0.9088489609576207
10480000.0,-0.4069740497774921,-0.09014298741563032,-0.9114602126416977
10500000.0,-0.4088670803171438,-0.08777279794877613,-0.9140167870494316
10520000.0,-0.41070667216983126,-0.08544467980550374,-0.9165190342168815
10540000.0,-0.41249320513453724,-0.08315865678911438,-0.9189673351328945
10560000.0,-0.4142270886470948,-0.08091471920577398,-0.9213621004215743
10580000.0,-0.41590876045966507,-0.07871282481241981,-0.9237037690217617
10600000.0,-0.4175386853198576,-0.07655289978495894,-0.9259928068661563
10620000.0,-0.4191173536520063,-0.07443483970427212,-0.9282297055625957
10640000.0,-0.4206452802430165,-0.07235851055755338,-0.9304149810799037
10660000.0,-0.4221230029350942,-0.07032374975259181,-0.9325491724406224
10680000.0,-0.42355108132758246,-0.06833036714263363,-0.9346328404228501
10700000.0,-0.4249300954899705,-0.06637814605957837,-0.9366665662732528
10720000.0,-0.42626064468811853,-0.06446684435324956,-0.9386509504332913
10740000.0,-0.4275433461255367,-0.06259619543463713,-0.9405866112805018
10760000.0,-0.428778833701533,-0.06076590932100301,-0.9424741838866466
10780000.0,-0.4299677567878677,-0.058975673680888296,-0.9443143187943699
10800000.0,-0.43111077902550754,-0.05722515487705471,-0.9461076808139547
10820000.0,-0.4322085771428894,-0.055513999005575965,-0.947854947841588
10840000.0,-0.43326183979708444,-0.05384183292925604,-0.9495568097005276
10860000.0,-0.434271266439064,-0.05220826530374545,-0.9512139670063695
10880000.0,-0.4352375662042296,-0.050612887594714384,-0.952827130057581
10900000.0,-0.43616145682921414,-0.04905527508461072,-0.9543970177523027
10920000.0,-0.43704366359592195,-0.047534987867517864,-0.9559243565323913
10940000.0,-0.437884918303596,-0.046051571830820315,-0.9574098793554893
10960000.0,-0.4386859582696879,-0.04460455962236487,-0.9588543246958959
10980000.0,-0.4394475253601554,-0.04319347160195941,-0.960258435574868
11000000.0,-0.4401703650497406,-0.04181781677610097,-0.9616229586208995
11020000.0,-0.44085522551269907,-0.040477093714912704,-0.9629486431604526
11040000.0,-0.44150285674435286,-0.0391707914503544,-0.9642362403395134
11060000.0,-0.442114009713761,-0.03789839035484299,-0.965486502276264
11080000.0,-0.4426894355477341,-0.03665936299950279,-0.9667001812450989
11100000.0,-0.4432298847463191,-0.0354531749913406,-0.9678780288921129
11120000.0,-0.44373610642983785,-0.0342792857887082,-0.9690207954821407
11140000.0,-0.44420884761745694,-0.03313714949450153,-0.9701292291773288
11160000.0,-0.4446488525372395,-0.03202621562660546,-0.9712040753471902
11180000.0,-0.4450568619675329,-0.030945929865163202,-0.9722460759099932
11200000.0,-0.44543361260950187,-0.029895734776323568,-0.9732559687052974
11220000.0,-0.4457798364905675,-0.028875070512172862,-0.9742344868973941
11240000.0,-0.44609626039844297,-0.027883375486623563,-0.9751823584093441
11260000.0,-0.44638360534541033,-0.026920087027110684,-0.9761003053872569
11280000.0,-0.44664258606245044,-0.02598464200196282,-0.976989043694423
11300000.0,-0.44687391052278314,-0.025076477423414567,-0.9778492824348545
11320000.0,-0.44707827949432155,-0.024195031026254865,-0.9786817235057437
11340000.0,-0.4472563861205471,-0.023339741822149596,-0.9794870611783381
11360000.0,-0.44740891552923,-0.022510050629755862,-0.9802659817066645
11380000.0,-0.4475365444684237,-0.02170540058075332,-0.9810191629635242
11400000.0,-0.44763994096912296,-0.020925237601981284,-0.9817472741031537
11420000.0,-0.4477197640339423,-0.020169010873911875,-0.9824509752499055
11440000.0,-0.4477766633511596,-0.019436173265719114,-0.9831309172122934
11460000.0,-0.44781127903345264,-0.018726181747236503,-0.9837877412217301
11480000.0,-0.44782424138062105,-0.018038497778138818,-0.9844220786952531
11500000.0,-0.4478161706655951,-0.017372587674710283,-0.985034551021534
11520000.0,-0.4477876769430067,-0.016727922954579366,-0.9856257693694519
11540000.0,-0.4477393598795846,-0.016103980659844197,-0.9861963345184905
