Energy (MeV),Unshielded,0.100 mm,0.370 mm,0.500 mm
4.0,1.0,0.7198166072338258,0.4369332654100866,0.37137035150280184
4.5,1.0,0.7452884066247858,0.47041690462592806,0.4028555111364934
5.0,1.0,0.7726984126984127,0.5034285714285714,0.4346031746031746
5.5,1.0,0.7924263674614306,0.532468443197756,0.4636044880785414
6.3,1.0,0.8250610252237591,0.5763222131814484,0.5078112286411717
7.1,1.0,0.8508379888268156,0.618342644320298,0.5465549348230913
8.0,1.0,0.8760277629471436,0.6558462359850508,0.5859049652963161
9.0,1.0,0.8851293367659678,0.6857913448571779,0.6216746352825794
10.0,1.0,0.9065719855193539,0.7199944305207463,0.6527429685324422
11.0,1.0,0.9108600125549278,0.7401129943502824,0.6740426867545511
12.0,1.0,0.9273654590221597,0.759760816039395,0.6994372142103412
14.0,1.0,0.9319668556476232,0.7935019624945486,0.7383340601831662
16.0,1.0,0.9461620469083155,0.8150319829424307,0.7611940298507462
18.0,1.0,0.9486931268151017,0.8257502420135527,0.7831558567279767
20.0,1.0,0.9601547388781432,0.860348162475822,0.8177949709864604
22.0,1.0,0.9628950984883188,0.8689876316994961,0.8273018781493358
25.0,1.0,0.9704004643064422,0.893789901334881,0.8595473012188044
28.0,1.0,0.9718004338394793,0.8994938539407086,0.8669558929862617
32.0,1.0,0.9770992366412213,0.9194656488549618,0.8927480916030535
35.0,1.0,0.9781064399673925,0.9215092581809712,0.895539769418889
40.0,1.0,0.9829444891391794,0.9383748994368464,0.9176186645213193
45.0,1.0,0.9838251366120219,0.9418579234972677,0.9221857923497268
50.0,1.0,0.9865771812080537,0.951561132185585,0.935220309308433
55.0,1.0,0.9876543209876543,0.9544753086419753,0.939429012345679
63.0,1.0,0.9912126537785588,0.9666080843585237,0.9548916227299356
71.0,1.0,0.9933499584372403,0.9750623441396509,0.9659185369908562
80.0,1.0,0.9949156459440721,0.9812803327940837,0.9748093367229027
90.0,1.0,0.9956002514142049,0.9839723444374607,0.9783155248271528
100.0,1.0,0.9967273471057476,0.988136633258335,0.9838412763346288
110.0,1.0,0.99717659137577,0.9897330595482546,0.9861396303901437
120.0,1.0,0.9981226533166458,0.9921777221526908,0.9893617021276596
140.0,1.0,0.9982253771073647,0.9933451641526175,0.9911268855368234
160.0,1.0,0.9982121573301549,0.9946364719904648,0.9928486293206198
180.0,1.0,0.9992289899768697,0.9961449498843485,0.9946029298380878
200.0,1.0,0.9990272373540856,0.9970817120622568,0.995136186770428
220.0,1.0,0.9991560163973957,0.9967446346756692,0.9956595129008922
250.0,1.0,0.9991875203119922,0.9974000649983751,0.9964250893727656
280.0,1.0,0.9993614303959132,0.9976585781183482,0.9968071519795658
320.0,1.0,0.9997055359246172,0.9982332155477032,0.9976442873969376
350.0,1.0,0.9996338337605273,0.9981691688026364,0.9978030025631637
400.0,1.0,0.9994884910485934,0.9989769820971867,0.99846547314578
450.0,1.0,0.9993093922651933,0.9986187845303868,0.9979281767955801
500.0,1.0,1.0,0.9990909090909091,0.9981818181818182
550.0,1.0,0.9997655883731833,0.9989451476793249,0.9985935302390999
630.0,1.0,0.9996572995202193,0.9989718985606579,0.9988005483207677
710.0,1.0,0.9997568093385214,0.9992704280155642,0.9990272373540856
800.0,1.0,0.9996497373029772,0.9992994746059545,0.9989492119089317
900.0,1.0,1.0,0.9994929006085193,0.9994929006085193
1000.0,1.0,0.0,0.0,0.0
