Time (s),dose,REG_SET,MCU_SEFI,REG_DSEE,SRAM_SEL,MCU_SEL,DOSE (rad)
697225.0,,0.11738854211432233,0.04678099974584037,7.1938900680506066e-09,0.08581001799247404,0.01691398482888516,0.18875398551556682
697286.0,,0.10992762495950895,0.043793174922873775,6.24849507707411e-09,0.08037332233660485,0.015823456541279805,0.1807206791047992
697345.0,,0.10088241645954096,0.04017316694527531,5.2035047391052e-09,0.07377315875282503,0.014502710845181612,0.17032860077627493
697406.0,,0.09015471880992453,0.035883812174542666,4.161098189436385e-09,0.06593817933611147,0.012940090701446387,0.15693107893854139
697465.0,,0.077750354824934,0.030929753785263157,3.206224606259473e-09,0.056873818037687644,0.011139514999593867,0.13993007742468586
697526.0,,0.0640363626287958,0.025459051186995107,2.381148522464294e-09,0.046849248647656265,0.009156292174952365,0.1194276014449366
697585.0,,0.05019962203522624,0.01994553770943845,1.72081373524059e-09,0.03673269370834895,0.007162696469076552,0.09707764487403903
697646.0,,0.03709994262808202,0.014731187864659726,1.208706789452941e-09,0.027153134449837937,0.005281946878375523,0.0744168454147209
697706.0,,0.02576672630988534,0.010224434520231328,8.300447406634144e-10,0.01886355803014442,0.0036602646009458043,0.05357042945264672
697765.0,,0.016795903349455747,0.00666041152955172,5.603546119065106e-10,0.01230021262386218,0.0023806705291930263,0.03613723849888658
697826.0,,0.01025823974381639,0.004065313164219078,3.7312160525757175e-10,0.00751549805777119,0.001450896916799351,0.022792403963042628
697885.0,,0.005899644703246583,0.0023365870339717427,2.467979115890887e-10,0.0043243191561587475,0.0008327283891731844,0.013498189090985144
697946.0,,0.0032172141671972685,0.0012734638942372093,1.631607644003886e-10,0.002359440359215099,0.00045324435342679564,0.007554876845393133
698005.0,,0.0016764380176704857,0.0006632280681455724,1.0833620287869601e-10,0.0012302169122617105,0.00023576813383189554,0.004026267434068831
698066.0,,0.0008406620837164086,0.000332418227939533,7.24763456681992e-11,0.0006173142391942862,0.0001180424329704023,0.0020576312306340217
698125.0,,0.00042100226371592986,0.0001664036337077808,4.9750008329162496e-11,0.0003093636094848703,5.903617059343084e-05,0.0010459680145708204
698186.0,,0.00021327496965091393,8.42672002352388e-05,3.5111667709300876e-11,0.00015682926875265057,2.9873154831708584e-05,0.0005359600030481196
698246.0,,0.00011283365168371988,4.456817134701737e-05,2.575922070231848e-11,8.302615900225817e-05,1.5789947141803105e-05,0.0002858823863929351
698305.0,,6.343452905376116e-05,2.504980744347726e-05,1.970018876105718e-11,4.6705492972636766e-05,8.870575987066724e-06,0.00016162304510005955
698366.0,,3.835158055158155e-05,1.5141768092673015e-05,1.5715834834124333e-11,2.825277063421621e-05,5.35999919382447e-06,9.807006911080517e-05
698425.0,,2.615679935881407e-05,1.0325662272541409e-05,1.329786940218688e-11,1.9277172856427745e-05,3.654247561090556e-06,6.702308530492325e-05
698486.0,,2.015437041354886e-05,7.955435157180749e-06,1.1893711884896872e-11,1.485771809053983e-05,2.814987138740708e-06,5.16974186679723e-05
698545.0,,1.7760394274154547e-05,7.010180684696759e-06,1.1273989278846372e-11,1.3094711612065757e-05,2.48033648992366e-06,4.55758708317939e-05
698606.0,,1.783105529337368e-05,7.038080306198025e-06,1.1292882844035524e-11,1.31467523328224e-05,2.4902134137470083e-06,4.57566344195704e-05
698665.0,,2.0393398796558587e-05,8.049817308954424e-06,1.1953445770382537e-11,1.5033733963019302e-05,2.8484031196474463e-06,5.230833207980305e-05
698724.0,,0.00011283365168371988,4.4568171347016976e-05,2.5759221517404756e-11,8.302615900225682e-05,1.578994714180342e-05,0.0002858823863929351
698783.0,,0.0001415641796639708,5.592229949231371e-05,2.8716232805824013e-11,0.00010414203675415752,1.981669796890425e-05,0.0003577222061310842
698844.0,,0.00020338587446641144,8.035798634573094e-05,3.429208469044798e-11,0.0001495647958785971,2.8485920939045322e-05,0.0005114612269262411
698903.0,,0.00032534668237372237,0.00012857657080859173,4.349372656693422e-11,0.0002391360123926163,4.560209052009483e-05,0.0008121055915786386
698964.0,,0.0005733847053512644,0.00022667522637647328,5.868147326476298e-11,0.00042120731050761105,8.045057708392355e-05,0.0014157213070584965
699023.0,,0.0010805231132154235,0.0004273375688704639,8.360511738579023e-11,0.0007932537285056967,0.00015180492828921024,0.0026279011124398254
699084.0,,0.0021010392328833566,0.0008313537920438267,1.243919416638965e-10,0.001541471216296077,0.0002956511886597168,0.00500967045292202
699143.0,,0.004071007445038047,0.0016117622456727672,1.9078632378384144e-10,0.0029849544019546572,0.0005739298987563885,0.009469964590638234
699204.0,,0.007527072495588259,0.0029819056263190283,2.94652905817573e-10,0.005516017657226239,0.0010633494477391896,0.017013550907027202
699264.0,,0.013088559658038552,0.005188527785037417,4.537896694313158e-10,0.009587135257387597,0.0018530912038639377,0.02864623945372481
699323.0,,0.02105462133022974,0.008351960136015817,6.857951483027286e-10,0.015416268283035627,0.002987642384589589,0.04452660332538174
699384.0,,0.03127852682166,0.012415709525969707,1.007948724531332e-09,0.02289535944702374,0.004448290650555686,0.06386077781608365
699443.0,,0.04310417520391365,0.017120520132440958,1.4320084687690325e-09,0.03154416312047183,0.006143177710437899,0.084986928335615
699504.0,,0.055676898610531766,0.022127350028985932,1.9652329157846715e-09,0.04073757612085328,0.007950998558766782,0.10611927404805957
699563.0,,0.06812877257291386,0.027090911986539682,2.6067368330299483e-09,0.04984095597378933,0.009747325785754985,0.12572267881262336
699624.0,,0.07977666220307408,0.03173862698675842,3.3467160257974027e-09,0.05835475290659674,0.01143319468320223,0.14281197256236927
699683.0,,0.09024876105936089,0.035921393570307075,4.16928612823046e-09,0.06600688416592589,0.01295376729491804,0.15705392903545767
699744.0,,0.09946787331645826,0.03960730893417445,5.053089706028909e-09,0.07274038537795519,0.014296389000776247,0.16863320558274292
699804.0,,0.10736649582806018,0.042767926280451854,5.940295792499318e-09,0.07850530488130801,0.015449308811545394,0.17784739124672774
699863.0,,0.11420797992692543,0.04550706981835767,6.7819384215109544e-09,0.08349345217697698,0.01644898419757926,0.18540021553042987
699924.0,,0.11988231367499182,0.04778015249229541,7.527013716200244e-09,0.08762486243681264,0.017278716926601424,0.1912843008994878
699983.0,,0.12420121512556986,0.04951155314278107,8.129901710744306e-09,0.0907630699678151,0.017910844431285575,0.19532799305195458
700044.0,,0.12704343171277102,0.05065255163969741,8.558118884546873e-09,0.09282086357972766,0.018327649117414246,0.19742471886019136
700103.0,,0.1283065631289862,0.051162005784867674,8.78777152488578e-09,0.09372531440902822,0.01851429830725716,0.19749525795396608
700164.0,,0.12798028236956294,0.051035748179331264,8.815703091689836e-09,0.09347067887878138,0.018469564171405793,0.19554240786634713
700223.0,,0.12614560380746478,0.05030614058924093,8.656383473917542e-09,0.0921182001865986,0.01820556929589874,0.1917036474726554
700284.0,,0.12288170207427966,0.04900505708161248,8.332573309905151e-09,0.08972699445673063,0.017734356640081897,0.18603763414525976
700344.0,,0.11841684013331161,0.047223862400236384,7.88485078890403e-09,0.0864651301121644,0.017089519557842384,0.17884805736160192
700403.0,,0.11294824215691895,0.04504163010701354,7.351102854809341e-09,0.08247723938898428,0.016300153703960783,0.17035488373011198
700464.0,,0.10672319851689643,0.04255740019413273,6.7712449187671575e-09,0.0779440247450971,0.01540248593406337,0.1608550853705106
700523.0,,0.099996103264724,0.03987300630592223,6.180915365066345e-09,0.07305083347744118,0.014433620636598116,0.1506596301866535
700584.0,,0.0929707581277626,0.0370700252629672,5.6058277594086596e-09,0.06794578557220043,0.013423212334036174,0.1400134724746596
700643.0,,0.0858635231356183,0.03423495749189322,5.067367479597603e-09,0.06278569236953356,0.012402532329124917,0.12919666408698796
700704.0,,0.07882714741529552,0.031428718537157695,4.57265061042126e-09,0.05767910366651178,0.011393052787004549,0.11843651023847233
700763.0,,0.07188954584196561,0.028662309785175595,4.115220967178413e-09,0.052642934420503565,0.010397975625828731,0.10779701001785613
700824.0,,0.06523703058111435,0.02600990096515643,3.699760698872522e-09,0.04780996605752028,0.009443402316028299,0.09758241749754669
700884.0,,0.058887371173730524,0.023478467549405888,3.3206716372524986e-09,0.04319158002814023,0.008531460879154667,0.08783453010858037
700943.0,,0.05288386437792533,0.02108518368476314,2.9752070275822854e-09,0.038818489441195855,0.007668119711409954,0.07863015855856238
701004.0,,0.04724216379291782,0.018836220852113558,2.6599777254605752e-09,0.03470194108584638,0.006855522553577589,0.07000011830089457
701063.0,,0.0419285791186142,0.01671809686100431,2.3697830421918842e-09,0.030817574889890512,0.00608880210945102,0.061897112043416865
701124.0,,0.03709946273904343,0.014793098439667357,2.110392286490812e-09,0.02728050080284632,0.005390635045796894,0.05456055609271103
701183.0,,0.03266736134995684,0.013026338124386963,1.8749051146071566e-09,0.024027884318608285,0.004748588262899521,0.047855921756628186
701244.0,,0.02863950397352635,0.011420681637635223,1.6621362670501589e-09,0.02106626927074962,0.004163934772507269,0.04179147668653932
701303.0,,0.025022428228755476,0.009978728181191882,1.4712947883302464e-09,0.01840185029537592,0.003637889085354217,0.03637286047505172
701364.0,,0.021766167640380817,0.008680558068705931,1.2989818988693458e-09,0.01599918130841921,0.0031634520641868956,0.03152038810093756
701424.0,,0.01886050871891136,0.007522103504110273,1.1441886886574035e-09,0.013851985705917667,0.0027393886813710045,0.02721383216990561
701483.0,,0.016302871226216344,0.006502344314425752,1.006566012994817e-09,0.01195955964253904,0.002365569836314222,0.02344383493173065
701544.0,,0.014030522108866414,0.00559627843295658,8.827010289498704e-10,0.010276523719037567,0.0020330437002848687,0.020112683839643007
701603.0,,0.0120500569782896,0.004806547240997509,7.730560304305132e-10,0.008808632173312066,0.001742960911344102,0.01722511670978124
701664.0,,0.010315987295214036,0.004115024772683986,6.754044166286136e-10,0.007523019810082182,0.0014888423038818552,0.014709808651763943
701723.0,,0.008812018546779526,0.003515227635507911,5.89419231777225e-10,0.006408721733160978,0.0012685372486099767,0.01253774442325402
701784.0,,0.007504392947507139,0.002993705694544682,5.136894505793425e-10,0.005441421808996213,0.0010772535636284519,0.010655847017019427
701843.0,,0.0063778980078699875,0.002544401973243167,4.4770524414372327e-10,0.004610077155535363,0.0009128206480999573,0.009039140866692429
701904.0,,0.005396656257237491,0.002153014712720281,3.896249708004792e-10,0.003888116919288169,0.0007699939427998085,0.007634000136456206
701964.0,,0.004560011532319594,0.0018192886566311044,3.395999960313379e-10,0.0032747374480985806,0.0006486239039048944,0.006438005845123497
702023.0,,0.0038462311987363077,0.001534560436104247,2.964842615823596e-10,0.0027535022483458015,0.0005454668049184055,0.005419051494038939
702084.0,,0.0032353373913589756,0.0012908650264532426,2.5918470307266757e-10,0.002309291692073729,0.0004575372547679434,0.004547958843156141
702143.0,,0.0027156421074194864,0.0010835431720676496,2.27080028619598e-10,0.0019330716283157338,0.0003830527076110081,0.0038076447589960333
702204.0,,0.0022759606880448776,0.0009081356482000577,1.9956447909024395e-10,0.001616211951258249,0.00032030946903090386,0.003181907199997604
702263.0,,0.00190263787262891,0.0007591968924366379,1.7586142050111968e-10,0.0013483853315446525,0.0002672665951840632,0.0026511423727416912
702324.0,,0.001587494375543098,0.0006334653966366868,1.5552539657827712e-10,0.0011232942285496058,0.0002226801571264433,0.0022036082900179967
702383.0,,0.001322861489725868,0.0005278829675912423,1.3813808910145296e-10,0.0009350775720340026,0.00018539197084843507,0.0018283218910646903
702444.0,,0.0010997573107358292,0.0004388671148745669,1.2318427016919396e-10,0.0007770247008432658,0.00015407483103111496,0.0015124629630948257
702504.0,,0.0009132599915822223,0.0003644549565800965,1.1040856598908929e-10,0.0006453820964530332,0.00012798685040389722,0.001248977836487582
702563.0,,0.0007562451326124428,0.0003018045788891622,9.939606417569402e-11,0.0005349048228190369,0.00010609012671199177,0.0010277089169428131
702624.0,,0.0006263789228218441,0.00024998536752774786,9.005714595897276e-11,0.0004437774663664532,8.802608481324563e-05,0.0008452592811378655
702683.0,,0.0005177294213002744,0.0002066308651723367,8.20386491424078e-11,0.00036770229637200476,7.29438142148415e-05,0.0006931734698586956
702744.0,,0.00042704836495726273,0.00017044531370505808,7.516703488181586e-11,0.0003043070838054597,6.0373793705317046e-05,0.0005667868208242371
702803.0,,0.00035176617200313146,0.00014040368665875106,6.931217948991332e-11,0.0002517238607268795,4.994628714939038e-05,0.0004623904985382139
702864.0,,0.0002895627382979629,0.00011558044075127978,6.435614349156035e-11,0.00020828284464191507,4.1330700475503684e-05,0.00037663083472922197
702923.0,,0.0002377542675162971,9.49048184054609e-05,6.014233942635156e-11,0.00017207893799691098,3.4149617127150605e-05,0.0003056759626553625
702984.0,,0.00019511046379260547,7.788605349344274e-05,5.662344919670217e-11,0.00014223605722048967,2.822959935646623e-05,0.0002477114251952285
703044.0,,0.00016004487325452482,6.389120345610703e-05,5.37158596247344e-11,0.00011763911523465365,2.334972143146294e-05,0.0002004490300157241
703103.0,,0.00013107941482997092,5.233051774272177e-05,5.131985428199336e-11,9.724942694224712e-05,1.9304132619275354e-05,0.00016178349385188927
703164.0,,0.00010730008983959065,4.28393395933975e-05,4.9368993484989584e-11,8.042878023721525e-05,1.59663745656283e-05,0.00013038735022347694
703223.0,,8.787934174888024e-05,3.5087494097716305e-05,4.7805913720751936e-11,6.660737516735346e-05,1.3223518279981756e-05,0.00010505547318891382
703284.0,,7.193529321311489e-05,2.8723095863897196e-05,4.656995924835987e-11,5.5178201090593923e-05,1.0955209024879813e-05,8.453154019395414e-05
703343.0,,5.891162324671453e-05,2.3524181458694378e-05,4.562663624063522e-11,4.5765149063230136e-05,9.086883751169534e-06,6.800329032242855e-05
703404.0,,4.828327064664819e-05,1.9281244290578537e-05,4.494311668515645e-11,3.801252813786712e-05,7.548008965629784e-06,5.4716600620577554e-05
703463.0,,3.961473997657399e-05,1.5820510378288925e-05,4.4492686429745434e-11,3.162578579112266e-05,6.280167267037904e-06,4.405009954976518e-05
703524.0,,3.252380636390018e-05,1.2989451777742043e-05,4.425304391204027e-11,2.6344670833844915e-05,5.2317347176200365e-06,3.546783494165992e-05
703584.0,,2.6764153573709407e-05,1.0689784595215493e-05,4.420800028212685e-11,2.200554173256733e-05,4.3702549723831495e-06,2.8615150733273563e-05
703643.0,,2.2050680444551664e-05,8.807724930588063e-06,4.4342499598395225e-11,1.8411429075238248e-05,3.6566460552117732e-06,2.310510873264733e-05
703704.0,,1.821871837917119e-05,7.277562382790947e-06,4.464349297051987e-11,1.5452417904401463e-05,3.069102828963344e-06,1.8705651368526053e-05
703763.0,,1.5078004289579656e-05,6.023355903251054e-06,4.510311903977475e-11,1.2995298591751729e-05,2.5811894583518897e-06,1.5165504289327256e-05
703824.0,,1.2502722378829026e-05,4.9948898586818485e-06,4.571470894914022e-11,1.0953154254031725e-05,2.1756576352109747e-06,1.231656555068607e-05
703883.0,,1.0403717560331836e-05,4.1565825053801125e-06,4.646672318831199e-11,9.265500428650027e-06,1.8405049758139478e-06,1.0038090760410954e-05
703944.0,,8.683359876041922e-06,3.4694614727464473e-06,4.735508531313326e-11,7.8626824200859e-06,1.5619055497502282e-06,8.205878220953136e-06
704003.0,,7.266088162928343e-06,2.9033626190187783e-06,4.837860439315737e-11,6.6903527088417605e-06,1.3290711407333127e-06,6.725110829177724e-06
704064.0,,6.10102024240386e-06,2.4379747880233974e-06,4.952948987396636e-11,5.712573032923444e-06,1.1348681644419749e-06,5.531025974712644e-06
704124.0,,5.141276187635756e-06,2.0545822297696556e-06,5.08033393906062e-11,4.895272497863234e-06,9.725327996184106e-07,4.566077275468787e-06
704183.0,,4.348900970905108e-06,1.738031447968391e-06,5.2195927509932464e-11,4.2105494955010355e-06,8.365256288014211e-07,3.7844809327685293e-06
704244.0,,3.690853489924977e-06,1.4751295185483153e-06,5.3709066426272444e-11,3.633503854916489e-06,7.219026459898652e-07,3.147601690758068e-06
704303.0,,3.1452739090559485e-06,1.2571486315804184e-06,5.533330300170492e-11,3.1480228581331746e-06,6.254647795543704e-07,2.629433537610014e-06
704364.0,,2.6917614414546047e-06,1.075942480975641e-06,5.7063985694400974e-11,2.738550783575795e-06,5.441231929610143e-07,2.2066520389035227e-06
704423.0,,2.3124069539506003e-06,9.243589734068393e-07,5.890346789309678e-11,2.3910517246524895e-06,4.750905966585844e-07,1.85944228219334e-06
704484.0,,1.9955488823858496e-06,7.977413639976685e-07,6.083965219053893e-11,2.0966216905081233e-06,4.1659890636985393e-07,1.5746333268969915e-06
704543.0,,1.73111117222075e-06,6.920657482567193e-07,6.285808796621826e-11,1.8474242787941115e-06,3.6709193906360506e-07,1.3411131521556525e-06
704604.0,,1.5080208021517814e-06,6.029090982882619e-07,6.496797102250485e-11,1.6342713436619184e-06,3.247447942325446e-07,1.147485647190874e-06
704664.0,,1.3207846069284472e-06,5.280777324269154e-07,6.714480836721606e-11,1.452943290215984e-06,2.887195323518107e-07,9.876972058859753e-07
704723.0,,1.1577486187268486e-06,4.6291520102247483e-07,6.946303998223809e-11,1.2929300122581508e-06,2.569283320382055e-07,8.508564194439288e-07
704963.0,,7.275480921543997e-07,2.909542303022668e-07,7.903769103113744e-11,8.582377096991534e-07,1.7056089779100697e-07,5.025044428492397e-07
705204.0,,4.969944767225849e-07,1.987820360865006e-07,8.8852947620572e-11,6.145461359171854e-07,1.2214039508493404e-07,3.260044625718353e-07
705444.0,,3.694804394652898e-07,1.477969833368383e-07,9.811588786677305e-11,4.7483619649048136e-07,9.438020765310492e-08,2.3280071019751715e-07
705684.0,,2.9615598808485426e-07,1.1847605457905289e-07,1.0653318872626593e-10,3.9251782315531393e-07,7.802399259712658e-08,1.8107504217355538e-07
705923.0,,2.534289776480617e-07,1.0138911462195987e-07,1.1395598845801521e-10,3.44054134250297e-07,6.839532627846133e-08,1.5169993860488637e-07
706163.0,,2.2934368176513672e-07,9.175663097188928e-08,1.2032321748012995e-10,3.170590848435764e-07,6.303326442657953e-08,1.354244330537731e-07
706404.0,,2.1770893322999017e-07,8.71032847855116e-08,1.2561578984345156e-10,3.0493710126892316e-07,6.062738259924999e-08,1.276379421579433e-07
706644.0,,2.1522296681744739e-07,8.610883107261489e-08,1.2984748617703323e-10,3.040892717650448e-07,6.04626896162992e-08,1.2597195284879374e-07
706883.0,,2.2006401101234592e-07,8.804470533602957e-08,1.3306238749373707e-10,3.1247275943880594e-07,6.21333792704434e-08,1.291821307944911e-07
