Run,REG_TID,REG_DSEE,MCU_TID,MCU_SEL,WDT_TID,MCU_SEFI,SRAM_TID,SRAM_SEL,REG,WDT,Harden_MCU_SEFI,Harden_SRAM_SEL,Harden_MCU_SEL,SRAM,MCU,Payload
681,968918.9094927666,1643028459.3284397,813897.1350728105,1041.165411922409,inf,62.873231403635906,inf,1066.9936372480095,968918.9094927666,inf,inf,inf,inf,inf,813897.1350728105,813897.1350728105
682,1088598.4105212556,2248624871.411778,894464.3809484269,909.9486217556228,inf,219.97770213215583,inf,496.6160206331476,1088598.4105212556,inf,inf,inf,inf,inf,894464.3809484269,894464.3809484269
683,1126888.0617717218,1954986045.020525,658313.0327945924,998.4077665528118,inf,761.8978320816974,inf,1076.9908517026606,1126888.0617717218,inf,inf,inf,inf,inf,658313.0327945924,658313.0327945924
684,1087711.1063898169,3796293285.812021,851711.931612606,1017.8750875079531,inf,1020.463336205913,inf,610.8025195474171,1087711.1063898169,inf,inf,inf,inf,inf,851711.931612606,851711.931612606
685,1372388.3778273356,1481957693.0233698,661338.1686350207,754.2835536369341,inf,646.8214307114376,inf,1005.355087597663,1372388.3778273356,inf,inf,inf,inf,inf,661338.1686350207,661338.1686350207
686,1270420.5603493182,6390419021.52305,739365.2179166101,733.0746571528529,inf,1061.687146452661,inf,84.90555498995057,1270420.5603493182,inf,inf,inf,inf,inf,739365.2179166101,739365.2179166101
687,1124460.879111338,7594983275.864152,735694.1492082102,591.0588130661395,inf,856.7017850945958,inf,753.4726499432091,1124460.879111338,inf,inf,inf,inf,inf,735694.1492082102,735694.1492082102
688,1085406.143663132,766602299.8728844,737900.3200967334,983.6514832068917,inf,782.6384904277992,inf,712.6382075398845,1085406.143663132,inf,inf,inf,inf,inf,737900.3200967334,737900.3200967334
689,1089688.203712553,1762338240.8002653,740182.3553228101,864.8260316105635,inf,580.2773021849388,inf,305.9817772126536,1089688.203712553,inf,inf,inf,inf,inf,740182.3553228101,740182.3553228101
690,971896.3869926615,85508481.99896908,774157.9227250926,1059.532132483465,inf,622.7563752501483,inf,533.3541085533469,971896.3869926615,inf,inf,inf,inf,inf,774157.9227250926,774157.9227250926
691,1163564.125288696,2102305219.5361679,662107.3847427515,865.8747647677817,inf,1045.8106811631392,inf,405.9460773413444,1163564.125288696,inf,inf,inf,inf,inf,662107.3847427515,662107.3847427515
692,1233361.3200622736,1922489986.1049616,657229.2439617411,8.966583724996775,inf,761.4954052130261,inf,183.05044897295673,1233361.3200622736,inf,inf,inf,inf,inf,657229.2439617411,657229.2439617411
693,1050502.6955500054,5754435889.945925,893835.0048444892,705.7912514132184,inf,671.535677569233,inf,293.01178001722997,1050502.6955500054,inf,inf,inf,inf,inf,893835.0048444892,893835.0048444892
694,1084744.9571725507,5616339119.446524,855512.9931614163,746.0639523473599,inf,601.9916118799371,inf,135.05245981139825,1084744.9571725507,inf,inf,inf,inf,inf,855512.9931614163,855512.9931614163
695,1358223.6659802163,789010016.8533483,816255.7346978455,617.3959441443221,inf,826.5151258338217,inf,540.3916865889257,1358223.6659802163,inf,inf,inf,inf,inf,816255.7346978455,816255.7346978455
696,1355889.5262497342,7799528031.140457,777943.6196891172,779.6246700287516,inf,215.80926255154105,inf,1015.6806468080638,1355889.5262497342,inf,inf,inf,inf,inf,777943.6196891172,777943.6196891172
697,1049994.8554099444,7527183898.632614,813136.9057193216,610.5909642136994,inf,421.8163908143435,inf,1030.2985096810353,1049994.8554099444,inf,inf,inf,inf,inf,813136.9057193216,813136.9057193216
698,1162250.5914723678,7595491118.506652,696681.5044403883,746.1348611562863,inf,880.7735383596232,inf,162.9297682189889,1162250.5914723678,inf,inf,inf,inf,inf,696681.5044403883,696681.5044403883
699,1248468.3457903194,3814786572.8445425,776894.2998665129,1038.236856081849,inf,634.7947483504794,inf,1033.5309415874958,1248468.3457903194,inf,inf,inf,inf,inf,776894.2998665129,776894.2998665129
700,1127520.3635770427,3690235375.3732758,817400.1778593229,547.0367918104989,inf,200.48445780775057,inf,61.358480358650006,1127520.3635770427,inf,inf,inf,inf,inf,817400.1778593229,817400.1778593229
701,1050161.0457084947,2686587076.2036943,773500.7960320943,1062.9647411013489,inf,1005.0974199024329,inf,394.18820582744485,1050161.0457084947,inf,inf,inf,inf,inf,773500.7960320943,773500.7960320943
702,1127133.6758577153,3829480339.7827764,777862.209793541,897.419526111757,inf,318.2442863686932,inf,179.15113782518895,1127133.6758577153,inf,inf,inf,inf,inf,777862.209793541,777862.209793541
703,1167106.7276880618,1388310374.6142793,814159.5361046101,978.6820058321453,inf,748.4284448495401,inf,968.0645869105053,1167106.7276880618,inf,inf,inf,inf,inf,814159.5361046101,814159.5361046101
704,1364375.6363481933,3836715519.3867955,619801.8516402172,677.2591627682776,inf,589.8417420302881,inf,305.4818267165519,1364375.6363481933,inf,inf,inf,inf,inf,619801.8516402172,619801.8516402172
705,1250679.6655891964,1972158589.8985133,891497.9459874188,1014.1933336275044,inf,887.4934823163454,inf,1036.3366925764276,1250679.6655891964,inf,inf,inf,inf,inf,891497.9459874188,891497.9459874188
706,1271775.0799994743,278561863.50057346,699923.0430740311,944.0400195564156,inf,670.8785050798671,inf,1077.232780338913,1271775.0799994743,inf,inf,inf,inf,inf,699923.0430740311,699923.0430740311
707,1124261.4223912032,6319815982.57656,697372.511880649,769.0500159967803,inf,788.8426500161836,inf,976.5645558787709,1124261.4223912032,inf,inf,inf,inf,inf,697372.511880649,697372.511880649
708,1049232.197220815,6123276407.053029,817105.8566978625,1029.820084539574,inf,320.47585446691556,inf,482.66458225629725,1049232.197220815,inf,inf,inf,inf,inf,817105.8566978625,817105.8566978625
709,1010942.4975023664,687243574.5528644,739327.3874300536,966.6238129695244,inf,406.01703240053524,inf,797.0941115246088,1010942.4975023664,inf,inf,inf,inf,inf,739327.3874300536,739327.3874300536
710,1260795.0880285532,2338288547.768417,619842.7481370508,780.5825017376683,inf,781.5661099283275,inf,23.93395757724856,1260795.0880285532,inf,inf,inf,inf,inf,619842.7481370508,619842.7481370508
711,1046492.4474333731,8142063113.568328,699985.7508013485,951.0423675543818,inf,145.41785817583235,inf,955.7183001187811,1046492.4474333731,inf,inf,inf,inf,inf,699985.7508013485,699985.7508013485
712,1170671.780436609,4238614438.639815,774317.9052843361,761.5605237605831,inf,571.6556457456053,inf,380.68911372608625,1170671.780436609,inf,inf,inf,inf,inf,774317.9052843361,774317.9052843361
713,1276544.8009119108,4023745111.88765,622666.9848637854,839.1646017843989,inf,145.9026824791948,inf,321.08915009319225,1276544.8009119108,inf,inf,inf,inf,inf,622666.9848637854,622666.9848637854
714,1085347.8173802902,1224316536.9507928,657944.8168934117,889.5367714114616,inf,503.3759793003949,inf,481.35803722612707,1085347.8173802902,inf,inf,inf,inf,inf,657944.8168934117,657944.8168934117
715,1050231.918183808,2058689370.885363,739331.4414171429,766.0544253289121,inf,446.5209599399741,inf,491.433973686674,1050231.918183808,inf,inf,inf,inf,inf,739331.4414171429,739331.4414171429
716,1089520.1340155515,2649888902.5160503,736645.6650408794,903.2086448989331,inf,293.589857412384,inf,559.6229445110563,1089520.1340155515,inf,inf,inf,inf,inf,736645.6650408794,736645.6650408794
717,1162490.784599823,8088626897.060577,739631.882666192,785.6044939255271,inf,97.21296692378267,inf,902.0252598197375,1162490.784599823,inf,inf,inf,inf,inf,739631.882666192,739631.882666192
718,894604.0598996377,5681635907.166069,735553.5454635624,889.3389014547977,inf,60.541620594656386,inf,21.696272576108566,894604.0598996377,inf,inf,inf,inf,inf,735553.5454635624,735553.5454635624
719,894434.007432787,64746728.09691407,738884.3319402533,555.3193808899011,inf,918.2455071025738,inf,426.60285070151946,894434.007432787,inf,inf,inf,inf,inf,738884.3319402533,738884.3319402533
720,1123520.9610320174,6050384562.565859,773534.1666550859,817.1813711009665,inf,86.85448175580856,inf,1079.9621764707713,1123520.9610320174,inf,inf,inf,inf,inf,773534.1666550859,773534.1666550859
721,1007938.3021930128,6576693178.834844,696382.582221036,759.3323417438776,inf,154.7296048425691,inf,651.4924804355062,1007938.3021930128,inf,inf,inf,inf,inf,696382.582221036,696382.582221036
722,1278080.395824411,2100758205.3434572,658256.8313558054,1034.7332479084996,inf,987.7018423220758,inf,342.46452226709454,1278080.395824411,inf,inf,inf,inf,inf,658256.8313558054,658256.8313558054
723,1044851.3672990336,7868776816.945622,890428.9080037113,709.1622314846527,inf,958.919257700677,inf,624.9447237218011,1044851.3672990336,inf,inf,inf,inf,inf,890428.9080037113,890428.9080037113
724,1189677.4541976114,7907410065.106685,701367.7501127642,491.0233119345414,inf,355.71857619828944,inf,357.4968786525219,1189677.4541976114,inf,inf,inf,inf,inf,701367.7501127642,701367.7501127642
725,971075.7288779167,1317892479.596199,774652.8053997264,765.0370190902794,inf,972.6111703609859,inf,822.3486829158628,971075.7288779167,inf,inf,inf,inf,inf,774652.8053997264,774652.8053997264
726,1321365.4617642404,5625738614.775712,696348.5152380189,1006.2533123196697,inf,186.59167340935807,inf,621.8385560762134,1321365.4617642404,inf,inf,inf,inf,inf,696348.5152380189,696348.5152380189
727,1163334.1915852132,1634121282.6648154,734872.0773334717,922.4022041271458,inf,913.1372428175943,inf,230.85550790842728,1163334.1915852132,inf,inf,inf,inf,inf,734872.0773334717,734872.0773334717
728,1225075.1850454062,3106317293.9278193,619153.4322565579,948.9475893793575,inf,563.6606155724451,inf,58.63602340313974,1225075.1850454062,inf,inf,inf,inf,inf,619153.4322565579,619153.4322565579
729,1007365.5284166214,4270467224.5682516,778167.3484416122,51.07710369970897,inf,885.1984527179941,inf,1036.9997571557856,1007365.5284166214,inf,inf,inf,inf,inf,778167.3484416122,778167.3484416122
730,1206315.6279154785,5850840851.947447,661287.2091988826,811.5461235118432,inf,786.3017794052682,inf,870.4570597033778,1206315.6279154785,inf,inf,inf,inf,inf,661287.2091988826,661287.2091988826
731,1275363.1878948682,7377832565.180887,700919.4039386846,1007.1730861913207,inf,927.706907391273,inf,501.4325119214871,1275363.1878948682,inf,inf,inf,inf,inf,700919.4039386846,700919.4039386846
732,1162849.3805477472,1412735569.5696015,622059.231890887,568.8829914358794,inf,735.6259543236303,inf,692.1412827975324,1162849.3805477472,inf,inf,inf,inf,inf,622059.231890887,622059.231890887
733,1163416.3690297487,461357284.54630345,736154.5447729973,1064.5454998843131,inf,949.0916833652961,inf,512.2806295775302,1163416.3690297487,inf,inf,inf,inf,inf,736154.5447729973,736154.5447729973
734,1084903.6637087383,6863948343.09888,700405.5169981782,1052.1800744827974,inf,44.755438524175496,inf,1063.6793489713887,1084903.6637087383,inf,inf,inf,inf,inf,700405.5169981782,700405.5169981782
735,1007156.9757484455,7900508657.778224,852118.7751086346,711.9424709076907,inf,853.2996174495925,inf,378.5770837996849,1007156.9757484455,inf,inf,inf,inf,inf,852118.7751086346,852118.7751086346
736,1254737.6670535342,5875291101.670389,700811.4942022144,561.923098951962,inf,643.1201445614385,inf,1010.9601143807188,1254737.6670535342,inf,inf,inf,inf,inf,700811.4942022144,700811.4942022144
