Time (s),REG_SET,MCU_SEFI,REG_DSEE,SRAM_SEL,MCU_SEL,SRAM_TID,MCU_TID,REG_TID,WDT_TID
379361.0,0.9999999999999993,0.9999999999999993,0.00022121955066200865,0.9999999999999991,0.9999999999999999,0.0,3.413880289571125e-12,0.0,0.0
379602.0,0.9999999999999992,0.9999999999999993,0.0002212526205336756,0.999999999999999,0.9999999999999999,0.0,3.413880289571125e-12,0.0,0.0
379842.0,0.9999999999999992,0.9999999999999992,0.00022128569473748937,0.9999999999999991,0.9999999999999999,0.0,3.413880289571125e-12,0.0,0.0
380082.0,0.9999999999999992,0.9999999999999992,0.00022131831755071573,0.9999999999999991,0.9999999999999999,0.0,3.413880289571125e-12,0.0,0.0
380321.0,0.9999999999999992,0.9999999999999992,0.00022135041448415364,0.9999999999999992,1.0,0.0,3.4139358007223564e-12,0.0,0.0
380561.0,0.9999999999999992,0.9999999999999992,0.00022138161382155986,0.9999999999999991,1.0,0.0,3.4139358007223564e-12,0.0,0.0
380802.0,0.9999999999999992,0.9999999999999993,0.00022141191206037509,0.9999999999999991,1.0,0.0,3.4139358007223564e-12,0.0,0.0
381042.0,0.9999999999999991,0.9999999999999994,0.0002214410150062179,0.999999999999999,1.0,0.0,3.4139358007223564e-12,0.0,0.0
381281.0,0.9999999999999991,0.9999999999999994,0.00022146838911514335,0.999999999999999,1.0,0.0,3.4139358007223564e-12,0.0,0.0
381521.0,0.999999999999999,0.9999999999999994,0.00022149376119317253,0.999999999999999,0.9999999999999999,0.0,3.4139358007223564e-12,0.0,0.0
381762.0,0.9999999999999989,0.9999999999999993,0.00022151707847559068,0.999999999999999,1.0,0.0,3.4139358007223564e-12,0.0,0.0
382002.0,0.9999999999999989,0.9999999999999993,0.00022153809377120255,0.999999999999999,0.9999999999999999,0.0,3.4139358007223564e-12,0.0,0.0
382242.0,0.999999999999999,0.9999999999999993,0.0002215565136218684,0.9999999999999991,1.0,0.0,3.4139358007223564e-12,0.0,0.0
382302.0,0.9999999999999989,0.9999999999999994,0.00022157253878451414,0.9999999999999992,1.0,0.0,3.4139358007223564e-12,0.0,0.0
382361.0,0.9999999999999988,0.9999999999999993,0.00022157640612119393,0.9999999999999993,1.0,0.0,3.4139358007223564e-12,0.0,0.0
382422.0,0.9999999999999987,0.9999999999999993,0.00022158007724000514,0.9999999999999993,1.0,0.0,3.4139358007223564e-12,0.0,0.0
382481.0,0.9999999999999987,0.9999999999999994,0.0002215837431636664,0.9999999999999994,0.9999999999999999,0.0,3.4139358007223564e-12,0.0,0.0
382542.0,0.9999999999999986,0.9999999999999994,0.00022158716982577427,0.9999999999999994,0.9999999999999998,0.0,3.4139358007223564e-12,0.0,0.0
382601.0,0.9999999999999986,0.9999999999999994,0.00022159059649330928,0.9999999999999993,0.9999999999999997,0.0,3.4139913118735876e-12,0.0,0.0
382662.0,0.9999999999999986,0.9999999999999996,0.0002215938055460659,0.9999999999999993,0.9999999999999997,0.0,3.4139913118735876e-12,0.0,0.0
382721.0,0.9999999999999986,0.9999999999999996,0.0002215970221980478,0.9999999999999993,0.9999999999999997,0.0,3.4139913118735876e-12,0.0,0.0
382782.0,0.9999999999999987,0.9999999999999996,0.00022160004321646165,0.9999999999999992,0.9999999999999996,0.0,3.4139913118735876e-12,0.0,0.0
382842.0,0.9999999999999987,0.9999999999999996,0.00022160308166139427,0.9999999999999991,0.9999999999999996,0.0,3.4139913118735876e-12,0.0,0.0
382901.0,0.9999999999999988,0.9999999999999997,0.00022160599509882142,0.9999999999999991,0.9999999999999997,0.0,3.414046823024819e-12,0.0,0.0
382962.0,0.9999999999999988,0.9999999999999996,0.00022160879457135032,0.9999999999999991,0.9999999999999997,0.0,3.414046823024819e-12,0.0,0.0
383021.0,0.9999999999999989,0.9999999999999994,0.00022161163046077346,0.9999999999999992,0.9999999999999997,0.0,3.41410233417605e-12,0.0,0.0
383082.0,0.9999999999999988,0.9999999999999994,0.0002216143259985935,0.9999999999999992,0.9999999999999997,0.0,3.41410233417605e-12,0.0,0.0
383141.0,0.9999999999999987,0.9999999999999993,0.00022161707385372843,0.9999999999999991,0.9999999999999996,0.0,3.4141578453272814e-12,0.0,0.0
383202.0,0.9999999999999986,0.9999999999999993,0.00022161970383840232,0.9999999999999991,0.9999999999999994,0.0,3.4142133564785127e-12,0.0,0.0
383261.0,0.9999999999999987,0.9999999999999992,0.00022162240539294183,0.9999999999999992,0.9999999999999994,0.0,3.414268867629744e-12,0.0,0.0
383322.0,0.9999999999999988,0.9999999999999992,0.00022162501273684636,0.9999999999999992,0.9999999999999996,0.0,3.4143798899322064e-12,0.0,0.0
383382.0,0.9999999999999988,0.9999999999999992,0.00022162771538514282,0.9999999999999992,0.9999999999999994,0.0,3.414490912234669e-12,0.0,0.0
383441.0,0.9999999999999988,0.9999999999999992,0.00022163039408656685,0.9999999999999992,0.9999999999999994,0.0,3.4146019345371315e-12,0.0,0.0
383502.0,0.9999999999999988,0.9999999999999993,0.00022163306296590855,0.9999999999999993,0.9999999999999994,0.0,3.4147684679908252e-12,0.0,0.0
383561.0,0.9999999999999989,0.9999999999999993,0.00022163587551033836,0.9999999999999992,0.9999999999999994,0.0,3.4149905125957503e-12,0.0,0.0
383622.0,0.9999999999999988,0.9999999999999993,0.00022163866566863395,0.9999999999999991,0.9999999999999993,0.0,3.4152680683519065e-12,0.0,0.0
383681.0,0.9999999999999988,0.9999999999999993,0.00022164164477552408,0.9999999999999991,0.9999999999999993,0.0,3.4156566464105254e-12,0.0,0.0
383742.0,0.9999999999999988,0.9999999999999993,0.0002216446415967495,0.9999999999999992,0.9999999999999994,0.0,3.416045224469144e-12,0.0,0.0
383801.0,0.9999999999999988,0.9999999999999993,0.00022164788925877087,0.9999999999999991,0.9999999999999996,0.0,3.4166003359814567e-12,0.0,0.0
383862.0,0.9999999999999988,0.9999999999999992,0.0002216512092603102,0.9999999999999991,0.9999999999999996,0.0,3.417321980947463e-12,0.0,0.0
383922.0,0.9999999999999988,0.9999999999999992,0.00022165486703980982,0.999999999999999,0.9999999999999994,0.0,3.4182101593671632e-12,0.0,0.0
383981.0,0.9999999999999988,0.9999999999999992,0.00022165873299025395,0.9999999999999989,0.9999999999999993,0.0,3.419264871240557e-12,0.0,0.0
384042.0,0.9999999999999988,0.9999999999999992,0.0002216628498585169,0.9999999999999988,0.9999999999999993,0.0,3.4205971388701073e-12,0.0,0.0
384101.0,0.9999999999999987,0.9999999999999992,0.00022166749391774236,0.9999999999999988,0.9999999999999993,0.0,3.422262473407045e-12,0.0,0.0
384162.0,0.9999999999999988,0.9999999999999992,0.00022167243120054932,0.9999999999999988,0.9999999999999992,0.0,3.4243163860026016e-12,0.0,0.0
384221.0,0.9999999999999988,0.9999999999999992,0.0002216780766395043,0.9999999999999988,0.9999999999999992,0.0,3.4269254101104707e-12,0.0,0.0
384282.0,0.9999999999999987,0.9999999999999992,0.00022168415763170287,0.9999999999999988,0.9999999999999992,0.0,3.430034034579421e-12,0.0,0.0
384341.0,0.9999999999999988,0.9999999999999992,0.00022169120359616222,0.9999999999999987,0.9999999999999993,0.0,3.4339753263168404e-12,0.0,0.0
384402.0,0.9999999999999988,0.9999999999999993,0.0002216988862747329,0.9999999999999988,0.9999999999999993,0.0,3.438638263020266e-12,0.0,0.0
384462.0,0.9999999999999989,0.9999999999999993,0.00022170788657328868,0.9999999999999989,0.9999999999999994,0.0,3.4445779562020107e-12,0.0,0.0
384521.0,0.999999999999999,0.9999999999999993,0.00022171796018222162,0.9999999999999991,0.9999999999999994,0.0,3.4516833835596117e-12,0.0,0.0
384582.0,0.9999999999999992,0.9999999999999993,0.00022172926055480347,0.9999999999999991,0.9999999999999994,0.0,3.460176589697994e-12,0.0,0.0
384641.0,0.9999999999999993,0.9999999999999994,0.00022174265736796137,0.9999999999999992,0.9999999999999994,0.0,3.470890241885627e-12,0.0,0.0
384702.0,0.9999999999999996,0.9999999999999994,0.00022175756663505008,0.9999999999999993,0.9999999999999994,0.0,3.483435762063891e-12,0.0,0.0
384761.0,0.9999999999999996,0.9999999999999996,0.00022177534756191868,0.9999999999999996,0.9999999999999994,0.0,3.499145417862337e-12,0.0,0.0
384822.0,0.9999999999999997,0.9999999999999996,0.00022179522368657016,0.9999999999999996,0.9999999999999996,0.0,3.5174640977686522e-12,0.0,0.0
384881.0,0.9999999999999998,0.9999999999999996,0.0002218189855380722,0.9999999999999996,0.9999999999999996,0.0,3.540279180924699e-12,0.0,0.0
384942.0,0.9999999999999998,0.9999999999999996,0.00022184563376901408,0.9999999999999997,0.9999999999999996,0.0,3.566924533515703e-12,0.0,0.0
385002.0,0.9999999999999998,0.9999999999999998,0.00022187754158622497,0.9999999999999997,0.9999999999999996,0.0,3.5999536684983013e-12,0.0,0.0
385061.0,1.0,0.9999999999999998,0.00022191388080920228,0.9999999999999998,0.9999999999999996,0.0,3.6389780078138756e-12,0.0,0.0
385122.0,1.0,0.9999999999999998,0.00022195518444260927,1.0,0.9999999999999996,0.0,3.684996752184588e-12,0.0,0.0
385181.0,1.0,0.9999999999999998,0.00022200444544075837,1.0,0.9999999999999996,0.0,3.741951193347859e-12,0.0,0.0
385242.0,1.0,0.9999999999999998,0.00022205929427820923,1.0,0.9999999999999996,0.0,3.8079539521618244e-12,0.0,0.0
385301.0,1.0,0.9999999999999998,0.00022212439185779256,0.9999999999999999,0.9999999999999996,0.0,3.8895553444717734e-12,0.0,0.0
385362.0,1.0,0.9999999999999999,0.00022219649822138382,1.0,0.9999999999999997,0.0,3.984035323867374e-12,0.0,0.0
385421.0,1.0,1.0,0.00022228167626538972,1.0,0.9999999999999996,0.0,4.100886297209172e-12,0.0,0.0
385482.0,1.0,1.0,0.0002223755598682293,1.0,0.9999999999999997,0.0,4.236055950457285e-12,0.0,0.0
385542.0,1.0,0.9999999999999999,0.00022248596768845432,0.9999999999999999,0.9999999999999998,0.0,4.403311049117065e-12,0.0,0.0
385601.0,1.0,1.0,0.00022260918610984934,0.9999999999999999,0.9999999999999998,0.0,4.60037563598803e-12,0.0,0.0
385662.0,1.0,1.0,0.0002227462900039525,1.0,0.9999999999999998,0.0,4.832356736983456e-12,0.0,0.0
385721.0,1.0,1.0,0.00022290637180144774,1.0,0.9999999999999998,0.0,5.119960011512603e-12,0.0,0.0
385782.0,0.9999999999999999,1.0,0.00022308089346711004,0.9999999999999999,1.0,0.0,5.4539706084710815e-12,0.0,0.0
385841.0,1.0,0.9999999999999999,0.0002232837788311264,1.0,1.0,0.0,5.869138508529659e-12,0.0,0.0
385902.0,1.0,0.9999999999999999,0.00022350397640987567,1.0,1.0,0.0,6.3526406357539145e-12,0.0,0.0
385961.0,0.9999999999999999,1.0,0.00022375894524747977,1.0,0.9999999999999999,0.0,6.955547249276606e-12,0.0,0.0
386022.0,0.9999999999999999,0.9999999999999999,0.0002240346249968713,1.0,0.9999999999999998,0.0,7.659983758401268e-12,0.0,0.0
386082.0,0.9999999999999999,1.0,0.00022435260316392151,0.9999999999999999,1.0,0.0,8.541112261895023e-12,0.0,0.0
386141.0,1.0,1.0,0.00022470077385583763,1.0,1.0,0.0,9.591494265492884e-12,0.0,0.0
386202.0,1.0,0.9999999999999999,0.00022508014237622838,1.0,1.0,0.0,1.0841272324313422e-11,0.0,0.0
386261.0,1.0,1.0,0.00022551126419647065,1.0,1.0,0.0,1.2405465543707805e-11,0.0,0.0
386322.0,1.0,1.0,0.00022596400717987968,1.0,1.0,0.0,1.4231837930367419e-11,0.0,0.0
386381.0,0.9999999999999999,0.9999999999999999,0.00022646423402413477,1.0,0.9999999999999999,0.0,1.650246606033079e-11,0.0,0.0
